latitude,longitude
37.415045141688054,-122.2056472090359
37.414698020593065,-122.20848749028133
37.414454093051745,-122.21044282065421
37.4142229470058,-122.21231366144505
37.41398114830695,-122.21427167402398
37.41369674090812,-122.21656764493814
37.413484766152116,-122.21826816545857
37.413211008919944,-122.22048098789332
37.41297559820373,-122.22232366549139
37.41270503474598,-122.22456062781153
37.41235883992205,-122.22736085401982
37.41211277432232,-122.2294046972871
37.41181238145044,-122.2318401430745
37.40995247538199,-122.23541150437455
37.40912057241348,-122.2377130888813
37.40789338104315,-122.24107380619942
37.407149938388855,-122.24310961753775
37.406444430121574,-122.24502537152217
37.40562303785719,-122.24443024849117
37.40455757305511,-122.24417593344417
37.403388518198085,-122.24428886555295
37.4024888290699,-122.24467711530833
37.401360606833215,-122.24566416822258
37.39986734896868,-122.24926604404577
37.39966304364653,-122.25113326423049
37.39937036342071,-122.25627439962648
37.39927723765627,-122.25794544805741
37.39881734255347,-122.26448590652335
37.3987093390758,-122.26609958926933
37.39860603125615,-122.26756943948794
37.39448377651167,-122.27062538813342
37.393064766804834,-122.27180166237235
37.39248478874903,-122.27445763837264
37.39189776185741,-122.27717370878581
37.391605029396494,-122.27859725674931
37.39170991228087,-122.28138524342816
37.388063971857704,-122.28844288884694
