building_type,floor_area,UA,CM,CA,UM,UI
MidriseApartment,380.7,1626,3.909e+07,1559,812.9,812.9
MidriseApartment,208.8,615.2,1.465e+07,691.3,307.6,307.6
Outpatient,1137,7269,4.799e+08,3764,3634,3634
SmallOffice,309.6,2313,8.176e+07,899.2,1157,1157
MidriseApartment,254.8,713.8,1.704e+07,843.7,356.9,356.9
MidriseApartment,182,619.9,1.467e+07,602.7,310,310
MidriseApartment,77.09,169.5,9.624e+06,226.3,84.77,84.77
MidriseApartment,414.6,1454,3.426e+07,1343,726.8,726.8
MidriseApartment,330.8,498.4,1.964e+07,1096,249.2,249.2
MidriseApartment,127.8,468.6,1.105e+07,423.2,234.3,234.3
MidriseApartment,217.3,745,1.803e+07,889.6,372.5,372.5
MidriseApartment,629.7,1416,6.003e+07,2393,707.8,707.8
MidriseApartment,319.1,839.4,2.01e+07,1057,419.7,419.7
MidriseApartment,200.7,648.4,1.537e+07,664.7,324.2,324.2
MidriseApartment,241.2,485.1,1.929e+07,727.8,242.5,242.5
MidriseApartment,188.5,575.5,1.368e+07,624.2,287.7,287.7
MediumOffice,693.9,934.4,6.592e+07,3608,467.2,467.2
MidriseApartment,296.6,1102,2.605e+07,1000,551.2,551.2
MidriseApartment,219.6,755,1.786e+07,727.1,377.5,377.5
MidriseApartment,171.1,582.7,1.391e+07,611.9,291.4,291.4
MidriseApartment,79.52,196.3,8.125e+06,263.3,98.17,98.17
MidriseApartment,215.7,211.7,1.803e+07,830.6,105.8,105.8
MidriseApartment,273,508.9,1.947e+07,725.7,254.5,254.5
MidriseApartment,298.1,822.5,1.965e+07,987.2,411.3,411.3
MidriseApartment,130.8,588.5,1.431e+07,608.5,294.2,294.2
MidriseApartment,124.5,447.9,1.057e+07,412.4,223.9,223.9
MidriseApartment,155.7,529,1.252e+07,515.7,264.5,264.5
MidriseApartment,163.1,570.3,1.348e+07,540.2,285.1,285.1
QuickServiceRestaurant,286.7,1273,2.284e+08,1429,636.4,636.4
MidriseApartment,240.5,948.7,2.181e+07,670.7,474.3,474.3
