timestamp,air_temperature[degF],system_mode
2020-01-01 22:13:52 PST,+68.9991,HEAT
2020-01-01 22:17:22 PST,+71.0028,OFF
2020-01-01 22:30:03 PST,+68.999,HEAT
2020-01-01 22:33:33 PST,+71.0008,OFF
2020-01-01 22:46:10 PST,+68.9994,HEAT
2020-01-01 22:49:40 PST,+71.0002,OFF
2020-01-01 23:00:00 PST,+69.159,OFF
2020-01-01 23:01:38 PST,+68.9994,HEAT
2020-01-01 23:05:38 PST,+71.0056,OFF
2020-01-01 23:16:08 PST,+68.9991,HEAT
2020-01-01 23:20:07 PST,+71.0059,OFF
2020-01-01 23:30:43 PST,+68.9999,HEAT
2020-01-01 23:34:41 PST,+71.0038,OFF
2020-01-01 23:45:20 PST,+68.9999,HEAT
2020-01-01 23:49:18 PST,+71.0056,OFF
2020-01-02 00:00:00 PST,+68.9989,HEAT
2020-01-02 00:04:23 PST,+71.0037,OFF
2020-01-02 00:13:56 PST,+68.9998,HEAT
2020-01-02 00:18:18 PST,+71.0045,OFF
2020-01-02 00:27:56 PST,+68.999,HEAT
2020-01-02 00:32:17 PST,+71.0018,OFF
2020-01-02 00:41:57 PST,+68.9986,HEAT
2020-01-02 00:46:18 PST,+71.0031,OFF
2020-01-02 00:55:59 PST,+68.9993,HEAT
2020-01-02 01:00:00 PST,+70.8915,HEAT
2020-01-02 01:00:16 PST,+71.0062,OFF
2020-01-02 01:12:23 PST,+68.9989,HEAT
2020-01-02 01:16:01 PST,+71.0012,OFF
2020-01-02 01:27:46 PST,+69,HEAT
2020-01-02 01:31:25 PST,+71.0016,OFF
2020-01-02 01:43:01 PST,+68.9999,HEAT
2020-01-02 01:46:41 PST,+71.005,OFF
2020-01-02 01:58:14 PST,+68.9994,HEAT
2020-01-02 02:00:00 PST,+70.1013,HEAT
2020-01-02 02:00:14 PST,+70.1991,HEAT
2020-01-02 02:02:31 PST,+71.0014,OFF
2020-01-02 02:11:23 PST,+69,HEAT
2020-01-02 02:16:02 PST,+71.0032,OFF
2020-01-02 02:25:04 PST,+68.9994,HEAT
2020-01-02 02:29:41 PST,+71.0013,OFF
2020-01-02 02:38:48 PST,+68.9993,HEAT
2020-01-02 02:43:24 PST,+71.0008,OFF
2020-01-02 02:52:34 PST,+68.999,HEAT
2020-01-02 02:57:10 PST,+71.0031,OFF
2020-01-02 03:00:00 PST,+70.0763,OFF
2020-01-02 03:06:04 PST,+68.9989,HEAT
2020-01-02 03:10:53 PST,+71.0011,OFF
2020-01-02 03:19:45 PST,+68.9991,HEAT
2020-01-02 03:24:34 PST,+71.0037,OFF
2020-01-02 03:33:28 PST,+68.9992,HEAT
2020-01-02 03:38:16 PST,+71.0005,OFF
2020-01-02 03:47:10 PST,+68.9996,HEAT
2020-01-02 03:51:58 PST,+71.0015,OFF
2020-01-02 04:00:00 PST,+69.1054,OFF
2020-01-02 04:00:43 PST,+68.9996,HEAT
2020-01-02 04:06:30 PST,+71.002,OFF
2020-01-02 04:14:25 PST,+68.9994,HEAT
2020-01-02 04:20:09 PST,+71.001,OFF
2020-01-02 04:28:08 PST,+68.9993,HEAT
2020-01-02 04:33:51 PST,+71.0028,OFF
2020-01-02 04:41:53 PST,+68.9985,HEAT
2020-01-02 04:47:35 PST,+71.0019,OFF
2020-01-02 04:55:38 PST,+68.9989,HEAT
2020-01-02 05:00:00 PST,+70.6711,HEAT
2020-01-02 05:01:02 PST,+71.0005,OFF
2020-01-02 05:10:15 PST,+68.9985,HEAT
2020-01-02 05:15:00 PST,+71.0044,OFF
2020-01-02 05:24:08 PST,+68.999,HEAT
2020-01-02 05:28:53 PST,+71.0001,OFF
2020-01-02 05:37:57 PST,+68.9995,HEAT
2020-01-02 05:42:43 PST,+71.0025,OFF
2020-01-02 05:51:46 PST,+68.9993,HEAT
2020-01-02 05:56:32 PST,+71.001,OFF
2020-01-02 06:00:00 PST,+69.9105,OFF
2020-01-02 06:06:45 PST,+68.9999,HEAT
2020-01-02 06:10:51 PST,+71.0006,OFF
2020-01-02 06:21:18 PST,+68.9993,HEAT
2020-01-02 06:25:25 PST,+71.0021,OFF
2020-01-02 06:35:49 PST,+68.9986,HEAT
2020-01-02 06:39:57 PST,+71.0054,OFF
2020-01-02 06:50:19 PST,+68.9999,HEAT
2020-01-02 06:54:27 PST,+71.0053,OFF
2020-01-02 07:00:00 PST,+69.5795,OFF
2020-01-02 07:05:22 PST,+68.9995,HEAT
2020-01-02 07:09:16 PST,+71.0011,OFF
2020-01-02 07:20:27 PST,+68.9994,HEAT
2020-01-02 07:24:21 PST,+71.0004,OFF
2020-01-02 07:35:31 PST,+68.9994,HEAT
2020-01-02 07:39:26 PST,+71.0063,OFF
2020-01-02 07:50:37 PST,+68.9997,HEAT
2020-01-02 07:54:31 PST,+71.0003,OFF
2020-01-02 08:00:00 PST,+69.6317,OFF
2020-01-02 08:05:32 PST,+68.999,HEAT
2020-01-02 08:09:35 PST,+71.0035,OFF
2020-01-02 08:20:43 PST,+68.9989,HEAT
2020-01-02 08:24:45 PST,+71.0034,OFF
2020-01-02 08:35:59 PST,+68.9994,HEAT
2020-01-02 08:40:00 PST,+71.0006,OFF
2020-01-02 08:51:17 PST,+68.9988,HEAT
2020-01-02 08:55:18 PST,+71.0016,OFF
2020-01-02 09:00:00 PST,+69.7698,OFF
2020-01-02 09:29:34 PST,+68.9999,HEAT
2020-01-02 09:32:37 PST,+71.0073,OFF
2020-01-02 10:00:00 PST,+69.0887,OFF
2020-01-02 11:00:00 PST,+69.2288,OFF
2020-01-02 12:00:00 PST,+69.8942,OFF
2020-01-02 13:00:00 PST,+70.482,OFF
2020-01-02 14:00:00 PST,+71.0206,OFF
2020-01-02 15:00:00 PST,+71.4219,OFF
2020-01-02 16:00:00 PST,+71.2049,OFF
2020-01-02 17:00:00 PST,+71.0304,OFF
2020-01-02 18:00:00 PST,+69.1197,OFF
2020-01-02 18:03:51 PST,+68.9998,HEAT
2020-01-02 18:07:00 PST,+71.0074,OFF
2020-01-02 18:23:45 PST,+68.9995,HEAT
2020-01-02 18:26:57 PST,+71.0076,OFF
2020-01-02 18:42:37 PST,+68.9993,HEAT
2020-01-02 18:45:50 PST,+71.0072,OFF
2020-01-02 19:00:00 PST,+69.053,OFF
2020-01-02 19:01:44 PST,+68.9997,HEAT
2020-01-02 19:04:44 PST,+71.0067,OFF
2020-01-02 19:22:39 PST,+68.9999,HEAT
2020-01-02 19:25:40 PST,+71.0051,OFF
2020-01-02 19:42:59 PST,+68.9996,HEAT
2020-01-02 19:46:00 PST,+71.0016,OFF
2020-01-02 20:00:00 PST,+69.1263,OFF
2020-01-02 20:03:02 PST,+68.9998,HEAT
2020-01-02 20:06:04 PST,+71.007,OFF
2020-01-02 20:22:54 PST,+68.9996,HEAT
2020-01-02 20:25:56 PST,+71.0063,OFF
2020-01-02 20:42:44 PST,+68.9995,HEAT
2020-01-02 20:45:46 PST,+71.006,OFF
2020-01-02 21:00:00 PST,+69.1049,OFF
2020-01-02 21:01:33 PST,+68.9992,HEAT
2020-01-02 21:04:57 PST,+71.0009,OFF
2020-01-02 21:17:57 PST,+68.9991,HEAT
2020-01-02 21:21:20 PST,+71.0041,OFF
2020-01-02 21:34:40 PST,+68.9992,HEAT
2020-01-02 21:38:02 PST,+71.0016,OFF
2020-01-02 21:51:30 PST,+68.9996,HEAT
2020-01-02 21:54:52 PST,+71.004,OFF
2020-01-02 22:00:00 PST,+69.777,OFF
2020-01-02 22:06:58 PST,+68.9988,HEAT
2020-01-02 22:10:37 PST,+71.0036,OFF
2020-01-02 22:22:28 PST,+68.9998,HEAT
2020-01-02 22:26:06 PST,+71.001,OFF
2020-01-02 22:38:02 PST,+68.999,HEAT
2020-01-02 22:41:40 PST,+71.0022,OFF
2020-01-02 22:53:38 PST,+68.9995,HEAT
2020-01-02 22:57:16 PST,+71.0034,OFF
2020-01-02 23:00:00 PST,+70.1943,OFF
2020-01-02 23:09:44 PST,+68.9997,HEAT
2020-01-02 23:13:15 PST,+71.004,OFF
2020-01-02 23:25:40 PST,+68.9993,HEAT
2020-01-02 23:29:11 PST,+71.0015,OFF
2020-01-02 23:41:32 PST,+68.9992,HEAT
2020-01-02 23:45:03 PST,+71.0002,OFF
2020-01-02 23:57:22 PST,+68.9991,HEAT
2020-01-03 00:00:00 PST,+70.59,HEAT
2020-01-03 00:00:56 PST,+71.0013,OFF
2020-01-03 00:12:23 PST,+68.9995,HEAT
2020-01-03 00:16:03 PST,+71.0016,OFF
2020-01-03 00:27:33 PST,+68.9992,HEAT
2020-01-03 00:31:13 PST,+71.0025,OFF
2020-01-03 00:42:44 PST,+68.9999,HEAT
2020-01-03 00:46:24 PST,+71.0036,OFF
2020-01-03 00:57:57 PST,+68.9989,HEAT
2020-01-03 01:00:00 PST,+70.252,HEAT
2020-01-03 01:01:33 PST,+71.0041,OFF
2020-01-03 01:13:42 PST,+68.9998,HEAT
2020-01-03 01:17:14 PST,+71.0016,OFF
2020-01-03 01:29:18 PST,+68.9991,HEAT
2020-01-03 01:32:51 PST,+71.0065,OFF
2020-01-03 01:44:54 PST,+68.9989,HEAT
2020-01-03 01:48:27 PST,+71.0057,OFF
2020-01-03 02:00:00 PST,+69.0325,OFF
2020-01-03 02:00:33 PST,+68.999,HEAT
2020-01-03 02:03:57 PST,+71.0074,OFF
2020-01-03 02:16:50 PST,+68.9991,HEAT
2020-01-03 02:20:14 PST,+71.0034,OFF
2020-01-03 02:32:59 PST,+68.9992,HEAT
2020-01-03 02:36:23 PST,+71.0014,OFF
2020-01-03 02:49:04 PST,+68.9993,HEAT
2020-01-03 02:52:28 PST,+71.0004,OFF
2020-01-03 03:00:00 PST,+69.4268,OFF
2020-01-03 03:08:21 PST,+68.9998,HEAT
2020-01-03 03:11:19 PST,+71.0078,OFF
2020-01-03 03:27:57 PST,+68.9997,HEAT
2020-01-03 03:30:55 PST,+71.0008,OFF
2020-01-03 03:47:09 PST,+68.9999,HEAT
2020-01-03 03:50:08 PST,+71.0074,OFF
2020-01-03 04:00:00 PST,+69.3407,OFF
2020-01-03 04:10:53 PST,+68.9996,HEAT
2020-01-03 04:13:36 PST,+71.0081,OFF
2020-01-03 04:34:39 PST,+68.9998,HEAT
2020-01-03 04:37:22 PST,+71.0033,OFF
2020-01-03 04:57:57 PST,+68.9999,HEAT
2020-01-03 05:00:00 PST,+70.5824,HEAT
2020-01-03 05:00:44 PST,+71.0084,OFF
2020-01-03 05:17:18 PST,+68.9998,HEAT
2020-01-03 05:20:11 PST,+71.0008,OFF
2020-01-03 05:37:29 PST,+68.9995,HEAT
2020-01-03 05:40:22 PST,+71.0052,OFF
2020-01-03 05:57:58 PST,+68.9995,HEAT
2020-01-03 06:00:00 PST,+70.5011,HEAT
2020-01-03 06:00:53 PST,+71.0054,OFF
2020-01-03 06:17:17 PST,+68.9999,HEAT
2020-01-03 06:20:15 PST,+71.003,OFF
2020-01-03 06:37:04 PST,+68.9994,HEAT
2020-01-03 06:40:02 PST,+71.0054,OFF
2020-01-03 06:57:00 PST,+68.9999,HEAT
2020-01-03 06:59:58 PST,+71.0068,OFF
2020-01-03 07:00:00 PST,+70.9956,OFF
2020-01-03 07:01:58 PST,+70.4124,OFF
2020-01-03 07:14:36 PST,+68.9999,HEAT
2020-01-03 07:17:45 PST,+71.0018,OFF
