t,z
0.0,0.93
1.0,0.9284629905256077
2.0,0.9269259810512152
3.0,0.9253889715768228
4.0,0.9238519621024304
5.0,0.9223149526280381
6.0,0.9207779431536455
7.0,0.9192409336792533
8.0,0.9177039242048608
9.0,0.9161669147304684
10.0,0.914629905256076
11.0,0.9130928957816836
12.0,0.9115558863072911
13.0,0.9100188768328987
14.0,0.9084818673585063
15.0,0.9069448578841139
16.0,0.9054078484097214
17.0,0.9038708389353293
18.0,0.9023338294609367
19.0,0.9007968199865444
20.0,0.899259810512152
21.0,0.8977228010377596
22.0,0.8961857915633671
23.0,0.8946487820889747
24.0,0.8931117726145823
25.0,0.8915747631401899
26.0,0.8900377536657974
27.0,0.8885007441914052
28.0,0.8869637347170126
29.0,0.8854267252426202
30.0,0.883889715768228
31.0,0.8823527062938356
32.0,0.8808156968194432
33.0,0.8807213126549494
34.0,0.8822583221293417
35.0,0.8837953316037341
36.0,0.8853323410781264
37.0,0.886869350552519
38.0,0.8884063600269112
39.0,0.8899433695013037
40.0,0.8914803789756961
41.0,0.8930173884500885
42.0,0.8945543979244809
43.0,0.8960914073988734
44.0,0.8976284168732658
45.0,0.8991654263476582
46.0,0.9007024358220506
47.0,0.9022394452964431
48.0,0.9037764547708352
49.0,0.9053134642452279
50.0,0.9068504737196201
51.0,0.9083874831940125
52.0,0.9099244926684049
53.0,0.9114615021427974
54.0,0.9129985116171898
55.0,0.9145355210915822
56.0,0.9160725305659746
57.0,0.9176095400403671
58.0,0.9191465495147593
59.0,0.9206835589891517
60.0,0.9222205684635443
61.0,0.9237575779379366
62.0,0.925294587412329
63.0,0.9268315968867213
64.0,0.9283686063611138
65.0,0.9299056158355061
66.0,0.9317311503718783
67.0,0.9335755617411492
68.0,0.93541997311042
69.0,0.937264384479691
70.0,0.9391087958489619
71.0,0.9409532072182326
72.0,0.9427976185875035
73.0,0.9446420299567745
74.0,0.9464864413260454
75.0,0.9483308526953163
76.0,0.9501752640645872
77.0,0.9520196754338581
78.0,0.9538640868031291
79.0,0.9557084981724
80.0,0.9575529095416707
81.0,0.9593973209109417
82.0,0.9612417322802125
83.0,0.9630861436494834
84.0,0.9649305550187544
85.0,0.9667749663880251
86.0,0.968619377757296
87.0,0.970463789126567
88.0,0.9723082004958379
89.0,0.9741526118651086
90.0,0.9759970232343795
91.0,0.9778414346036504
92.0,0.9796858459729213
93.0,0.9815302573421922
94.0,0.983374668711463
95.0,0.9852190800807339
96.0,0.9870634914500048
97.0,0.9889079028192758
98.0,0.99
99.0,0.99
100.0,0.99
101.0,0.99
102.0,0.99
103.0,0.99
104.0,0.99
105.0,0.99
106.0,0.99
107.0,0.99
108.0,0.99
109.0,0.99
110.0,0.99
111.0,0.99
112.0,0.99
113.0,0.99
114.0,0.99
115.0,0.99
116.0,0.99
117.0,0.99
118.0,0.99
119.0,0.99
120.0,0.99
121.0,0.99
122.0,0.99
123.0,0.99
124.0,0.99
125.0,0.99
126.0,0.99
127.0,0.99
128.0,0.99
129.0,0.99
130.0,0.99
131.0,0.990269648229081
132.0,0.9905770501239595
133.0,0.9908844520188378
134.0,0.9911918539137166
135.0,0.9914992558085949
136.0,0.9918066577034732
137.0,0.992114059598352
138.0,0.9924214614932303
139.0,0.9927288633881087
140.0,0.9930362652829874
141.0,0.9933436671778658
142.0,0.9936510690727441
143.0,0.9939584709676227
144.0,0.9942658728625012
145.0,0.9945732747573797
146.0,0.9948806766522582
147.0,0.9951880785471368
148.0,0.9954954804420151
149.0,0.9958028823368936
150.0,0.996110284231772
151.0,0.9964176861266505
152.0,0.996725088021529
153.0,0.9970324899164075
154.0,0.997339891811286
155.0,0.9976472937061646
156.0,0.9979546956010429
157.0,0.9982620974959214
158.0,0.9985694993908
159.0,0.9988769012856784
160.0,0.999184303180557
161.0,0.9994917050754355
162.0,0.9997991069703138
163.0,0.9997869822696153
164.0,0.9991721784798584
165.0,0.9985573746901014
166.0,0.9979425709003445
167.0,0.9973277671105875
168.0,0.9967129633208305
169.0,0.9960981595310736
170.0,0.9954833557413165
171.0,0.9948685519515597
172.0,0.9942537481618027
173.0,0.9936389443720456
174.0,0.9930241405822887
175.0,0.9924093367925317
176.0,0.9917945330027749
177.0,0.9911797292130178
178.0,0.9905649254232609
179.0,0.9899501216335039
180.0,0.9893353178437468
181.0,0.9887205140539901
