"PK_ApplianceID","CK_SiteID","CK_RoomID","Row Type","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Washer-Dryer Matched Pair","Washer Depth","Washer Depth_notes","Washer Diameter","Washer Diameter_notes","Washer Size","Washer Size_notes","Washer Primary","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00020821","SITE_00258","Room_00000386","Washer","Horizontal Axis","No",2009,,"CSY2401904","Kenmore","110.49962603","No","No",20.0000,,18.0000,,2.9000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020822","SITE_00259","Room_00000404","Washer","Vertical Axis (with agitator)","No",2014,,"C43121111","Whirlpool","Wtw4800xq4","Unknown","Yes",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020823","SITE_00260","Room_00000421","Washer","Horizontal Axis","Yes",2014,,"N/A","Electrolux","Eifls60lti","Unknown","Yes",18.0000,,22.0000,,4.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020824","SITE_00261","Room_00000438","Washer","Horizontal Axis","No",2014,,"C42050315","Maytag","Mhw7000aw2","Yes","Yes",18.0000,,21.0000,,3.6000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020825","SITE_00262","Room_00000452","Washer","Vertical Axis (with agitator)","No",,"Unknown","CK223001","Sears","110.20423990","Unknown","No",19.0000,,19.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020826","SITE_00263","Room_00000475","Washer","Vertical Axis (without agitator)","No",,"Unknown","Unknown","LG","Unknown","Yes","Yes",22.0000,,22.0000,,4.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020827","SITE_00264","Room_00000494","Washer","Vertical Axis (with agitator)","No",2001,,"CL3128491","Kenmore","110.22902100","Unknown","Yes",18.0000,,20.0000,,3.3000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020828","SITE_00265","Room_00000507","Washer","Vertical Axis (with agitator)","No",,"Unknown","Unknown","Maytag","Unknown","Unknown","Yes",19.0000,,21.0000,,3.8000,,"Yes","No","No data","Laundry_1","Laundry"
"Appliance_00020829","SITE_00266","Room_00000520","Washer","Vertical Axis (with agitator)","No",2007,,"CU5131901","Kenmore","110.28332700","Unknown","Yes",18.0000,,19.0000,,3.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020830","SITE_00267","Room_00000534","Washer","Vertical Axis (with agitator)","No",2003,,"CP3305760","Kirkland","Sawd650mqo","Unknown","Yes",20.0000,,18.0000,,2.9000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020831","SITE_00268","Room_00000544","Washer","Horizontal Axis","No",2014,,"0BEP5AEF805981T","Samsung","WF42H5200AW/A2","No","No",22.0000,,22.0000,,4.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020832","SITE_00269","Room_00000559","Washer","Vertical Axis (with agitator)","No",,"Unknown","Unknown","Maytag","Unknown","Unknown","Yes",15.0000,,20.0000,,2.7000,,"Yes","No","No sn mn","Laundry_1","Laundry"
"Appliance_00020833","SITE_00270","Room_00000572","Washer","Horizontal Axis","No",,"Unknown","506PNCY3B699","Kenmore","41162410","Unknown","Yes",18.0000,,22.0000,,4.0000,,"Yes","Unknown","N/A","Laundry_1","Laundry"
"Appliance_00020834","SITE_00271","Room_00000586","Washer","Vertical Axis (with agitator)","No",,"Unknown","Unknown","Maytag","Unknown","Unknown","No",19.0000,,19.0000,,3.1000,,"Yes","No","No info sticker","Laundry_1","Laundry"
"Appliance_00020835","SITE_00272","Room_00000599","Washer","Vertical Axis (with agitator)","No",2009,,"CY0820047","Amana","Ntw4600vq0","Unknown","No",18.0000,,19.0000,,3.0000,,"Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00020836","SITE_00273","Room_00000609","Washer","Vertical Axis (with agitator)","Yes",2002,,"N/A","Frigidaire","Fwxb33as1","Unknown","Yes",17.0000,,19.0000,,2.8000,,"Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00020837","SITE_00274","Room_00000622","Washer","Vertical Axis (with agitator)","No",,"Unknown","CL 025677","Whirlpool","Lsq8543jq0","Unknown","No",18.0000,,20.0000,,3.3000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020838","SITE_00275","Room_00000636","Washer","Vertical Axis (without agitator)","No",2015,,"512PNGX6V135","LG","Wt1501cw","Yes","No",20.0000,,20.0000,,3.6000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020839","SITE_00276","Room_00000649","Washer","Vertical Axis (with agitator)","No",2009,,"CY0230816","Estate","Etw4400vq3","Unknown","No",18.0000,,20.0000,,3.3000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020840","SITE_00277","Room_00000667","Washer","Vertical Axis (with agitator)","No",2009,,"CY4641171","Kenmore","110.29522801","Unknown","Yes",18.0000,,19.0000,,3.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020841","SITE_00278","Room_00000680","Washer","Vertical Axis (with agitator)","No",2004,,"CR2531243","Kenmore","110.24732300","No","No",18.0000,,18.0000,,2.7000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020842","SITE_00279","Room_00000690","Washer","Vertical Axis (with agitator)","No",2001,,"CL 1715836","Whirlpool","Lsr6232jq1","No","No",17.0000,,20.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020843","SITE_00280","Room_00000703","Washer","Horizontal Axis","Yes",2015,,"N/A","Frigidaire","Fffw5000qw0","Yes","Yes",19.0000,,18.0000,,2.8000,,"Yes","Unknown","N/A","Laundry_1","Laundry"
