"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00000381","SITE_00333","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day","Laundry room vent"
"Mechanical_00000383","SITE_00333","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000386","SITE_00336","Bathroom Vent","Panasonic or equivalent","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000388","SITE_00336","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000391","SITE_00338","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00000393","SITE_00339","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000398","SITE_00344","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000405","SITE_00345","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000276","SITE_00238","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000277","SITE_00239","Bathroom Vent","Builder Grade","Yes","Motion sensor",1.0000,,"Hours per day",
"Mechanical_00000278","SITE_00240","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000279","SITE_00240","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000289","SITE_00246","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000294","SITE_00248","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000296","SITE_00250","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000297","SITE_00250","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000306","SITE_00254","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000308","SITE_00257","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day","Light affixed can't access"
"Mechanical_00000309","SITE_00257","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day","Unkown hrs per dayLight affixed can't access"
"Mechanical_00000310","SITE_00258","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000322","SITE_00262","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000327","SITE_00264","Bathroom Vent","Unknown","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00000328","SITE_00264","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00000329","SITE_00265","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000332","SITE_00266","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000334","SITE_00267","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000335","SITE_00267","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000340","SITE_00269","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000343","SITE_00271","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day","Can't access light"
"Mechanical_00000355","SITE_00279","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00000360","SITE_00282","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.3000,,"Hours per day",
"Mechanical_00000361","SITE_00282","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000362","SITE_00283","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00000375","SITE_00290","Bathroom Vent","Builder Grade","Yes","Manual Switch",16.0000,,"Hours per day","With light, also used as nightlight"
"Mechanical_00000376","SITE_00290","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00000378","SITE_00292","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
