"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Type","Ventilation Controls"
"Mechanical_00007910","SITE_01856","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007911","SITE_01873","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007912","SITE_01876","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007913","SITE_01877","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007914","SITE_01880","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007915","SITE_01881","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007916","SITE_01882","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007917","SITE_01883","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007918","SITE_01884","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007919","SITE_01888","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007920","SITE_01889","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007921","SITE_01890","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007922","SITE_01931","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007923","SITE_01932","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007924","SITE_01935","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007925","SITE_01940","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007926","SITE_01941","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007927","SITE_01943","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007928","SITE_01944","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015371","SITE_00016","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00015372","SITE_00095","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00015373","SITE_00179","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00015374","SITE_00209","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00015375","SITE_00313","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015376","SITE_00472","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00015377","SITE_00473","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00015378","SITE_00476","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00015379","SITE_00476","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015380","SITE_00478","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015381","SITE_00479","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00015382","SITE_00480","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015383","SITE_00481","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00015384","SITE_00482","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00015385","SITE_00482","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015386","SITE_00485","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00015387","SITE_00486","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015388","SITE_00487","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015389","SITE_00490","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015390","SITE_00732","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015391","SITE_01192","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00015392","SITE_01250","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00015393","SITE_01257","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008132","SITE_00831","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008133","SITE_00827","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008134","SITE_00817","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008135","SITE_00956","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008136","SITE_00824","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008137","SITE_00836","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008138","SITE_00854","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008139","SITE_00295","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008140","SITE_00409","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008141","SITE_00403","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008142","SITE_00296","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008143","SITE_00390","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008144","SITE_00819","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008145","SITE_00852","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008146","SITE_00828","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008147","SITE_00830","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008148","SITE_00829","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008149","SITE_00299","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008150","SITE_00408","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008151","SITE_00407","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008152","SITE_00219","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00008153","SITE_00399","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008154","SITE_00301","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008155","SITE_00222","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008156","SITE_00205","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008157","SITE_00300","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008158","SITE_00414","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008159","SITE_00414","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00008160","SITE_00776","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007466","SITE_01795","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007467","SITE_01729","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007468","SITE_01097","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007469","SITE_01819","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007470","SITE_01739","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007471","SITE_01080","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007472","SITE_01072","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007473","SITE_01098","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007474","SITE_01735","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007475","SITE_01718","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007476","SITE_01694","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007477","SITE_01759","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007478","SITE_02049","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007479","SITE_01798","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007480","SITE_02061","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007481","SITE_01616","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007482","SITE_01801","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007483","SITE_00972","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007484","SITE_00962","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007485","SITE_01048","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007486","SITE_01034","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007487","SITE_01005","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007488","SITE_01800","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007489","SITE_01540","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007490","SITE_02064","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007491","SITE_01803","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007492","SITE_01027","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007493","SITE_00943","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007494","SITE_00944","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007698","SITE_01134","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007699","SITE_00075","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007700","SITE_00003","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007701","SITE_00008","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007702","SITE_00043","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007703","SITE_00174","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007704","SITE_01166","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007705","SITE_01156","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007706","SITE_01212","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007707","SITE_01163","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007708","SITE_01215","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007709","SITE_01151","Kitchen Vent","Unknown","Manual Switch"
"Mechanical_00007710","SITE_01170","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007711","SITE_01164","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007712","SITE_01162","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007713","SITE_00054","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007714","SITE_00065","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007715","SITE_00042","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007716","SITE_00169","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007717","SITE_00044","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007718","SITE_00797","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007719","SITE_00793","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007720","SITE_01140","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007721","SITE_01139","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007722","SITE_01148","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007723","SITE_01159","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007724","SITE_01160","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007725","SITE_01145","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007235","SITE_00293","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007236","SITE_00331","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007237","SITE_00333","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007238","SITE_00336","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007239","SITE_00336","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007240","SITE_00337","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007241","SITE_00338","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007242","SITE_00339","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007243","SITE_00341","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007244","SITE_00345","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007245","SITE_00346","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007246","SITE_00347","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007247","SITE_00351","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007248","SITE_00352","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007249","SITE_00352","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007250","SITE_00354","Kitchen Vent","Unknown","Manual Switch"
"Mechanical_00007251","SITE_00358","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007252","SITE_00359","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007253","SITE_00360","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007254","SITE_00361","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007255","SITE_00364","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007256","SITE_00365","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007257","SITE_00366","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007258","SITE_00367","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007259","SITE_00368","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007260","SITE_00369","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007261","SITE_00369","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007262","SITE_00371","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007263","SITE_00373","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007929","SITE_01945","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007930","SITE_01948","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007931","SITE_01951","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007932","SITE_01952","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007933","SITE_01953","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007934","SITE_01955","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007935","SITE_01957","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007936","SITE_01959","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007937","SITE_01960","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007938","SITE_01963","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007939","SITE_01964","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007940","SITE_01965","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007941","SITE_01968","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007942","SITE_01970","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007943","SITE_01971","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007944","SITE_01972","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007945","SITE_01973","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007946","SITE_01974","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007947","SITE_01978","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007948","SITE_01983","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007949","SITE_01987","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007950","SITE_01988","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007951","SITE_01991","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007952","SITE_02001","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007953","SITE_02007","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007954","SITE_02008","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007955","SITE_02016","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007956","SITE_02018","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007957","SITE_02021","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008161","SITE_00458","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008162","SITE_00433","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008163","SITE_00728","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008164","SITE_00430","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008165","SITE_00108","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008166","SITE_00107","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008167","SITE_02029","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008168","SITE_01994","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008169","SITE_02015","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008170","SITE_00111","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008171","SITE_02056","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00008172","SITE_02059","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00008173","SITE_00125","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008174","SITE_00118","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008175","SITE_02057","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008176","SITE_00115","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008177","SITE_00034","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00008178","SITE_00069","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008179","SITE_00059","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008180","SITE_00037","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008181","SITE_00142","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008182","SITE_00068","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008183","SITE_00152","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008184","SITE_00041","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008185","SITE_00178","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008186","SITE_00024","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008187","SITE_00028","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008188","SITE_00031","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00008189","SITE_00030","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007495","SITE_00945","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007496","SITE_01007","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007497","SITE_01015","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007498","SITE_01767","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007499","SITE_01747","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007500","SITE_01742","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007501","SITE_01099","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007502","SITE_01976","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007503","SITE_01572","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007504","SITE_01736","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007505","SITE_01102","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007506","SITE_02050","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007507","SITE_01549","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007508","SITE_01079","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007509","SITE_01898","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007510","SITE_01926","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007511","SITE_01761","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007512","SITE_01076","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007513","SITE_01078","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007514","SITE_01096","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007515","SITE_01986","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007516","SITE_01606","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007517","SITE_01580","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007518","SITE_01817","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007519","SITE_01087","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007520","SITE_01802","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007521","SITE_02045","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007522","SITE_01734","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007523","SITE_01633","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007726","SITE_01137","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007727","SITE_01135","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007728","SITE_01142","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007729","SITE_00176","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007730","SITE_00791","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007731","SITE_00056","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007732","SITE_01154","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007733","SITE_00060","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007734","SITE_00048","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007735","SITE_00046","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007736","SITE_00808","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007737","SITE_00055","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007738","SITE_01133","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007739","SITE_00154","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007740","SITE_01122","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007741","SITE_01111","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007742","SITE_00170","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007743","SITE_01112","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007744","SITE_00172","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007745","SITE_00800","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007746","SITE_01174","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007747","SITE_01116","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007748","SITE_01176","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007749","SITE_01204","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007750","SITE_01126","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007751","SITE_01194","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007752","SITE_01213","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007753","SITE_00159","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007754","SITE_00072","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007264","SITE_00374","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007265","SITE_00375","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007266","SITE_00376","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007267","SITE_00377","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007268","SITE_00380","Kitchen Vent","Small Capacity Exhaust","Continuous"
"Mechanical_00007269","SITE_00381","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007270","SITE_00382","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007271","SITE_00383","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007272","SITE_00388","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007273","SITE_00389","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007274","SITE_00865","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007275","SITE_00866","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007276","SITE_00867","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007277","SITE_00868","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007278","SITE_00869","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007279","SITE_00870","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007280","SITE_00872","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007281","SITE_00873","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007282","SITE_00877","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007283","SITE_00879","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007284","SITE_00880","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007285","SITE_00881","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007286","SITE_00882","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007287","SITE_00883","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007288","SITE_00884","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007289","SITE_00888","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007290","SITE_00893","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007291","SITE_00894","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007292","SITE_00895","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007958","SITE_02025","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
