"PK_RoomID","CK_SiteID","Room Name","Room Type","Description","Area","Area_Notes","Space Cooling","Space Heating","Grow Room: Dedicated Ventilation System","Grow Room: Dedicated Ventilation System Details","Grow Room: Modified Panel for More Capacity","Grow Room: Qty Harvests per Year","Grow Room: Qty Harvests per Year_Notes","Grow Room: Qty Sockets Used","Grow Room: Qty Sockets Used_Notes","Grow Room: Height of Flowering Plants","Grow Room: Dedicated AC System","Grow Room: Dedicated AC System Details","Grow Room: Mold or Mildew?"
"Room_00021658","SITE_01770","Bedroom_1","Bedroom","BED",138.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021659","SITE_01770","Kitchen_1","Kitchen","KITCHEN",100.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021660","SITE_01771","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021661","SITE_01771","Family Room_1","Family Room","N/A",289.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021662","SITE_01771","Kitchen_1","Kitchen","N/A",87.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021663","SITE_01771","Dining Room_1","Dining Room","N/A",114.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021664","SITE_01771","Hall_1","Hall","N/A",56.0000,,"Not Cooled","Unheated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021665","SITE_01771","Bedroom_1","Bedroom","N/A",95.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021666","SITE_01771","Bathroom_1","Bathroom","N/A",41.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021667","SITE_01771","Bedroom_2","Bedroom","N/A",118.0000,,"Directly Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021668","BLDG_00481","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021669","BLDG_00481","Parking_1","Parking","N/A",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021670","SITE_01772","Bedroom_1","Bedroom","N/A",89.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021671","SITE_01772","Bathroom_1","Bathroom","N/A",23.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021672","BLDG_00482","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021673","SITE_01772","Living Room_3","Living Room","And kitchen",189.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021674","SITE_01773","Kitchen_1","Kitchen","KITCHEN",79.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021675","SITE_01773","Hall_1","Hall","HALL 1",30.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021676","SITE_01773","Bathroom_1","Bathroom","BATH",45.0000,,"Not Cooled","Semi-Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021677","SITE_01773","Living Room_1","Living Room","LIVING",110.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021678","SITE_01773","Bedroom_1","Bedroom","BED",110.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021679","SITE_01773","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021680","SITE_01774","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021681","SITE_01774","Bedroom_1","Bedroom","BED",166.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021682","SITE_01774","Kitchen_1","Kitchen","KITCHEN",83.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021683","SITE_01774","Bathroom_1","Bathroom","BATH",,"Unknown","Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021684","BLDG_00485","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021685","SITE_01775","Bedroom_1","Bedroom","N/A",132.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021686","SITE_01775","Hall_1","Hall","N/A",40.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021687","SITE_01775","Bathroom_1","Bathroom","N/A",51.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021688","SITE_01775","Living Room_1","Living Room","N/A",140.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021689","SITE_01775","Dining Room_1","Dining Room","N/A",62.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021690","SITE_01775","Kitchen_1","Kitchen","N/A",65.0000,,"Directly Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021691","SITE_01775","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021692","SITE_01776","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021693","SITE_01776","Living Room_1","Living Room","N/A",148.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021694","SITE_01776","Bedroom_2","Bedroom","N/A",178.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021695","SITE_01776","Bathroom_1","Bathroom","N/A",40.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021696","SITE_01776","Hall_1","Hall","N/A",65.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021697","SITE_01776","Kitchen_1","Kitchen","N/A",96.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021698","SITE_01777","Living Room_1","Living Room","N/A",208.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021699","SITE_01777","Hall_1","Hall","N/A",82.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021700","SITE_01777","Bathroom_1","Bathroom","N/A",82.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021701","SITE_01777","Bedroom_1","Bedroom","N/A",144.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021702","SITE_01778","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021703","SITE_01778","Kitchen_1","Kitchen","N/A",77.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021704","SITE_01778","Dining Room_1","Dining Room","N/A",85.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021705","SITE_01778","Living Room_1","Living Room","N/A",192.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021706","SITE_01778","Hall_1","Hall","N/A",40.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021707","SITE_01778","Bathroom_1","Bathroom","N/A",53.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021708","SITE_01778","Bedroom_1","Bedroom","N/A",160.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021709","BLDG_00489","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021710","SITE_01779","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021711","SITE_01779","Kitchen_1","Kitchen","N/A",128.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021712","SITE_01779","Hall_1","Hall","N/A",60.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021713","SITE_01779","Bathroom_1","Bathroom","N/A",35.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021714","SITE_01779","Bedroom_1","Bedroom","N/A",168.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021715","SITE_01779","Living Room_1","Living Room","N/A",221.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021716","SITE_01780","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021717","SITE_01780","Closet_1","Closet","CLST1",38.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021718","SITE_01780","Bedroom_1","Bedroom","BED1",121.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021719","SITE_01780","Bathroom_1","Bathroom","BATH1",38.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021720","SITE_01780","Kitchen_1","Kitchen","KITCHEN",109.0000,,"Directly Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021721","SITE_01780","Living Room_1","Living Room","LIVING",167.0000,,"Indirectly Cooled from Adjacent Spaces","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021722","BLDG_00491","Parking_1","Parking","N/A",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021723","BLDG_00491","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021724","SITE_01781","Bedroom_6","Bedroom","Kids room",132.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021725","SITE_01781","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021726","SITE_01781","Hall_1","Hall","N/A",110.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021727","SITE_01781","Kitchen_1","Kitchen","N/A",,"Unknown","Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021728","SITE_01781","Living Room_1","Living Room","N/A",276.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021729","SITE_01781","Bedroom_1","Bedroom","N/A",159.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021730","SITE_01781","Bathroom_1","Bathroom","N/A",40.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021731","SITE_01781","Bathroom_2","Bathroom","N/A",49.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021732","SITE_01782","Outside_2","Outside","N/A",,"N/A","Not Cooled","Unheated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021733","SITE_01782","Hall_8","Hall","Shared space",,"Unknown","Not Cooled","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021734","SITE_01782","Storage_1","Storage","Closet",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021735","SITE_01782","Kitchen_1","Kitchen","Kitchen",140.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021736","SITE_01782","Laundry_1","Laundry","Laundry",51.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021737","SITE_01782","Living Room_1","Living Room","Living room and hallway",250.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021738","SITE_01782","Bedroom_1","Bedroom","Bedroom",136.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021739","SITE_01782","Bedroom_2","Bedroom","Tv room",118.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021740","SITE_01782","Bathroom_1","Bathroom","Bathroom",53.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00021741","BLDG_00492","Parking_1","Parking","N/A",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014504","SITE_00811","Dining Room_1","Dining Room","Laundryentry",144.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014505","SITE_00811","Bathroom_1","Bathroom","N/A",100.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014506","SITE_00811","Living Room_1","Living Room","N/A",150.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014507","BLDG_00205","Parking_1","Parking","N/A",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014508","BLDG_00205","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014509","SITE_00812","Bedroom_1","Bedroom","N/A",180.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014510","SITE_00812","Bedroom_2","Bedroom","Master",208.0000,,"Not Cooled","Unheated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014511","SITE_00812","Bathroom_1","Bathroom","Off master",96.0000,,"Not Cooled","Unheated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014512","SITE_00812","Laundry_1","Laundry","N/A",30.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014513","SITE_00812","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014514","SITE_00812","Bathroom_2","Bathroom","N/A",38.0000,,"Not Cooled","Unheated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014515","SITE_00812","Hall_1","Hall","N/A",38.0000,,"Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014516","SITE_00812","Kitchen_1","Kitchen","N/A",160.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014517","SITE_00812","Living Room_1","Living Room","N/A",208.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014518","SITE_00813","Hall_1","Hall","N/A",28.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014519","SITE_00813","Hall_2","Hall","N/A",40.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014520","SITE_00813","Living Room_1","Living Room","N/A",161.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014521","SITE_00813","Dining Room_1","Dining Room","N/A",88.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014522","SITE_00813","Kitchen_1","Kitchen","N/A",64.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014523","SITE_00813","Bathroom_1","Bathroom","N/A",56.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014524","SITE_00813","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014525","SITE_00813","Bedroom_1","Bedroom","N/A",121.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014526","SITE_00813","Bedroom_2","Bedroom","N/A",123.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014527","BLDG_00206","Parking_1","Parking","N/A",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014528","BLDG_00206","Hall_1","Hall","Stairs",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014529","BLDG_00206","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014530","SITE_00814","Kitchen_1","Kitchen","N/A",53.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014531","SITE_00814","Living Room_1","Living Room","N/A",337.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014532","SITE_00814","Bathroom_1","Bathroom","N/A",43.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014533","BLDG_00207","Parking_1","Parking","N/A",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014534","BLDG_00207","Hall_1","Hall","N/A",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014535","SITE_00814","Bedroom_6","Bedroom","N/A",130.0000,,"Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014536","SITE_00815","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014537","SITE_00815","Kitchen_1","Kitchen","N/A",164.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014538","SITE_00815","Living Room_1","Living Room","N/A",213.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014539","SITE_00815","Bedroom_1","Bedroom","N/A",142.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014540","BLDG_00208","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014541","SITE_00815","Laundry_2","Laundry","N/A",33.0000,,"Not Cooled","Unheated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014542","BLDG_00208","Hall_1","Hall","N/A",494.0000,,"Not Cooled","Unheated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014543","BLDG_00208","Hall_2","Hall","N/A",,"Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014544","SITE_00815","Bathroom_6","Bathroom","N/A",45.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014545","SITE_00815","Bedroom_6","Bedroom","N/A",110.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014546","SITE_00815","Bathroom_7","Bathroom","N/A",64.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014547","SITE_00815","Hall_8","Hall","N/A",40.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014548","SITE_00816","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014549","SITE_00816","Bathroom_1","Bathroom","N/A",49.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014550","SITE_00816","Bedroom_1","Bedroom","N/A",107.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014551","SITE_00816","Living Room_1","Living Room","N/A",187.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014552","SITE_00816","Kitchen_1","Kitchen","N/A",444.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014553","BLDG_00209","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014554","SITE_00816","Bathroom_6","Bathroom","N/A",50.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014555","SITE_00816","Bedroom_6","Bedroom","N/A",130.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014556","BLDG_00210","Outside_1","Outside","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014557","SITE_00817","Bedroom_6","Bedroom","N/A",138.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014558","SITE_00817","Bedroom_7","Bedroom","N/A",90.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014559","SITE_00817","Bathroom_6","Bathroom","N/A",49.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014560","SITE_00817","Laundry_2","Laundry","N/A",66.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014561","SITE_00817","Storage_1","Storage","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014562","SITE_00817","Kitchen_1","Kitchen","N/A",136.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014563","SITE_00817","Living Room_1","Living Room","N/A",226.0000,,"Not Cooled","Directly Heated","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
"Room_00014564","SITE_00817","Closet_1","Closet","Water heater",15.0000,,"Not Cooled","Indirectly Heated from Adjacent Spaces","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A","N/A","N/A"
