"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","TV Screen Type","TV Screen Surface","TV Resolution","Primary","Size (Diagonal Inches)","Size (Diagonal Inches)_notes","Wattage","Wattage_notes","Set Top Box Present","Set Top Box Provider","Set Top Box Year","Set Top Box Year_notes","Set Top Box Size","Set Top Box Records","STB Wifi","TV Wifi","TV Qty of Streaming Devices","TV Qty of Streaming Devices_notes","TV Qty of External Media Devices","TV Qty of External Media Devices_notes","TV Auxiliary Devices Plugged into Single Strip","Notes","Room Name","Room Type"
"Appliance_00018743","SITE_00003","Room_00006401","Television","Yes",2013,,"N/A","Sanyo","DP55D33","Yes","LED","Flat","FHD (1080P)","All used about the same",55.0000,,100.0000,,"Yes","Comcast",2017,,"Small","No","No","No",0,,0,,"No","N/A","Family Room_1","Family Room"
"Appliance_00018802","SITE_00003","Room_00006406","Television","No",,"Unknown","Unknown","General Electric","Unknown","Unknown","Tube (CRT and internal or rear projector)","Curved","Standard Definition","All used about the same",32.0000,,66.0000,,"Yes","Comcast",2015,,"Small","No","No","No",0,,0,,"Yes","Cannot access nameplate","Bedroom_6","Bedroom"
"Appliance_00019030","SITE_00004","Room_00006410","Television","Yes",2016,,"N/A","Philips","65PFL6601/F7","Yes","LED","Flat","UHD (4080P)","Primary",65.0000,,116.0000,,"Yes","Dish Network",2015,,"Full","No","Yes","Yes",1,,0,,"No","N/A","Family Room_1","Family Room"
"Appliance_00019031","SITE_00004","Room_00006414","Television","Yes",2010,,"N/A","Viore","LCD22VH56","No","LCD","Flat","High Definition (720P)","Secondary",22.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"No","Power behind bed, too heavy to move","Bedroom_2","Bedroom"
"Appliance_00019032","SITE_00004","Room_00006415","Television","No",,"Unknown","Unknown","Jensen","Unknown","Unknown","Unknown","Flat","Unknown","Unknown",32.0000,,32.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Unknown",0,,1,,"Yes","Sticker is only writing on tv, no nameplate","Bedroom_3","Bedroom"
"Appliance_00018882","SITE_00005","Room_00006422","Television","No",,"Unknown","0430JBVB3B33916","Dynex","Dx-32l200na14","No","LCD","Flat","FHD (1080P)","Primary",32.0000,,61.0000,,"Yes","Dish Network",2015,,"Full","Yes","Yes","No",1,,2,,"No","N/A","Living Room_1","Living Room"
"Appliance_00019033","SITE_00006","Room_00006441","Television","Yes",2011,,"N/A","Vizio","M220mv-b","Yes","LED LCD","Flat","FHD (1080P)","Secondary",12.0000,,26.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,0,,"Yes","N/A","Kitchen_1","Kitchen"
"Appliance_00019034","SITE_00006","Room_00006443","Television","Yes",2003,,"N/A","Panasonic","Th-42phw5","Yes","Plasma","Flat","Unknown","Primary",42.0000,,400.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,2,,"Yes","N/A","Family Room_1","Family Room"
"Appliance_00019035","SITE_00006","Room_00006448","Television","Yes",2013,,"N/A","Samsung","Un32eh4003fxza","Yes","LED","Flat","High Definition (720P)","Tertiary",32.0000,,45.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Bedroom_2","Bedroom"
"Appliance_00019036","SITE_00006","Room_00006450","Television","No",,"Unknown","Unknown","Sharp","Unknown","Unknown","Plasma","Flat","Unknown","Quarternary",32.0000,,159.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Bedroom_3","Bedroom"
"Appliance_00018744","SITE_00008","Room_00006464","Television","Yes",2013,,"N/A","Panasonic","TV-P42X60","No","Plasma","Flat","High Definition (720P)","Primary",42.0000,,170.0000,,"Yes","Dish Network",2009,,"Small","No","No","No",0,,1,,"No","N/A","Family Room_1","Family Room"
"Appliance_00018745","SITE_00008","Room_00006468","Television","No",,"Unknown","LAUSUKBS1001342","Vizio","D32hn-D0","Yes","LCD","Flat","High Definition (720P)","Secondary",32.0000,,24.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00019037","SITE_00009","Room_00006475","Television","Yes",2006,,"N/A","Toshiba","Md20f52","No","Tube (CRT and internal or rear projector)","Flat","Standard Definition","Secondary",20.5000,,45.0000,,"Yes","Dish Network",,"Unknown","Small","Yes","Unknown","No",0,,0,,"No","Year STB issued unknown","Bedroom_1","Bedroom"
"Appliance_00019038","SITE_00009","Room_00006477","Television","Yes",2012,,"N/A","RCA","32la30rqd","Yes","LCD","Flat","High Definition (720P)","Tertiary",32.0000,,82.0000,,"Yes","Dish Network",,"Unknown","Small","Yes","Unknown","No",0,,0,,"Yes","Year STB issued unknown","Bedroom_3","Bedroom"
"Appliance_00019039","SITE_00009","Room_00006482","Television","No",,"Unknown","LWZQSGAR0604446","Vizio","E48-c2","Yes","LCD","Flat","High Definition (720P)","Primary",42.0000,,,"Could not meter","Yes","Dish Network",,"Unknown","Full","Yes","Unknown","Yes",0,,0,,"Unknown","Cant access rear of tv or plugs, not sure if there is a power strip","Living Room_1","Living Room"
"Appliance_00018959","SITE_00010","Room_00006485","Television","No",,"Unknown","Unknown","Toshiba","Unknown","No","Tube (CRT and internal or rear projector)","Curved","Unknown","Secondary",13.0000,,46.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00018960","SITE_00010","Room_00006487","Television","No",,"Unknown","MY62440426","Panasonic","Tc-26lx600","Yes","LCD","Flat","High Definition (720P)","Secondary",26.0000,,42.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00018961","SITE_00010","Room_00006489","Television","No",,"Unknown","LTYXNQNP2757072","Vizio","E390i-a1","Yes","LED","Flat","FHD (1080P)","Primary",36.0000,,49.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,1,,"No","N/A","Family Room_1","Family Room"
"Appliance_00019040","SITE_00011","Room_00006493","Television","Yes",2010,,"N/A","Zenith","Z42PQ20-US.AUSBZUR","Unknown","Plasma","Flat","FHD (1080P)","Primary",42.0000,,324.0000,,"Yes","Directv",2015,,"Small","Unknown","Unknown","No",0,,0,,"No","N/A","Bedroom_6","Bedroom"
"Appliance_00019041","SITE_00011","Room_00006496","Television","No",,"Unknown","B50X322BRS4927","Sceptre","X322bv-hd8apo5","Yes","LED","Flat","Unknown","Secondary",30.0000,,41.0000,,"Yes","Directv",2015,,"Full","No","No","No",0,,0,,"Yes","N/A","Family Room_1","Family Room"
"Appliance_00020061","SITE_00012","Room_00006504","Television","Yes",2013,,"N/A","Insignia","NS-39E400NA14","Yes","LED","Flat","FHD (1080P)","Primary",39.0000,,50.0000,,"Yes","Directv",2017,,"Full","Yes","No","No",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019042","SITE_00013","Room_00006516","Television","Yes",2006,,"N/A","Sylvania","6420ff","No","Projector (Non-CRT)","Curved","Standard Definition","Primary",25.0000,,,"Could not meter","Yes","Unknown",,"Unknown","Unknown","Unknown","Unknown","No",0,,1,,"No","N/A","Living Room_1","Living Room"
"Appliance_00019043","SITE_00014","Room_00006520","Television","No",,"Unknown","LWJJPZBQ2301727","Vizio","M552i-B2","Yes","LED","Flat","FHD (1080P)","Primary",55.0000,,105.0000,,"Yes","Dish Network",2017,,"Full","Yes","Yes","Yes",0,,1,,"No","N/A","Living Room_1","Living Room"
"Appliance_00020074","SITE_00015","Room_00006532","Television","No",,"Unknown","LFTRSZAR4500239","Vizio","M60-c3","Yes","LED","Flat","UHD (4080P)","Primary",60.0000,,120.0000,,"Yes","Directv",2016,,"Full","Yes","Yes","Yes",1,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00020075","SITE_00015","Room_00006540","Television","No",,"Unknown","LAQKKHBN0201006","Vizio","E472vl","Yes","LCD","Flat","FHD (1080P)","Primary",47.0000,,120.0000,,"Yes","Directv",2014,,"Small","No","Yes","No",1,,0,,"Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00023020","SITE_00016","Room_00025841","Television","No",,"Unknown","LUKEFBK5002408","Visio","vl370m","No","LCD","Flat","FHD (1080P)","Secondary",43.0000,,94.4000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00023021","SITE_00016","Room_00025842","Television","Yes",2009,,"N/A","Samsung","pn42b450b1d","No","Plasma","Flat","FHD (1080P)","Secondary",46.0000,,99.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Bedroom_2","Bedroom"
