"PK_Envelope_ID","CK_SiteID","Construction Type","Framing Type","Foundation Type","Total Building Levels","Building Level","Building Level_notes","Area","Area_notes","Average Height","Average Height_notes","Volume","Volume_notes"
"Envelope_00007051","SITE_01906","Frame","Wood","> 90% Slab","2",1,,618.8000,,8.0000,,4950.0000,
"Envelope_00007052","SITE_01906","Frame","Wood","> 90% Slab","2",2,,799.8000,,8.0000,,6398.0000,
"Envelope_00007190","SITE_01907","Frame","Wood","> 90% Crawlspace","1",1,,2292.0000,,8.4300,,18818.0000,
"Envelope_00007147","SITE_01908","Frame","Wood","> 90% Conditioned Basement","1",1,,1300.0000,,7.3800,,9767.0000,
"Envelope_00007148","SITE_01908","Frame","Wood","> 90% Conditioned Basement","1",2,,1332.0000,,8.2500,,10989.0000,
"Envelope_00007185","SITE_01909","Solid masonry","Masonry","> 90% Conditioned Basement","1.5",1,,649.0000,,7.5000,,4867.0000,
"Envelope_00007186","SITE_01909","Solid masonry","Masonry","> 90% Conditioned Basement","1.5",2,,918.0000,,8.0000,,7344.0000,
"Envelope_00007160","SITE_01910","Frame","Wood","> 90% Conditioned Basement","2.5",1,,498.8000,,7.7000,,3842.0000,
"Envelope_00007161","SITE_01910","Frame","Wood","> 90% Conditioned Basement","2.5",2,,921.8000,,7.7200,,7362.0000,
"Envelope_00007162","SITE_01910","Frame","Wood","> 90% Conditioned Basement","2.5",3,,528.0000,,7.7000,,4066.0000,
"Envelope_00007183","SITE_01911","Frame","Wood","> 90% Conditioned Basement","1.5",1,,909.8000,,7.5000,,6824.0000,
"Envelope_00007184","SITE_01911","Frame","Wood","> 90% Conditioned Basement","1.5",2,,1568.8000,,8.2000,,13110.0000,
"Envelope_00007158","SITE_01912","Frame","Wood","> 90% Crawlspace","1",1,,1008.0000,,7.6000,,7661.0000,
"Envelope_00002636","SITE_01913","Frame","Wood","> 90% Conditioned Basement","1.5",1,,552.0000,,8.0000,,4416.0000,
"Envelope_00002637","SITE_01913","Frame","Wood","> 90% Conditioned Basement","1.5",2,,1188.0000,,7.5000,,8910.0000,
"Envelope_00007126","SITE_01914","Frame","Wood","> 90% Crawlspace","1",1,,1125.3000,,7.3300,,8620.0000,
"Envelope_00007005","SITE_01915","Frame","Wood","Mixed Crawlspace and Slab","2",1,,1987.0000,,11.5600,,20785.0000,
"Envelope_00007006","SITE_01915","Frame","Wood","Mixed Crawlspace and Slab","2",2,,989.0000,,8.0000,,5832.0000,
"Envelope_00007124","SITE_01916","Frame","Wood","> 90% Crawlspace","1",1,,1087.0000,,8.1800,,8906.0000,
"Envelope_00007000","SITE_01917","Frame","Wood","Mixed Crawlspace and Slab","2",1,,1738.0000,,9.0000,,15642.0000,
"Envelope_00007001","SITE_01917","Frame","Wood","Mixed Crawlspace and Slab","2",2,,1162.0000,,8.0000,,13904.0000,
"Envelope_00007652","SITE_01917","Frame","Wood","Mixed Crawlspace and Slab","2",3,,,,,,,
"Envelope_00007122","SITE_01918","Frame","Wood","> 90% Crawlspace","1",1,,1081.0000,,7.5000,,8108.0000,
"Envelope_00007127","SITE_01919","Frame","Wood","> 90% Crawlspace","1",1,,1566.0000,,8.5000,,13311.0000,
"Envelope_00007023","SITE_01920","Frame","Wood","> 90% Conditioned Basement","2",1,,1779.0000,,8.0000,,14232.0000,
"Envelope_00007024","SITE_01920","Frame","Wood","> 90% Conditioned Basement","2",2,,1779.0000,,8.8000,,15165.0000,
"Envelope_00007025","SITE_01920","Frame","Wood","> 90% Conditioned Basement","2",3,,847.0000,,9.0000,,7623.0000,
"Envelope_00007022","SITE_01921","Frame","Wood","> 90% Crawlspace","1",1,,1252.3000,,8.0000,,10018.0000,
"Envelope_00007295","SITE_01922","Frame","Wood","> 90% Conditioned Basement","2",1,,789.0000,,7.2500,,5720.0000,
"Envelope_00007296","SITE_01922","Frame","Wood","> 90% Conditioned Basement","2",2,,1109.0000,,7.5000,,8318.0000,
"Envelope_00007297","SITE_01922","Frame","Wood","> 90% Conditioned Basement","2",3,,575.0000,,7.5000,,4313.0000,
"Envelope_00007195","SITE_01923","Frame","Wood","> 90% Conditioned Basement","2.5",1,,840.0000,,7.5000,,6300.0000,
