"PK_Envelope_ID","CK_SiteID","Construction Type","Framing Type","Foundation Type","Total Building Levels","Building Level","Building Level_notes","Area","Area_notes","Average Height","Average Height_notes","Volume","Volume_notes"
"Envelope_00003199","BLDG_00001","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003094","BLDG_00002","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002650","BLDG_00003","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002657","BLDG_00004","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002664","BLDG_00005","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002653","BLDG_00006","Rigid frame (concrete or steel)","Steel","Other","N/A",1,,,,,,,
"Envelope_00002665","BLDG_00007","Solid masonry","Concrete","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002695","BLDG_00008","Rigid frame (concrete or steel)","Concrete","Other","N/A",1,,,,,,,
"Envelope_00002677","BLDG_00009","Frame","Wood","> 90% Unconditioned Basement","N/A",1,,,,,,,
"Envelope_00002696","BLDG_00010","Solid masonry","Masonry","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003429","BLDG_00011","Unknown","Unknown","Other","N/A",1,,,,,,,
"Envelope_00002688","BLDG_00012","Frame","Wood","Other","N/A",1,,,,,,,
"Envelope_00002648","BLDG_00013","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002667","BLDG_00014","Frame","Wood","> 90% Unconditioned Basement","N/A",1,,,,,,,
"Envelope_00002673","BLDG_00015","Rigid frame (concrete or steel)","Unknown","Other","N/A",1,,,,,,,
"Envelope_00002697","BLDG_00016","Unknown","N/A","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00002674","BLDG_00018","Unknown","Unknown","Other","N/A",1,,,,,,,
"Envelope_00002694","BLDG_00019","Rigid frame (concrete or steel)","Concrete","Other","N/A",1,,,,,,,
"Envelope_00002986","BLDG_00020","Solid masonry","Brick","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002649","BLDG_00021","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002698","BLDG_00022","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003091","BLDG_00023","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003097","BLDG_00024","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011231","BLDG_00025","Rigid frame (concrete or steel)","Concrete","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011301","BLDG_00026","Frame","Wood","> 90% Unconditioned Basement","N/A",1,,,,,,,
"Envelope_00002685","BLDG_00026","Solid masonry","Masonry","Other","N/A",1,,,,,,,
"Envelope_00003106","BLDG_00027","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002654","BLDG_00028","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002703","BLDG_00029","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002644","BLDG_00030","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002704","BLDG_00031","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003200","BLDG_00032","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003104","BLDG_00034","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003129","BLDG_00035","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003201","BLDG_00036","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003143","BLDG_00037","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003125","BLDG_00037","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003131","BLDG_00038","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003128","BLDG_00039","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003141","BLDG_00040","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003078","BLDG_00041","Frame","Wood","> 90% Crawlspace","N/A",1,,798.0000,,7.8000,,6224.0000,
"Envelope_00003202","BLDG_00042","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003430","BLDG_00043","Unknown","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003105","BLDG_00044","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003126","BLDG_00045","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003203","BLDG_00046","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003431","BLDG_00047","Unknown","Masonry","Other","N/A",1,,,,,,,
"Envelope_00003204","BLDG_00048","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003114","BLDG_00049","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002740","BLDG_00050","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003085","BLDG_00051","Frame","Wood","> 90% Slab","N/A",1,,575.0000,,8.0000,,4600.0000,
"Envelope_00003086","BLDG_00052","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003138","BLDG_00053","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003074","BLDG_00054","Frame over concrete slab","Wood","Mixed Crawlspace and Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003077","BLDG_00055","Frame over concrete slab","Unknown","Other","N/A",1,,,,,,,
"Envelope_00003432","BLDG_00056","Unknown","Unknown","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003139","BLDG_00057","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003076","BLDG_00058","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003433","BLDG_00059","Unknown","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003075","BLDG_00060","Rigid frame (concrete or steel)","Steel","Other","N/A",1,,,,,,,
"Envelope_00003434","BLDG_00061","Unknown","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003079","BLDG_00062","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003117","BLDG_00063","Frame","Wood","Mixed Crawlspace and Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003084","BLDG_00064","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003087","BLDG_00065","Frame","Wood","> 90% Crawlspace","N/A",1,,768.0000,,7.0000,,5376.0000,
"Envelope_00003142","BLDG_00066","Frame","Wood","> 90% Unconditioned Basement","N/A",1,,,,,,,
"Envelope_00003137","BLDG_00067","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003082","BLDG_00068","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003113","BLDG_00069","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003083","BLDG_00070","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003140","BLDG_00071","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003116","BLDG_00071","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003081","BLDG_00072","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003205","BLDG_00073","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003118","BLDG_00074","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002749","BLDG_00075","Frame","Wood","Mixed Crawlspace and Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003024","BLDG_00077","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002993","BLDG_00078","Solid masonry","Masonry","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003005","BLDG_00079","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003009","BLDG_00080","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002997","BLDG_00081","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002998","BLDG_00082","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003192","BLDG_00083","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003189","BLDG_00084","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003190","BLDG_00085","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003435","BLDG_00086","Unknown","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003188","BLDG_00087","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003221","BLDG_00088","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003222","BLDG_00089","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003175","BLDG_00090","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003159","BLDG_00092","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002512","BLDG_00093","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002513","BLDG_00094","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002515","BLDG_00095","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002516","BLDG_00096","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002517","BLDG_00097","Frame","Wood","> 90% Crawlspace","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002518","BLDG_00098","Frame","Wood","> 90% Crawlspace","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002520","BLDG_00099","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002521","BLDG_00100","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002522","BLDG_00101","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002523","BLDG_00102","Frame over concrete slab","Wood","Mixed Conditioned Basement and Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002525","BLDG_00105","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002526","BLDG_00106","Frame","Wood","> 90% Crawlspace","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002527","BLDG_00107","Frame","Wood","> 90% Crawlspace","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002528","BLDG_00108","Frame","Wood","Other","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00002529","BLDG_00109","Frame","Wood","> 90% Crawlspace","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00003226","BLDG_00109","Frame","Wood","> 90% Crawlspace","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00003073","BLDG_00110","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002969","BLDG_00112","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002960","BLDG_00113","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002957","BLDG_00114","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002909","BLDG_00115","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002964","BLDG_00117","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002988","BLDG_00118","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002955","BLDG_00119","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002959","BLDG_00120","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002979","BLDG_00121","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00002944","BLDG_00122","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002920","BLDG_00123","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002911","BLDG_00124","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002952","BLDG_00126","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002943","BLDG_00127","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002907","BLDG_00128","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003019","BLDG_00129","Frame over concrete slab","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003016","BLDG_00130","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003021","BLDG_00131","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003020","BLDG_00132","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002948","BLDG_00133","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002985","BLDG_00134","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003014","BLDG_00135","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002967","BLDG_00136","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003018","BLDG_00137","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003017","BLDG_00139","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003015","BLDG_00140","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003152","BLDG_00141","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003239","BLDG_00142","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003440","BLDG_00143","Unknown","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003240","BLDG_00145","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003241","BLDG_00146","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003242","BLDG_00147","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003442","BLDG_00148","Unknown","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003444","BLDG_00149","Unknown","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003445","BLDG_00150","Unknown","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003446","BLDG_00151","Unknown","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003243","BLDG_00152","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003448","BLDG_00153","Unknown","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00003449","BLDG_00155","Unknown","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003450","BLDG_00156","Unknown","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00003244","BLDG_00157","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003451","BLDG_00158","Unknown","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002852","BLDG_00159","Frame","Wood","> 90% Unconditioned Basement","N/A",1,,,,,,,
"Envelope_00003155","BLDG_00160","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003193","BLDG_00161","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002787","BLDG_00162","Solid masonry","Masonry","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00002791","BLDG_00163","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00002826","BLDG_00164","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00002827","BLDG_00165","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011404","BLDG_00166","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011453","BLDG_00167","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011450","BLDG_00168","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011479","BLDG_00169","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011436","BLDG_00170","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011556","BLDG_00171","Frame","Wood","Mixed Crawlspace and Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011409","BLDG_00172","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011473","BLDG_00173","Frame","Wood","Mixed Crawlspace and Room Over Garage","N/A",1,,,,,,,
"Envelope_00011547","BLDG_00174","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011461","BLDG_00175","Solid masonry","Concrete","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011434","BLDG_00176","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011372","BLDG_00177","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011398","BLDG_00178","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011396","BLDG_00179","Solid masonry","Masonry","> 90% Unconditioned Basement","N/A",1,,,,,,,
"Envelope_00011468","BLDG_00180","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011408","BLDG_00181","Solid masonry","Masonry","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011431","BLDG_00182","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011391","BLDG_00183","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011452","BLDG_00184","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011256","BLDG_00186","Frame","Wood","Other","N/A",1,,,,,,,
"Envelope_00011241","BLDG_00187","Frame over concrete slab","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011227","BLDG_00188","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011324","BLDG_00189","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011326","BLDG_00190","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011190","BLDG_00191","Frame over concrete slab","Wood","Other","N/A",1,,,,,,,
"Envelope_00011234","BLDG_00192","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011192","BLDG_00193","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011250","BLDG_00194","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011239","BLDG_00195","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011235","BLDG_00196","Frame","Wood","Other","N/A",1,,,,,,,
"Envelope_00011307","BLDG_00197","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011300","BLDG_00198","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011194","BLDG_00199","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011228","BLDG_00200","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011251","BLDG_00201","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011193","BLDG_00202","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011519","BLDG_00203","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011298","BLDG_00204","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011180","BLDG_00205","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011305","BLDG_00206","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011191","BLDG_00207","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011306","BLDG_00208","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011308","BLDG_00209","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011563","BLDG_00210","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011584","BLDG_00211","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011566","BLDG_00212","Solid masonry","Masonry","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011714","BLDG_00213","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011578","BLDG_00214","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011581","BLDG_00215","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011583","BLDG_00216","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011582","BLDG_00217","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011715","BLDG_00218","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011716","BLDG_00219","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011717","BLDG_00219","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011567","BLDG_00220","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011718","BLDG_00221","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011719","BLDG_00222","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011722","BLDG_00224","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011723","BLDG_00226","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011726","BLDG_00227","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011727","BLDG_00228","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011728","BLDG_00229","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011729","BLDG_00230","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011731","BLDG_00231","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011122","BLDG_00232","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011055","BLDG_00233","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011056","BLDG_00235","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011129","BLDG_00236","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011128","BLDG_00237","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00010886","BLDG_00237","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00010887","BLDG_00240","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00010888","BLDG_00241","Frame","Wood","> 90% Conditioned Basement","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00010889","BLDG_00242","Solid masonry","Masonry","> 90% Conditioned Basement","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00011564","BLDG_00245","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011021","BLDG_00246","Frame","Wood","> 90% Conditioned Basement","N/A",1,,0.0000,,0.0000,,0.0000,
"Envelope_00011328","BLDG_00247","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011175","BLDG_00248","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011261","BLDG_00249","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011287","BLDG_00250","Frame","Wood","Mixed Crawlspace and Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011270","BLDG_00251","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011293","BLDG_00252","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011319","BLDG_00253","Frame","Wood","Other","N/A",1,,,,,,,
"Envelope_00011264","BLDG_00254","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011265","BLDG_00255","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011294","BLDG_00256","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011260","BLDG_00257","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011321","BLDG_00258","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011273","BLDG_00259","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011199","BLDG_00260","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011271","BLDG_00261","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011168","BLDG_00262","Unknown","Wood","Other","N/A",1,,,,,,,
"Envelope_00011169","BLDG_00263","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00003183","BLDG_00264","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011262","BLDG_00265","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011232","BLDG_00266","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011312","BLDG_00267","Frame","Wood","> 90% Crawlspace","N/A",1,,,,,,,
"Envelope_00011198","BLDG_00268","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011278","BLDG_00269","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011309","BLDG_00270","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011171","BLDG_00271","Frame","Wood","> 90% Conditioned Basement","N/A",1,,,,,,,
"Envelope_00011170","BLDG_00272","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011240","BLDG_00273","Frame","Wood","Other","N/A",1,,,,,,,
"Envelope_00011315","BLDG_00274","Frame","Wood","Other","N/A",1,,,,,,,
"Envelope_00011288","BLDG_00275","Frame","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011252","BLDG_00276","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011249","BLDG_00277","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
"Envelope_00011209","BLDG_00278","Frame over concrete slab","Wood","> 90% Slab","N/A",1,,,,,,,
