"PK_Envelope_ID","CK_SiteID","Wall Type","Wall Sub-Type","Wall Area","Wall Area_notes","Wall Framing Spacing","Wall Framing Spacing_notes","Wall Framing Size","Wall Framing Material","Wall Thickness","Furred Wall","Furred Wall Insulated","Furred Wall Insulation Type","Furred Wall Insulation Thickness","Furred Wall Insulation Thickness_notes","Furred Wall Insulation Condition","Furred Wall Insulation Condition_notes","Wall Cavity Insulated","Wall Cavity Insulation Type 1","Wall Cavity Insulation Thickness 1","Wall Cavity Insulation Thickness 1_notes","Wall Cavity Insulation Condition 1","Wall Cavity Insulation Condition 1_notes","Wall Cavity Insulation Type 2","Wall Cavity Insulation Thickness 2","Wall Cavity Insulation Thickness 2_notes","Wall Cavity Insulation Condition 2","Wall Cavity Insulation Condition 2_notes","Wall Cavity Insulation Type 3","Wall Cavity Insulation Thickness 3","Wall Cavity Insulation Thickness 3_notes","Wall Cavity Insulation Condition 3","Wall Cavity Insulation Condition 3_notes","Wall Exterior Insulated","Wall Exterior Insulation Type 1","Wall Exterior Insulation Thickness 1","Wall Exterior Insulation Thickness 1_notes","Wall Exterior Insulation Condition 1","Wall Exterior Insulation Condition 1_notes","Wall Exterior Insulation Type 2","Wall Exterior Insulation Thickness 2","Wall Exterior Insulation Thickness 2_notes","Wall Exterior Insulation Condition 2","Wall Exterior Insulation Condition 2_notes","Wall Exterior Insulation Type 3","Wall Exterior Insulation Thickness 3","Wall Exterior Insulation Thickness 3_notes","Wall Exterior Insulation Condition 3","Wall Exterior Insulation Condition 3_notes","Wall Cavity Insulation R-Value","Wall Cavity Insulation R-Value_notes","Wall Continuous Insulation R-Value","Wall Continuous Insulation R-Value_notes","Basement Walls - Depth Below Grade","Basement Walls - Depth Below Grade_notes","Basement Walls - Height Above Grade","Basement Walls - Height Above Grade_notes","Basement Walls - Percent Below Grade","Basement Walls - Percent Below Grade_notes","Basement Wall Below Grade U-Value","Basement Wall Below Grade U-Value_notes","Basement Wall Above Grade U-Value","Basement Wall Above Grade U-Value_notes","Wall U-Value","Wall U-Value_notes","Wall Heat Loss Rate (UA)","Wall Heat Loss Rate (UA)_notes","Wall Notes"
"Envelope_00002156","BLDG_00020","Masonry","Brick",10125.0000,,,"N/A","N/A","N/A","Unknown","Yes","Yes","Fiberglass batts",3.5000,,,"Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",11.9400,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0936,,947.5970,,"N/A"
"Envelope_00001832","BLDG_00022","Framed 2x4","N/A",4896.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.1101,"Estimated based on homes of similar vintage",538.9399,,"N/A"
"Envelope_00002287","BLDG_00023","Framed 2x6","N/A",11632.0000,,,"Unknown","2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass Batts",5.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7600,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0664,,771.9120,,"I think they were 2x6, but had thick surface treatments with stucco panels"
"Envelope_00002283","BLDG_00023","Masonry (Basement)","Poured Concrete",4856.0000,,,"N/A","N/A","N/A","N/A","Yes","Yes","Expanded Polystyrene Foam Board",2.0000,,,"Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",8.3000,,0.0000,,4.0000,,4.0000,,0.5000,,0.0600,,0.1128,,0.0864,,419.5088,,"Probe inconclusive"
"Envelope_00010281","BLDG_00026","Framed 2x4","N/A",9900.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.1272,"Estimated based on homes of similar vintage",1259.2720,,"N/A"
"Envelope_00010282","BLDG_00026","Masonry (Basement)","Poured Concrete",3300.0000,,,"N/A","N/A","N/A","N/A","Unknown","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,4.0000,,4.0000,,0.5000,,0.2800,,,"Unknown",,"Accounted for in Foundation / Floor UA (Buffer Space)",,"Accounted for in Foundation / Floor UA (Buffer Space)","N/A"
"Envelope_00002299","BLDG_00027","Framed 2x6","N/A",51300.0000,,16.0000,,"2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7600,,,"Unknown",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0719,"Estimated based on homes of similar vintage",3686.9937,,"Vinyl siding, may have foam under siding"
"Envelope_00001790","BLDG_00028","Framed 2x6","N/A",6552.0000,,16.0000,,"2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",3.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",11.9400,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0842,,551.3741,,"N/A"
"Envelope_00001838","BLDG_00029","Framed 2x4","N/A",15537.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Unknown",3.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.5000,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.1008,,1566.8003,,"N/A"
"Envelope_00001781","BLDG_00030","Framed 2x4","N/A",8269.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Unknown",,"Unknown",,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.1272,"Estimated based on homes of similar vintage",1051.8101,,"Camera showed colder studs on cold day, no accessible spots to inspect insulation"
