DB_SiteID,PK_BuildingID,Region,County,Electric Utility,Gas Utility,Is electric BPA utility,City,State,Zip,Year Built,Site Visit Date,Heating Zone,Cooling Zone,N Floors,In MF Complex?,Qty Buildings in Complex,Qty Studio Units,Qty One-Bedroom Units,Qty Two-Bedroom Units,Qty Three-Bedroom Units,Qty Four-Bedroom Units,Total Units in Building,Limited to 55 or Older?,Limited to Low Income?,Conditioned Area,Construction,Framing Type,Foundation Type,Total Ceiling Area,Total Ceiling U-Value,Ceiling UA,Total Wall Area,Total Wall U-Value,Wall UA,Total Floor Area,Total Floor U-Value,Floor UA,Whole House UA,Annual Electric Usage (kWh),Annual Gas Usage (Therms),Strata Territory,Strata Population Estimate,Area of Conditioned Common Space,Total Residential Floor Area,Total Non-Residential Floor Area,Total Conditioned Area,Total Window Area,Unit Window UA,Primary Heating System,Primary Heating Fuel,Primary Cooling System,Annual Residential Electric Usage (kWh),Annual Residential Gas Usage (Therms),Annual Building Electric Usage (kWh),Annual Building Gas Usage (Therms),Annual Electric Usage (kBtu),Annual Gas Usage (kBtu),Annual Residential Electric Usage (kBtu),Annual Residential Gas Usage (kBtu),Annual Building Electric Usage (kBtu),Annual Building Gas Usage (kBtu),Central Building Heat,Common Area Primary Heating System,Common Area Primary Heating Fuel,Common Area Primary Cooling System
BLDG_00529,BLDG_A40DFDFF-0D2A-BB40-835D-26155EB61045,Western Oregon,"Benton, OR",Pacific Power,,N,CORVALLIS,OR,97333,1993,42837,1,1,2,Yes,42,0,0,10,0,0,10,No,No,,Frame,Wood,"> 90% Crawlspace ",5559,6.5703413177882697E-2,365.24527385584992,7934,5.3319114902692602E-2,423.03385763796308,5559,0.12550613663516888,697.68861355490378,1841.1621894931613,79440.925555364884,N/A,Non-BPA,12217.3070683662,0,11118,0,11118,934.722222222222,35.5194444444444,Electric Baseboard,Electric,N/A,7944.0925555364884,N/A,N/A,N/A,271052.43799490499,N/A,27105.243799490498,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00530,BLDG_651FE1ED-B3E8-5740-8643-F4FE1F495F5F,Western Oregon,"Lane, OR",Eugene Water and Electric Board,,Y,EUGENE,OR,97401,1980,42837,1,1,12,No,1,0,150,0,0,0,150,No,No,,Rigid frame (concrete or steel),Concrete,"> 90% Slab ",0,Exclude,Exclude,0,Exclude,Exclude,0,Exclude,Exclude,Exclude,N/A,N/A,BPA,2790.9630738523,22814,96514,0,119328,8145.83333333333,38.0138888888889,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00531,BLDG_B1D244C7-8733-5B40-9613-DCDD5AE8A5F9,Western Oregon,"Lane, OR",Eugene Water and Electric Board,,Y,EUGENE,OR,97401,2012,42835,1,1,3,No,1,90,90,0,0,0,180,No,No,,Frame,Wood,"> 90% Slab ",35825,2.52844500632111E-2,905.81542351453766,37530,6.0606060606060608E-2,2274.5454545454545,35825,2.8323796231681783E-2,1014.6999999999999,8207.8608780599916,897422.76758990902,N/A,BPA,2790.9630738523,17120,90555,0,107675,10560,22.2933333333333,Mini-split HP,Electric,Mini-split HP,4851.1648602659498,N/A,24213.092742038134,N/A,3062006.4830167694,N/A,16552.174503227419,N/A,82615.07243583411,N/A,N/A,Mini-split HP,Electric,Mini-split HP
BLDG_00532,BLDG_C3F745A7-E45B-E44F-95FF-DE5893DC6698,Western Oregon,"Lane, OR",Eugene Water and Electric Board,,Y,EUGENE,OR,97402,1987,42839,1,1,2,Yes,10,0,0,8,0,0,8,No,No,,Frame over concrete slab,Wood,"> 90% Slab ",2300,3.49131535305926E-2,80.300253120362981,3648,0.11072978934581433,403.94227153353069,2300,7.6173913043478259E-2,175.2,885.01474687611585,43755.251575684211,N/A,BPA,2790.9630738523,0,4600,0,4600,593.611111111111,28.1965277777778,Unknown,Unknown,Unknown,5469.4064469605264,N/A,N/A,N/A,149292.91837623453,N/A,18661.614797029317,N/A,N/A,N/A,N/A,Zonal Heat,Electric,N/A
BLDG_00533,BLDG_8C2EB1F1-A67F-7145-8568-142A3642A241,Western Oregon,"Lane, OR",Eugene Water and Electric Board,,Y,EUGENE,OR,97405,1975,42836,1,1,3,Yes,16,0,0,0,0,4,4,No,No,,Frame,Wood,"> 90% Conditioned Basement ",3248,Exclude,Exclude,8469,0.117302052785924,993.43108504399038,3248,Exclude,Exclude,Exclude,44288.108638605125,N/A,BPA,2790.9630738523,0,7472,0,7472,731.611111111111,69.5030555555556,Mini-split HP,Electric,Mini-split HP,11072.027159651281,N/A,N/A,N/A,151111.02667492069,N/A,37777.756668730173,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00534,BLDG_0EF6A885-4C79-4F6C-A89F-02A1891BC057,Western Oregon,"Lane, OR",Pacific Power,,N,COTTAGE GROVE,OR,97424,1968,42830,1,1,5.5,No,1,0,60,0,0,0,60,Yes,Yes,,Solid masonry,Masonry,"> 90% Unconditioned Basement ",6540,0.11146333754740834,728.97022756005049,23520,0.36982429920060611,8698.2675171982555,6540,Exclude,Exclude,Exclude,305085.27760815847,N/A,Non-BPA,12217.3070683662,11500,21200,0,32700,5998.33333333333,69.9805555555556,Mini-split HP,Electric,Mini-split HP,5084.7546268026408,N/A,N/A,N/A,1040950.9671990367,N/A,17349.18278665061,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00535,BLDG_66D54621-4249-8F45-B784-C8CD880DB8F0,Western Oregon,"Lane, OR",Springfield Utility Board,,Y,SPRINGFIELD,OR,97477,1996,42839,1,1,2,Yes,20,0,6,6,0,0,12,No,No,,Frame,Wood,> 90% Conditioned Basement,3524,6.5703413177882697E-2,231.53882803885861,6407,Exclude,Exclude,3524,Exclude,Exclude,Exclude,105858.47529241588,N/A,BPA,2790.9630738523,0,7048,0,7048,1249.66666666667,39.5727777777778,Electric Baseboard,Electric,N/A,8821.5396077013229,N/A,N/A,N/A,361189.11769772298,N/A,30099.093141476915,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00538,BLDG_686B12AE-F05C-4534-BB7F-3508673D1D0C,Eastern Washington,"Benton, WA",Benton PUD,,Y,KENNEWICK,WA,99336,1971,42891,1,3,2,Yes,11,Unknown,Unknown,Unknown,Unknown,Unknown,12,No,No,,Unknown,Unknown,Unknown,0,Exclude,Exclude,0,Exclude,Exclude,0,Exclude,Exclude,Exclude,N/A,N/A,BPA,1747.28211284514,0,5508,0,5508,1124.75,35.6170833333333,Furnace,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00539,BLDG_BB5E9419-DB4E-4F2F-88CF-76859AC7B9A1,Eastern Washington,"Spokane, WA",City of Cheney,,Y,CHENEY,WA,99004,2009,42886,2,2,2,Yes,4,Unknown,Unknown,Unknown,Unknown,Unknown,15,No,No,,Unknown,Wood,"> 90% Crawlspace ",5488,4.4644995224437621E-2,245.01173379171365,9952,0.11225738333947416,1117.1854789944468,5488,8.2736880466472304E-2,454.06,2670.2572127861604,N/A,N/A,BPA,1747.28211284514,0,10976,0,10976,1220,56.9333333333333,Electric Baseboard,Electric,Packaged AC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00541,BLDG_WM1388,Puget Sound,"King, WA",Seattle City Light,,Y,SEATTLE,WA,98108,Unknown,42629,1,1,2.5,Yes,6,0,12,6,0,0,18,No,No,,Unknown,Unknown,Unknown,5121,4.4644995224437621E-2,228.62702054434504,11034,0.12968485882242622,1430.9427322466508,5121,7.2270836693639665E-2,370.0989547081287,4949.8237074991239,N/A,N/A,SCL,2632.67659063625,0,15363,0,15363,2517.375,162.230833333333,Unknown,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00546,BLDG_0E5AA1A2-D7B6-49FB-982C-62800A435E3E_2,Western Montana,"Flathead, MT",Flathead Electric Cooperative,,Y,COLUMBIA FALLS,MT,59912,2004,42915,3,1,1,No,6,0,4,0,0,0,4,Unknown,Unknown,,Frame,Wood,"> 90% Crawlspace ",2552,2.9498525073746302E-2,75.280235988200559,2432,5.3319114902692602E-2,129.6720874433484,2552,0.23,586.96,982.14351390773948,N/A,N/A,BPA,528.925423728814,0,2552,0,2552,430.944444444444,32.8831944444444,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00542,BLDG_47A7F87B-6536-2543-8D61-50BFC9B2E58A_2,Western Washington,"Cowlitz, WA",Cowlitz PUD,,Y,LONGVIEW,WA,98632,1970,42938,1,1,2,Yes,8,0,8,0,0,0,8,Yes,No,,Frame over concrete slab,Wood,"> 90% Slab ",2112,2.52844500632111E-2,53.400758533501843,3776,8.3787180561374103E-2,316.38039379974862,2112,8.1571969696969698E-2,172.28,719.61353328563132,N/A,N/A,BPA,2181.47130761994,338,3886,0,4224,402.222222222222,17.3506944444444,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00543,BLDG_726E6927-C271-DD44-AC79-C18086CA0BF1_2,Eastern Washington,"Spokane, WA",Avista,,N,SPOKANE VALLEY,WA,99206,1997,42863,2,2,2.5,Yes,8,0,12,4,0,0,16,No,No,,Frame over concrete slab,Wood,"> 90% Slab ",3867,3.2180209171359601E-2,124.44086886564757,9804,8.3787180561374103E-2,821.44951822371172,3867,8.1174036720972328E-2,313.89999999999998,1517.315891851264,N/A,N/A,"Non-BPA, Non-PSE",3063.59584295612,0,11601,0,11601,583.391111111111,15.4770833333333,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
