"PK_Mechanical_ID","CK_SiteID","System Type","System Sub-Type","Quantity","Quantity_Notes","Primary Heating System","Zones Served","Heating Fuel","High Input Heating Capacity (kW)","High Input Heating Capacity (Btuh)","High Input Heating Capacity_notes","High Output Heating Capacity","High Output Heating Capacity_notes","High Heating Capacity Units","High Heating Capacity Type","High Heating Efficiency","High Heating Efficiency_notes","Low Input Heating Capacity","Low Input Heating Capacity_notes","Low Output Heating Capacity","Low Output Heating Capacity_notes","Low Heating Capacity Units","Low Heating Efficiency","Low Heating Efficiency_notes","COP","COP_notes","COP Type","HSPF","HSPF_notes","HSPF Type","Energy Star Label Present?","Seasonal / Portable Equipment","Equipment Use","Frequency of Use","Dehumidifer or Economizer Part of System","Control Type","Heat Pump Compressor Works in Heating Mode","System on same Tstat as Heat Pump","System is Backup for Heatpump","Length (feet)","Length (feet)_notes","Ignition Type","Fuel Valve Type","Fan Type","Filter Type","Venting Type","Distribution Type","Water or Ground Loop","Component 1","Component 1 Make","Component 1 Model","Component 1 Year of Manufacture on Nameplate","Component 1 Year of Manufacture","Component 1 Year of Manufacture_notes","Component 1 Serial Number","Component 2","Component 2 Make","Component 2 Model","Component 2 Year of Manufacture on Nameplate","Component 2 Year of Manufacture","Component 2 Year of Manufacture_notes","Component 2 Serial Number","Component 3","Component 3 Make","Component 3 Model","Component 3 Year of Manufacture on Nameplate","Component 3 Year of Manufacture","Component 3 Year of Manufacture_notes","Component 3 Serial Number","Component 4","Component 4 Make","Component 4 Model","Component 4 Year of Manufacture on Nameplate","Component 4 Year of Manufacture","Component 4 Year of Manufacture_notes","Component 4 Serial Number","Seasonal Shutdown","Seasonal availability based on time of day","Serves Common Areas","Serves Residences","Qty Ductless Heads","Qty Ductless Heads_notes","DMSHP Room 2","DMSHP Capacity 2","DMSHP Capacity 2_notes","DMSHP Capacity 2 Type","DMSHP Heating Capacity @47 2","DMSHP Heating Capacity @47 2_notes","DMSHP Heating Capacity @47 2 Type","DMSHP HSPF 2","DMSHP HSPF 2_notes","DMSHP HSPF 2 Type","DMSHP Room 3","DMSHP Capacity 3","DMSHP Capacity 3_notes","DMSHP Capacity 3 Type","DMSHP Heating Capacity @47 3","DMSHP Heating Capacity @47 3_notes","DMSHP Heating Capacity @47 3 Type","DMSHP HSPF 3","DMSHP HSPF 3_notes","DMSHP HSPF 3 Type","DMSHP Room 4","DMSHP Capacity 4","DMSHP Capacity 4_notes","DMSHP Heating Capacity @47 4","DMSHP Heating Capacity @47 4_notes","DMSHP Heating Capacity @47 4 Type","DMSHP HSPF 4","DMSHP HSPF 4_notes","DMSHP HSPF 4 Type","Equipment Notes"
"Mechanical_00000001","BLDG_00240","Furnace","N/A",3,,"Unknown","N/A","Natural Gas",,50000.0000,,,"Unknown","Btuh","N/A",,"Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","Unknown","N/A","N/A","Unknown","Unknown",,"N/A","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A","Lennox","Gs1803-50-3","No",1987,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000002","BLDG_00113","Furnace","N/A",1,,"Unknown","N/A","Natural Gas",,70000.0000,,53000.0000,,"Btuh","Rated",0.8000,,,"Unknown",,"Unknown","Unknown",,"Unknown",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","Unknown","N/A","N/A","Unknown","Unknown",,"N/A","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A","Carrier","58STX070","No",2016,,"4316A18495","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000003","BLDG_00076","Air Handler","N/A",1,,"Unknown","N/A","Natural Gas",,,"Unknown",,"Unknown","Btuh","N/A",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","Unknown","N/A","N/A","Unknown","Unknown",,"N/A","N/A","Unknown","Unknown","Unknown","N/A","Unknown","N/A","N/A","Unknown","Unknown","Unknown",,"Unknown","Unknown","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000004","BLDG_00221","Air Source Heat Pump","N/A",1,,"Unknown","Unknown","Electric",,,"Unknown",,"Unknown","kW","N/A",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","No","Unknown","N/A","N/A","N/A",,"N/A","N/A","Unknown","Unknown","Unknown","N/A","Unknown","N/A","Condenser","Trane","Unknown","Unknown",,"Unknown","Unknown","Air Handler","Trane","4TGB3f42A1000AA","Yes",2011,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000006","SITE_00239","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",34000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",8.50000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Bryant","214ana036-d","Yes",2009,,"N/A","Air Handler","Bryant","Fx4cnf036000aaaa","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000007","SITE_00245","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",24000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",9.00000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Coleman","Thjf24s41s3a","No",2015,,"W1G5840816","Air Handler","Coleman","Eb12e","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","They use wood stove as much as possible"
"Mechanical_00000008","SITE_00246","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",36000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.70000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Bryant","561cj036-f","No",2002,,"2302E13819","Air Handler","Coleman","Unknown","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Cannot locate nameplate on air handler"
"Mechanical_00000009","SITE_00248","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",42000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.50000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Analog","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Goodman","CKL42-1L","No",2005,,"0508249784","Air Handler","Intertherm","E3eb-023h","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000010","SITE_00253","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",30000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",,"Unknown","N/A","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Analog","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Intertherm","Pcsb-30kcrb","No",,"Unknown","Unknown","Air Handler","Coleman","3400-818","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Unkown btus for heat pump"
"Mechanical_00000011","SITE_00255","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",22107.0000,,"Btuh","Average",,"N/A",,"N/A",,"N/A","N/A",,"N/A",3.17000,,"Unknown",6.80000,,"Average","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","ECM","Electronic air cleaner","Unknown","N/A","N/A","Condenser","Payne","PH10JA 024-AG","No",2005,,"3605X88518","Air Handler","Coleman","3400A818","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000012","SITE_00258","Furnace","N/A",1,,"Yes","Whole Home","Electric",25.0000,,,,"N/A","kW","N/A",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","No","N/A","Unknown","Unknown","Programmable Thermostat","N/A","Unknown","No",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","Unknown","N/A","Furnace","Coleman","6806a852","No",,"Unknown","57672874","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000013","SITE_00258","Air Source Heat Pump","N/A",,"N/A","No","Whole Home","Electric",,,"Unknown",27400.0000,,"Btuh","Average",,"N/A",,"N/A",,"N/A","N/A",,"N/A",2.33000,,"Unknown",7.20000,,"Average","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Bryant","661cj030-a","No",1997,,"2697E21160","Air Handler","Coleman","6806a852","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Could not locate size information, condenser make not obvious from exterior/nameplate"
"Mechanical_00000014","SITE_00263","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",33400.0000,,"Btuh","Rated",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",8.50000,,"Rated","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Lennox","14hpx-036-230","No",2011,,"1911J18963","Air Handler","Lennox","Cbx32m-036-230-6-05","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000015","SITE_00264","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",,"Unknown","Btuh","N/A",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",,"Unknown","N/A","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Nordyne","Unknown","No",,"Unknown","Unknown","Air Handler","Coleman","3400-823","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Refrigerant lines running underground not approved for heat pumps in WA."
"Mechanical_00000016","SITE_00273","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",23400.0000,,"Btuh","Rated",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.70000,,"Rated","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","York","Thgd24s4151a","No",2009,,"W0F9809184","Air Handler","Coleman","Eb17c","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","No name brand affixed to unitUnkown btu."
"Mechanical_00000017","SITE_00275","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",36000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",8.20000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Digital","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A","Condenser","Trane","2twr1036a1000ab","Yes",2004,,"N/A","Air Handler","Intertherm","E3EB-015H","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Heat pump Tstat digital non programmable"
"Mechanical_00000018","SITE_00290","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",18000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",8.20000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A","Condenser","York","TCGD18S41S3A","No",2010,,"W1D0778100","Air Handler","Advanced Distributor Products","Bcrva2218s3p3","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000019","SITE_00331","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",30000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",8.20000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Analog","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Lennox","12hpb30-12p","No",2005,,"5805B36001","Air Handler","Lennox","CB30m-31-3p","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000020","SITE_00337","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",41714.0000,,"Btuh","Average",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.53000,,"Average","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Digital","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Trane","TWR042C100B3","Yes",2002,,"N/A","Air Handler","Coleman","Txc042c4hpc0","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Unkown btus, no information given."
"Mechanical_00000021","SITE_00371","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",34000.0000,,"Btuh","Average",,"N/A",,"N/A",,"N/A","N/A",,"N/A",2.26000,,"Unknown",7.06000,,"Average","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Digital","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thick pleated","Unknown","N/A","N/A","Condenser","Payne","Ph10ja030-h","No",2005,,"0705X15369","Air Handler","Carrier","Fb4bnf030","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000022","SITE_00973","Air Source Heat Pump","Dual Fuel Primary",,"N/A","Yes","Whole Home","Electric",,,"Unknown",45500.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.70000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Smart/Wi-Fi Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","ECM","Disposable thick pleated","Unknown","N/A","N/A","Condenser","Trane","4twr5049e1000bb","Yes",2015,,"N/A","Furnace","Trane","Tux120r960w1","Yes",2003,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Model number of air handler is furnace model number, there are 4 total thermostats all programmable, only one is wifi enabled, that control different parts of the home."
"Mechanical_00000023","SITE_01023","Air Source Heat Pump","Dual Fuel Secondary",,"N/A","No","Whole Home","Electric",,,"Unknown",36000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",9.50000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Programmable Thermostat","Yes","N/A","N/A",,"N/A","Unknown","Unknown","ECM","Disposable thin","Unknown","N/A","N/A","Condenser","Bryant","226ana036-b","Yes",2013,,"N/A","Furnace","Bryant","925ta48080e17a-b","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000024","SITE_01367","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",17550.0000,,"Btuh","Average",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.79000,,"Average","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Digital","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Bryant","213RNA018-A","No",2006,,"3606E23171","Air Handler","Carrier","FA4CNF018000AAAA","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000025","SITE_01385","Air Source Heat Pump","N/A",,"N/A","No","Whole Home","Electric",,,"Unknown",26000.0000,,"Btuh","Nominal",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.70000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Analog","Yes","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","American Standard","2a6b3030a1000aa","Yes",2008,,"N/A","Air Handler","Coleman","Eb15c","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","Could not locate heating size"
"Mechanical_00000026","SITE_01388","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",22200.0000,,"Btuh","Rated",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.00000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Analog","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","Unknown","Disposable thin","Unknown","N/A","N/A","Condenser","Frigidaire","Ft3ba-024ka","No",2004,,"FTA040400999","Air Handler","Payne","517en024","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000027","SITE_01394","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",17600.0000,,"Btuh","Rated",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",8.00000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Digital","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","ECM","Disposable thin","Unknown","N/A","N/A","Condenser","International Comfort Products","N4h418gkg101","Yes",2015,,"N/A","Air Handler","International Comfort Products","FEM4X2400CL","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000028","SITE_01395","Air Source Heat Pump","N/A",,"N/A","Yes","Whole Home","Electric",,,"Unknown",16900.0000,,"Btuh","Rated",,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"Unknown","N/A",7.70000,,"Nominal","N/A","N/A","N/A","N/A","Unknown","Manual Thermostat - Digital","Unknown","N/A","N/A",,"N/A","Unknown","Unknown","ECM","Disposable thin","Unknown","N/A","N/A","Condenser","Rheem","13pjl18a01","Yes",2015,,"N/A","Air Handler","Rheem","Rhsl-hm2417ja","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A","N/A"
