"PK_INTRW_BLDG_ID","CK_SiteID","Building Management","Vacancy Percent","Vacancy Percent_notes","Problems or Complaints: Tenant Comfort","Problems or Complaints: HVAC System","Problems or Complaints: Lighting Control","Problems or Complaints: Lighting","Problems or Complaints: Mold or Mildew","Problems or Complaints: Windows","Problems or Complaints: Describe Problems","Domestic Water Lead Pump Has VFD","Domestic Water Boost Pump","Domestic Water Pump Qty","Domestic Water Pump Qty_notes","Domestic Water Total Motor HP","Domestic Water Total Motor HP_notes","Domestic Water Pressure Setpoint","Domestic Water Pressure Setpoint_notes"
"BldgIntrvw_00000056","BLDG_00071","Housing Opportunities of SW Washington",0.0600,,"No","Yes","No","No","No","No","Tenants want central a/c.","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000080","BLDG_00040","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000055","BLDG_00066","Tenant manager",0.0000,,"No","Yes","No","No","Yes","Yes","Windows get stuck shut, pretty old. They are original to the buildings.","Unknown","Yes",6,,0.0000,,0.0000,
"BldgIntrvw_00000238","BLDG_00368","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000054","BLDG_00373","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000415","BLDG_00336","Unknown",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000169","BLDG_00141","Owner",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000187","BLDG_00358","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000303","BLDG_00361","Property management firm",,"Unknown","No","No","No","No","Yes","No","Mold problems, had to hire someone for treatments","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000255","BLDG_00349","Property management firm",0.0400,,"No","No","No","No","Yes","No","Due to bathroom fans and over stuffed units. Replacining fans to motion and moisture","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000319","BLDG_00059","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000237","BLDG_00266","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000170","BLDG_00286","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000409","BLDG_00192","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000429","BLDG_00006","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000262","BLDG_00195","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000041","BLDG_00187","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000150","BLDG_00014","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000011","BLDG_00276","Property management firm",,"Unknown","Yes","No","No","No","Yes","No","Building is under complete renovation due to black mold.","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000038","BLDG_00009","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000280","BLDG_00316","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000219","BLDG_00257","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000427","BLDG_00249","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000003","BLDG_00265","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000220","BLDG_00254","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000248","BLDG_00255","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000403","BLDG_00109","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000250","BLDG_00342","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000037","BLDG_00356","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000135","BLDG_00362","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000101","BLDG_00363","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000040","BLDG_00364","Tenant manager",0.0000,,"Unknown","No","No","No","Yes","Yes","Installed backwards, security issue (windows). Mold problems are normal in the area","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000162","BLDG_00365","Owner",0.0000,,"N/A","N/A","N/A","No","N/A","N/A","N/A","No","No",0,,,"Unknown",0.0000,
"BldgIntrvw_00000113","BLDG_00367","Tenant manager",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,,"Unknown",,"Unknown"
"BldgIntrvw_00000009","BLDG_00370","Tenant manager",0.0800,,"No","No","No","No","Yes","No","Some mold/mildew","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000423","BLDG_00372","Property management firm",0.0000,,"No","No","No","Yes","Yes","No","Not enough lighting in living rooms. Not enough lighting outdoors. Mold in bedrooms and bathrooms, gets treated with spray.","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000365","BLDG_00374","Tenant manager",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000117","BLDG_00410","Unknown",,"Unknown","N/A","N/A","N/A","N/A","N/A","N/A","No mgr appt","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000350","BLDG_00411","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000176","BLDG_00412","Tenant manager",0.0000,,"Unknown","Unknown","Unknown","Yes","Unknown","Yes","Shallow double pane aluminum","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000336","BLDG_00421","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000395","BLDG_00423","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000149","BLDG_00426","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000450","BLDG_00430","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No manager present","Unknown","Yes",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000069","BLDG_00114","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000070","BLDG_00180","N/A",0.0000,,"No","No","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000177","BLDG_00173","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000411","BLDG_00113","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000276","BLDG_00169","Owner",0.0000,,"No","No","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000252","BLDG_00117","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000174","BLDG_00535","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000088","BLDG_00185","Unknown",,"Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","cooling utility cost expensive- neighbor commented. unable to speak with building manager.","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000330","BLDG_00539","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000428","BLDG_00136","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000012","BLDG_00112","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000346","BLDG_00532","Tenant manager",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000033","BLDG_00121","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000179","BLDG_00538","Property management firm",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000267","BLDG_00020","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000197","BLDG_00328","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000215","BLDG_00081","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000067","BLDG_00082","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000224","BLDG_00079","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000118","BLDG_00080","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000091","BLDG_00135","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000405","BLDG_00130","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000407","BLDG_00139","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000213","BLDG_00460","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000039","BLDG_00473","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000181","BLDG_00446","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000021","BLDG_00451","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000295","BLDG_00512","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000156","BLDG_00513","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000277","BLDG_00467","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000053","BLDG_00514","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000355","BLDG_00465","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000234","BLDG_00511","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000027","BLDG_00262","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000210","BLDG_00263","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000360","BLDG_00272","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000155","BLDG_00271","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000340","BLDG_00324","Tenant manager",,"Unknown","Unknown","No","Unknown","Unknown","Yes","Unknown","Interviewed tenant","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000093","BLDG_00317","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000331","BLDG_00248","Property management firm",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000433","BLDG_00322","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000357","BLDG_00310","Property management firm",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000065","BLDG_00293","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000167","BLDG_00289","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000396","BLDG_00205","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000451","BLDG_00537","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000401","BLDG_00306","Unknown",,"Unknown","No","Unknown","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000359","BLDG_00481","Unknown",,"Unknown","No","No","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000349","BLDG_00258","Unknown",,"Unknown","No","No","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000393","BLDG_00189","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000299","BLDG_00288","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000309","BLDG_00190","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000317","BLDG_00311","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000058","BLDG_00247","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000394","BLDG_00283","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000226","BLDG_00162","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000354","BLDG_00163","Property management firm",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000318","BLDG_00337","Government/Nonprofit Agency",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000168","BLDG_00527","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000436","BLDG_00528","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000030","BLDG_00534","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000326","BLDG_00526","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000290","BLDG_00333","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000287","BLDG_00164","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000073","BLDG_00165","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000241","BLDG_00525","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000140","BLDG_00522","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000134","BLDG_00521","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000121","BLDG_00524","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000052","BLDG_00523","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000308","BLDG_00360","Unknown",0.0000,,"No","No","No","No","Yes","No","In some units with broken exhaust fa","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000329","BLDG_00338","Tenant manager",0.0000,,"Yes","Yes","No","Yes","Yes","No","some dont like new hvac systems, some complain too dim","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000279","BLDG_00377","Property management firm",0.0000,,"No","N/A","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
