"PK_Mechanical_ID","CK_SiteID","System Type","Duct Insulation Condition","Duct Insulation Condition_notes","Metal or Ductboard Duct Insulation Type 1","Metal or Ductboard Duct Insulation Thickness 1","Metal or Ductboard Duct Insulation Thickness 1_notes","Metal or Ductboard Duct Insulation Type 2","Metal or Ductboard Duct Insulation Thickness 2","Metal or Ductboard Duct Insulation Thickness 2_notes","Metal or Ductboard Duct Insulation Type 3","Metal or Ductboard Duct Insulation Thickness 3","Metal or Ductboard Duct Insulation Thickness 3_notes","Flex Run Type 1","Flex Run Type 2","Flex Run Type 3","Evidence of Duct Sealing","Duct Sealing Material","Cavity Used for Air Transport","Duct Location 1","Duct Location 1 Supply","Duct Location 1 Supply_notes","Duct Location 1 Return","Duct Location 1 Return_notes","Duct Location 1 Conditioned","Duct Location 2","Duct Location 2 Supply","Duct Location 2 Supply_notes","Duct Location 2 Return","Duct Location 2 Return_notes","Duct Location 2 Conditioned","Duct Location 3","Duct Location 3 Supply","Duct Location 3 Supply_notes","Duct Location 3 Return","Duct Location 3 Return_notes","Duct Location 3 Conditioned","Duct Location 4","Duct Location 4 Supply","Duct Location 4 Supply_notes","Duct Location 4 Return","Duct Location 4 Return_notes","Duct Location 4 Conditioned","Percentage of Supply Ducts in Conditioned Space","Percentage of Supply Ducts in Conditioned Space_notes","Percentage of Return Ducts in Conditioned Space","Percentage of Return Ducts in Conditioned Space_notes","Percent Supply Ducts in Unconditioned Inaccessible Space","Percent Supply Ducts in Unconditioned Inaccessible Space_notes"
"Mechanical_00005051","SITE_01244","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005052","SITE_01314","90% Flex (Spider System)",1.0000,,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R8","N/A","N/A","Yes","Mastic","No","Crawlspace",0.5000,,0.5000,,"Unconditioned","In Walls",0.5000,,0.5000,,"Conditioned","Attic",0.2500,,0.2500,,"Unconditioned","N/A",0.2500,,0.2500,,"N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00005053","SITE_01327","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Duct Tape","Unknown","Basement",1.0000,,1.0000,,"Unconditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00005054","SITE_01310","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005055","SITE_01334","All Metal",1.0000,,"Fiberglass batts",2.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Unknown","Unknown","In Walls",1.0000,,0.0000,,"Conditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00005056","SITE_01343","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005057","SITE_01338","All Metal",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","N/A","N/A","N/A","No","N/A","Unknown","In Walls",1.0000,,0.0000,,"Conditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00005058","SITE_01870","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00005059","SITE_01333","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005060","SITE_01346","90% Flex (Spider System)",,"Unknown","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","No","N/A","Unknown","Crawlspace",0.5000,,0.0000,,"Unconditioned","Attic",0.5000,,0.0000,,"Unconditioned","In Walls",0.0000,,1.0000,,"Conditioned","N/A",0.0000,,1.0000,,"N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00005061","SITE_01326","All Metal",1.0000,,"Fiberglass batts",1.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Yes","In Walls",0.5000,,0.0000,,"Unconditioned","In Walls",0.5000,,0.0000,,"Conditioned","In Walls",0.5000,,0.0000,,"Conditioned","N/A",0.5000,,0.0000,,"N/A",0.5000,,1.0000,,0.0000,
"Mechanical_00005062","SITE_01335","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005063","SITE_01332","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","In Walls",1.0000,,0.0000,,"Conditioned","Crawlspace",1.0000,,0.0000,,"Unconditioned Inaccessible","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,0.0000,,0.0000,
"Mechanical_00005064","SITE_01864","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","Attic",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00005065","SITE_01302","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005066","SITE_01868","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00005067","SITE_01277","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005068","SITE_01871","All Metal",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","N/A","N/A","N/A","Unknown","Unknown","Yes","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00005069","SITE_01861","Presence Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"Mechanical_00005070","SITE_01863","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Yes","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00005071","SITE_01867","All Metal",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","N/A","N/A","N/A","Unknown","Unknown","Yes","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00005072","SITE_01341","Metal Plenum, Flex Runs",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","Unknown","N/A","N/A","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"Mechanical_00005073","SITE_01321","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005074","SITE_01267","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005075","SITE_01307","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005076","SITE_01866","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","Crawlspace",1.0000,,1.0000,,"Unconditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00005077","SITE_01316","All Metal",1.0000,,"Fiberglass batts",2.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","Garage",0.2500,,0.5000,,"Conditioned","In Walls",0.2500,,0.5000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00005078","SITE_01345","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005079","SITE_01340","Metal Plenum, Flex Runs",1.0000,,"Foil-faced polyiscyanurate foam board",2.0000,,"N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","Unknown","Unknown","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00003832","SITE_00343","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","No","N/A","No","Crawlspace",1.0000,,1.0000,,"Unconditioned","Attic",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003833","SITE_00344","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Fiberglass Batts","N/A","N/A","No","N/A","No","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00003834","SITE_00345","Metal Plenum, Flex Runs",0.9000,,"Fiberglass batts",1.0000,,"N/A",,"N/A","N/A",,"N/A","R8","N/A","N/A","No","N/A","No","Garage",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00003835","SITE_00347","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Hvac Tape","Yes","Crawlspace",1.0000,,1.0000,,"Unconditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003836","SITE_00348","Metal Plenum, Flex Runs",1.0000,,"Fiberglass batts",1.0000,,"N/A",,"N/A","N/A",,"N/A","R4","N/A","N/A","No","N/A","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","Attic",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003837","SITE_00349","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Unknown","Unknown","Basement",0.0000,,0.5000,,"Conditioned","In Walls",0.0000,,0.5000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.5000,,0.0000,
"Mechanical_00003838","SITE_00350","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00003839","SITE_00351","Metal Plenum, Flex Runs",0.9000,,"Fiberglass batts",2.0000,,"Fiberglass batts",1.0000,,"N/A",,"N/A","R6","N/A","N/A","No","N/A","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","Attic",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003840","SITE_00352","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","Unknown","Basement",0.7500,,1.0000,,"Conditioned","Crawlspace",0.7500,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.7500,,1.0000,,0.0000,
"Mechanical_00003841","SITE_00353","All Metal",1.0000,,"Fiberglass batts",3.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003842","SITE_00354","Metal Plenum, Flex Runs",0.9000,,"Fiberglass batts",1.0000,,"N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","No","N/A","Unknown","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003843","SITE_00355","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","In Walls",1.0000,,0.0000,,"Conditioned","Basement",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003844","SITE_00356","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","No","N/A","Yes","Basement",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00003845","SITE_00357","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00003846","SITE_00358","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","No","N/A","No","In Walls",0.0000,,1.0000,,"Conditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","In Walls",0.2500,,0.0000,,"Conditioned","N/A",0.2500,,0.0000,,"N/A",0.2500,,1.0000,,0.0000,
"Mechanical_00003847","SITE_00359","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Duct Tape","No","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","In Walls",0.5000,,0.0000,,"Conditioned","N/A",0.5000,,0.0000,,"N/A",0.5000,,0.0000,,0.0000,
"Mechanical_00003848","SITE_00360","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00003849","SITE_00361","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","No","N/A","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","Attic",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003850","SITE_00362","90% Flex (Spider System)",1.0000,,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R8","N/A","N/A","N/A","N/A","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","Attic",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003851","SITE_00363","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Mastic","Unknown","Basement",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00003852","SITE_00364","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","No","N/A","No","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003853","SITE_00365","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Yes","Mastic","No","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003854","SITE_00366","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","Yes","Unknown","Yes","In Walls",0.7500,,1.0000,,"Conditioned","Crawlspace",0.7500,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.7500,,1.0000,,0.0000,
"Mechanical_00003855","SITE_00367","Metal Plenum, Flex Runs",1.0000,,"Mixed",2.0000,,"N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","No","N/A","No","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003856","SITE_00368","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","Yes","Caulking","Yes","Crawlspace",0.7500,,0.0000,,"Unconditioned","In Walls",0.7500,,0.0000,,"Conditioned","In Walls",0.2500,,0.0000,,"Conditioned","N/A",0.2500,,0.0000,,"N/A",0.2500,,1.0000,,0.0000,
"Mechanical_00003857","SITE_00369","Metal Plenum, Flex Runs",0.9000,,"Mixed",2.0000,,"N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","Unknown","Unknown","No","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00003858","SITE_00371","90% Flex (Spider System)",1.0000,,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Foiled Backed Insulation.","N/A","N/A","No","N/A","No","Crawlspace",1.0000,,0.0000,,"Unconditioned","MF Home Mechanical Closet",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00003859","SITE_00373","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","R6","N/A","N/A","No","N/A","No","Attic",0.2500,,0.5000,,"Unconditioned","In Walls",0.2500,,0.5000,,"Conditioned","Crawlspace",0.5000,,0.0000,,"Unconditioned","N/A",0.5000,,0.0000,,"N/A",0.2500,,0.5000,,0.0000,
"Mechanical_00003860","SITE_00374","All Metal",1.0000,,"Fiberglass batts",3.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","In Walls",1.0000,,0.0000,,"Conditioned","Crawlspace",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004761","SITE_00579","90% Flex (Spider System)",1.0000,,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","No","N/A","No","Attic",1.0000,,1.0000,,"Unconditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00004762","SITE_00634","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00004763","SITE_00609","Metal Plenum, Flex Runs",1.0000,,"Fiberglass batts",2.0000,,"N/A",,"N/A","N/A",,"N/A","R4","N/A","N/A","Unknown","Unknown","No","Crawlspace",1.0000,,1.0000,,"Unconditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00004764","SITE_00630","Metal Plenum, Flex Runs",,"Unknown","Fiberglass batts",1.0000,,"N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","Unknown","Unknown","No","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned Inaccessible","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,1.0000,
"Mechanical_00004765","SITE_01295","All Metal",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","Unknown",,"Unknown","N/A","N/A","N/A","No","N/A","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00004766","SITE_00575","Metal Plenum, Flex Runs",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","Yes","Mastic","No","Attic",0.0000,,1.0000,,"Unconditioned","Crawlspace",0.0000,,1.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00004767","SITE_00628","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00004768","SITE_00623","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
"Mechanical_00004769","SITE_00599","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,1.0000,,0.0000,
