"PK_Mechanical_ID","CK_SiteID","System Type","Duct Insulation Condition","Duct Insulation Condition_notes","Metal or Ductboard Duct Insulation Type 1","Metal or Ductboard Duct Insulation Thickness 1","Metal or Ductboard Duct Insulation Thickness 1_notes","Metal or Ductboard Duct Insulation Type 2","Metal or Ductboard Duct Insulation Thickness 2","Metal or Ductboard Duct Insulation Thickness 2_notes","Metal or Ductboard Duct Insulation Type 3","Metal or Ductboard Duct Insulation Thickness 3","Metal or Ductboard Duct Insulation Thickness 3_notes","Flex Run Type 1","Flex Run Type 2","Flex Run Type 3","Evidence of Duct Sealing","Duct Sealing Material","Cavity Used for Air Transport","Duct Location 1","Duct Location 1 Supply","Duct Location 1 Supply_notes","Duct Location 1 Return","Duct Location 1 Return_notes","Duct Location 1 Conditioned","Duct Location 2","Duct Location 2 Supply","Duct Location 2 Supply_notes","Duct Location 2 Return","Duct Location 2 Return_notes","Duct Location 2 Conditioned","Duct Location 3","Duct Location 3 Supply","Duct Location 3 Supply_notes","Duct Location 3 Return","Duct Location 3 Return_notes","Duct Location 3 Conditioned","Duct Location 4","Duct Location 4 Supply","Duct Location 4 Supply_notes","Duct Location 4 Return","Duct Location 4 Return_notes","Duct Location 4 Conditioned","Percentage of Supply Ducts in Conditioned Space","Percentage of Supply Ducts in Conditioned Space_notes","Percentage of Return Ducts in Conditioned Space","Percentage of Return Ducts in Conditioned Space_notes","Percent Supply Ducts in Unconditioned Inaccessible Space","Percent Supply Ducts in Unconditioned Inaccessible Space_notes"
"Mechanical_00005218","SITE_01354","Ducting Unknown",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","Unknown","Unknown","Unknown","Crawlspace",1.0000,,1.0000,,"Unconditioned Inaccessible","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,1.0000,
"Mechanical_00005219","SITE_01517","90% Flex (Spider System)",0.9000,,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","Unknown","Unknown","Unknown","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00005220","SITE_01520","90% Flex (Spider System)",0.9000,,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","Yes","Unknown","Unknown","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00005221","SITE_01521","90% Flex (Spider System)",,"Unknown","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","Unknown","N/A","N/A","No","N/A","Unknown","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00005222","SITE_01524","All Metal",0.9000,,"Fiberglass batts",2.0000,,"N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","Unknown","Crawlspace",1.0000,,0.0000,,"Unconditioned","Attic",1.0000,,0.0000,,"Unconditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",0.0000,,0.0000,,0.0000,
"Mechanical_00005223","SITE_01536","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","In Walls",1.0000,,1.0000,,"Conditioned","N/A",1.0000,,1.0000,,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00005224","SITE_01582","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00005225","SITE_01597","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00004906","SITE_00728","All Metal",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","No","N/A","No","Basement",1.0000,,0.0000,,"Conditioned","In Walls",1.0000,,0.0000,,"Conditioned","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",1.0000,,1.0000,,0.0000,
"Mechanical_00004907","SITE_00431","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
"Mechanical_00004908","SITE_00627","Not Present",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A"
