"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Large Unusual Load Type","Large Unusual Load Quantity","Large Unusual Load Quantity_notes","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Wifi Enabled","Well Pump Controlled by VSD","VSD Motor Input","VSD Motor Input_notes","VSD Motor Input Units","Notes","Room Name","Room Type"
"Appliance_00022593","SITE_00871","Room_00001934","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Dicken Manu Company","CC-6","No","N/A","Unknown",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007564","SITE_00871","Room_00001934","Large Unusual Load","Water Softner",1,,"No",,"Unknown","723622","Culligan","00403561","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00022620","SITE_00885","Room_00015008","Well Pump","N/A",,"N/A","No",,"Unknown","001E13D","Flotec","Fp4012-10","No","N/A","No",0.50000,,"HP","N/A","Outside_2","Outside"
"Appliance_00007565","SITE_00887","Room_00002116","Large Unusual Load","Aquarium",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Living Room_1","Living Room"
"Appliance_00007566","SITE_00897","Room_00002212","Large Unusual Load","Water Softener",1,,"No",,"Unknown","0034823B0D1009","Watergroup","5600MI948-100","No","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00022594","SITE_00897","Room_00002212","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Franklin Electric","2801054915","No","N/A","Unknown",,"Unknown","Unknown","1/2HP","Garage_2","Garage"
"Appliance_00007567","SITE_00899","Room_00002250","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","Reebok","8000 es","No","No","N/A",,"N/A","N/A","N/A","Other_1","Other"
"Appliance_00007568","SITE_00899","Room_00002248","Large Unusual Load","Sauna",1,,"No",,"Unknown","Unknown","LuxSauna","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Laundry_2","Laundry"
"Appliance_00007569","SITE_00901","Room_00002265","Large Unusual Load","Air Compressor",1,,"No",,"Unknown","Unknown","Central Pneumatic","40400","No","No","N/A",,"N/A","N/A","N/A","Garage_1","Garage"
"Appliance_00007570","SITE_00901","Room_00002265","Large Unusual Load","Welder (Electric)",1,,"No",,"Unknown","Unknown","Lincoln Electric","7533711","No","No","N/A",,"N/A","N/A","N/A","Garage_1","Garage"
"Appliance_00007571","SITE_00903","Room_00002298","Large Unusual Load","Water Softner",1,,"No",,"Unknown","Unknown","Waterboss","700","No","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00022621","SITE_00914","Room_00015034","Well Pump","N/A",,"N/A","No",,"Unknown","14413J2","Red Lion","S48e11b67","Unknown","N/A","Unknown",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007572","SITE_00916","Room_00002436","Large Unusual Load","Rv Trailer",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
