CK_Cadmus_ID,PK_SiteID,DB_SiteID,CK_SiteID,DB_RoomID,CK_RoomID,DB_WaterDetail_ID,PK_WaterDetail_ID,Iteration,Room,Clean Room,Fixture Type,GPM_Rated,GPM_Measured,Primary Shower,Secondary Shower Usage,Notes,Flow Factor,New Flow (Measured GPM),Weir or Bag
ERM1665 CORE,,SITE_00520,SITE_1C87E170-AA4D-A44E-859E-EBFC07056F11,Room_00010658,ROOM_7541E3B0-AC53-4FD3-A00A-26DEE5AEB3E5,Water_00009212,WTR_DTL_2F0A3108-BC82-4F78-9630-708E41F5A2F9,SITE_1C87E170-AA4D-A44E-859E-EBFC07056F11_3,Kitchen_1,Kitchen,Kitchen Faucet,2.2000000000000002,2.5,N/A,N/A,N/A,0.79600000000000004,1.9900000000000002,Bag
ERM1665 CORE,,SITE_00520,SITE_1C87E170-AA4D-A44E-859E-EBFC07056F11,Room_00010659,ROOM_28696EC7-4B85-41F5-96DD-0DB686071619,Water_00009213,WTR_DTL_414BACE7-5E2A-4368-BFCB-13461BC91ECF,SITE_1C87E170-AA4D-A44E-859E-EBFC07056F11_4,Bathroom_1,Bathroom,Bathroom Faucet,1,1.3,N/A,N/A,N/A,0.79600000000000004,1.0348000000000002,Bag
EWS16689 CORE,,SITE_00753,"SITE_C7BFF052-FDF3-4CAA-BFB7-46556BBB3ECD_x000D_
SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950",Room_00013729,ROOM_80F5B85B-7118-4407-A938-73D696218161,Water_00009214,WTR_DTL_BA0B9C13-112D-452E-8657-6521B3C54B88,SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950_1,Bathroom_1,Bathroom,Bathroom Faucet,2.5,2,N/A,N/A,N/A,0.79600000000000004,1.5920000000000001,Bag
EWS16689 CORE,,SITE_00753,"SITE_C7BFF052-FDF3-4CAA-BFB7-46556BBB3ECD_x000D_
SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950",Room_00013729,ROOM_80F5B85B-7118-4407-A938-73D696218161,Water_00009215,WTR_DTL_C52A2591-D4B9-4EAF-8F60-103B0BA6F2A6,SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950_2,Bathroom_1,Bathroom,Shower,Unknown,1.2,Secondary,A few times per year,N/A,0.84919999999999995,1.0190399999999999,Bag
EWS16689 CORE,,SITE_00753,"SITE_C7BFF052-FDF3-4CAA-BFB7-46556BBB3ECD_x000D_
SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950",Room_00013735,ROOM_A22458F2-03F0-40EF-B01B-CEAF652D6414,Water_00009216,WTR_DTL_2D3A01AF-4ED0-47C5-8308-A26BDC6ABAAB,SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950_3,Kitchen_1,Kitchen,Kitchen Faucet,2.2000000000000002,2,N/A,N/A,N/A,0.79600000000000004,1.5920000000000001,Bag
EWS16689 CORE,,SITE_00753,"SITE_C7BFF052-FDF3-4CAA-BFB7-46556BBB3ECD_x000D_
SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950",Room_00013737,ROOM_007A980F-B500-410A-8496-315FA7A81774,Water_00009217,WTR_DTL_B4AD0580-D368-4CB7-8841-B43AD653B472,SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950_4,Bathroom_2,Bathroom,Bathroom Faucet,Unknown,2,N/A,N/A,N/A,0.79600000000000004,1.5920000000000001,Bag
EWS16689 CORE,,SITE_00753,"SITE_C7BFF052-FDF3-4CAA-BFB7-46556BBB3ECD_x000D_
SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950",Room_00013737,ROOM_007A980F-B500-410A-8496-315FA7A81774,Water_00009218,WTR_DTL_DA33CDCA-684C-4E77-9A81-916B2C72DAC4,SITE_91CC3E44-D941-4EEE-A875-F8FFD5F5C950_5,Bathroom_2,Bathroom,Shower / Bathtub combo with diverter valve,Unknown,2.5,Primary,Daily / Almost Daily,N/A,0.84919999999999995,2.1229999999999998,Bag
RBM59505 OS BPA,,SITE_01275,SITE_91B7C84B-0D76-7047-8673-C20849EA3229,Room_00017877,ROOM_706A864B-66A1-4586-8E6C-7825413602E9,Water_00009219,WTR_DTL_8F10FAE6-689C-400C-9939-882443E99471,SITE_91B7C84B-0D76-7047-8673-C20849EA3229_3,Kitchen_1,Kitchen,Kitchen Faucet,2.2000000000000002,2,N/A,N/A,N/A,0.79600000000000004,1.5920000000000001,Bag
RBS71775 OS BPA,,SITE_01353,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6,Room_00018814,ROOM_D74D50C0-171E-43BB-A465-69B61240EAA8,Water_00009220,WTR_DTL_0E05CA9A-8BE3-4488-B269-9A3B11A90A79,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6_1,Bathroom_1,Bathroom,Bathroom Faucet,Unknown,1.5,N/A,N/A,N/A,0.79600000000000004,1.194,Bag
RBS71775 OS BPA,,SITE_01353,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6,Room_00018814,ROOM_D74D50C0-171E-43BB-A465-69B61240EAA8,Water_00009221,WTR_DTL_6FFE7E12-180F-450E-BED9-9EDB8B95D5B8,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6_2,Bathroom_1,Bathroom,Shower / Bathtub combo with diverter valve,2.5,1.5,Primary,Daily / Almost Daily,N/A,0.84919999999999995,1.2738,Bag
