"PK_Mechanical_ID","CK_SiteID","Distance to Return Grilles","Distance to Return Grilles_notes","Filter Condition","HVAC System Mode","Plate Used","Return Duct Sealing","TrueFlow Probe Location","Secondary Probe Location","TrueFlow Plate Location","NSOP","NSOP_notes","Plate 14 Pressure Differential","Plate 14 Pressure Differential_notes","Plate 20 Pressure Differential","Plate 20 Pressure Differential_notes","Secondary Pressure","Secondary Pressure_notes","TrueFlow SOP","TrueFlow SOP_notes","System Airflow (CFM)","TrueFlow Notes"
"Mechanical_00015019","SITE_00648",,,,,"Plate #14 (14x20 to 18x20)","Unsealed, with one or more disconnects",,,"Return grille within 10 feet of air handler",,,,,,,,,,,,"N/A"
"Mechanical_00015020","SITE_00660",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015021","SITE_00648",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015022","SITE_00663",3.0000,,"Some dirt","Fan only, high","Plate #20 (20x20 to 24x24)","Unsealed, no obvious holes or disconnects","Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Return grille within 10 feet of air handler",-3.4000,,,,21.4000,,28.9000,,-3.2000,,734.3314,"N/A"
"Mechanical_00015023","SITE_00422",,,"Fairly dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",27.0000,,20.5000,,,,8.3000,,20.3000,,600.4939,"N/A"
"Mechanical_00015024","SITE_00777",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015054","SITE_00494",,,"Clean, like new","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",-3.4000,,57.5000,,,,,,-4.0000,,803.9726,"N/A"
"Mechanical_00015055","SITE_00506",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015056","SITE_00015",5.0000,,"Clean, like new","Heat","Plate #14 (14x20 to 18x20)","Unsealed, no obvious holes or disconnects","Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Return grille within 10 feet of air handler",3.0000,,18.8000,,,,9.9000,,3.2000,,482.7946,"N/A"
"Mechanical_00015060","SITE_00298",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015061","SITE_00406",,,,"Fan only, high",,,"Side of return plenum (fits 'Best')","Side of supply plenum (fits 'Best')",,19.6000,,,,,,13.5000,,,,,"N/A"
"Mechanical_00015062","SITE_00295",,,"Clean, like new","Cool","Plate #14 (14x20 to 18x20)",,"Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Filter slot at air handler",14.6000,,56.9000,,,,2.8000,,24.4000,,671.0200,"N/A"
"Mechanical_00015063","SITE_00296",,,,"Cool",,,"Supply register (fits 'Secondary')","On top of filter at return",,10.0000,,,,,,8.3000,,,,,"N/A"
"Mechanical_00015064","SITE_00410",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015065","SITE_00411",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015067","SITE_00221",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015068","SITE_00301",,,"Some dirt","Cool","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",16.8000,,,,48.2000,,11.3000,,7.8000,,1569.1035,"N/A"
"Mechanical_00015069","SITE_00408",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015070","SITE_00407",,,,,,,,,,,,,,,,,,,,,"no access to filter slot"
"Mechanical_00015071","SITE_00391",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015072","SITE_00219",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015073","SITE_00399",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015074","SITE_02029",,,"Very dirty","Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot next to air handler",23.8000,,,,71.4000,,49.7000,,30.6000,,1147.6186,"N/A"
"Mechanical_00015075","SITE_00028",,,"Clean, like new","Heat","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",-15.0000,,,,-9.4000,,,,-15.8000,,460.0465,"N/A"
"Mechanical_00015076","SITE_00031",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015077","SITE_00030",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015078","SITE_00027",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015079","SITE_00023",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015080","SITE_00036",,,"Effectively clogged","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Other","Filter slot at air handler",10.0000,,102.6000,,,,12.0000,,19.2000,,840.6610,"N/A"
"Mechanical_00015081","SITE_00025",,,"Fairly dirty","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","On filter","Filter slot at air handler",49.8000,,90.9000,,,,4.5000,,87.1000,,829.0589,"N/A"
"Mechanical_00015082","SITE_00035",,,"Clean, like new","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",22.9000,,46.6000,,,,21.9000,,21.0000,,819.7830,"N/A"
"Mechanical_00015112","SITE_00330",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015113","SITE_00311",,,"Clean, like new","Cool",,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015114","SITE_00306",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015115","SITE_00412",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015116","SITE_00314",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015117","SITE_00319",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015118","SITE_00320",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015119","SITE_00232",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015120","SITE_00312",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015121","SITE_00325",,,"Very dirty","Heat","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",29.2000,,,,27.6000,,5.9000,,48.5000,,627.7631,"N/A"
"Mechanical_00015122","SITE_00323",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015123","SITE_00327",3.0000,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)","N/A","Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Return grille within 10 feet of air handler",17.0000,,52.7000,,,,19.1000,,17.8000,,815.8637,"N/A"
"Mechanical_00015124","SITE_01905",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015125","SITE_00005",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015126","SITE_00315",,,"Fairly dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of supply plenum (fits 'Best')","Filter slot at air handler",55.0000,,62.2000,,,,15.8000,,60.0000,,868.3579,"N/A"
"Mechanical_00015127","SITE_00753",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015128","SITE_01224",,,"Clean, like new","Heat","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Other","Filter slot at air handler",14.9000,,,,23.1000,,7.4000,,12.2000,,817.9748,"N/A"
"Mechanical_00015129","SITE_01356",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015130","SITE_00305",,,"Fairly dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",28.8000,,51.5000,,,,3.6000,,40.4000,,696.7982,"N/A"
"Mechanical_00015131","SITE_00324",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015132","SITE_00328",,,"Clean, like new","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Other","Filter slot at air handler",52.7000,,42.0000,,,,,,36.4000,,896.7618,"N/A"
"Mechanical_00015133","SITE_00329",,,,,,,,,,,,,,,,,,,,,"N/A"
