"PK_Mechanical_ID","CK_SiteID","Distance to Return Grilles","Distance to Return Grilles_notes","Filter Condition","HVAC System Mode","Plate Used","Return Duct Sealing","TrueFlow Probe Location","Secondary Probe Location","TrueFlow Plate Location","NSOP","NSOP_notes","Plate 14 Pressure Differential","Plate 14 Pressure Differential_notes","Plate 20 Pressure Differential","Plate 20 Pressure Differential_notes","Secondary Pressure","Secondary Pressure_notes","TrueFlow SOP","TrueFlow SOP_notes","System Airflow (CFM)","TrueFlow Notes"
"Mechanical_00014971","SITE_01827",,,"Some dirt","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",27.2000,,28.2000,,,,1.8000,,29.0000,,591.4361,"N/A"
"Mechanical_00014974","SITE_00613",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014975","SITE_00512",,,"Effectively clogged","Heat","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",1.2000,,,,32.4000,,7.2000,,2.3000,,633.1694,"N/A"
"Mechanical_00014976","SITE_00589",,,"Clean, like new","Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",24.1000,,,,53.7000,,89.5000,,27.0000,,1066.1897,"N/A"
"Mechanical_00014977","SITE_00561",,,"Clean, like new","Heat","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",48.2000,,,,-55.9000,,13.4000,,96.2000,,815.0094,"N/A"
"Mechanical_00014978","SITE_00545",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014979","SITE_00574",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014980","SITE_00516",1.0000,,"Fairly dirty","Fan only, high","Plate #20 (20x20 to 24x24)","N/A","Supply register (fits 'Secondary')","Other","Return grille within 10 feet of air handler",3.2000,,,,17.1000,,16.5000,,18.5000,,264.8548,"N/A"
"Mechanical_00014981","SITE_00588",1.0000,,"Some dirt","Heat","Plate #14 (14x20 to 18x20)","Unsealed, no obvious holes or disconnects","Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Return grille within 10 feet of air handler",23.0000,,39.5000,,,,19.0000,,27.3000,,663.4054,"N/A"
"Mechanical_00014982","SITE_00558",,,"Clean, like new","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",15.2000,,20.7000,,,,58.0000,,18.5000,,474.2627,"N/A"
"Mechanical_00014983","SITE_00566",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014984","SITE_00511",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014985","SITE_01855",1.0000,,"Clean, like new","Fan only, high","Plate #14 (14x20 to 18x20)","N/A","Side of return plenum (fits 'Best')","Side of supply plenum (fits 'Best')","Return grille within 10 feet of air handler",2.1000,,131.4000,,,,52.9000,,53.7000,,260.6862,"N/A"
"Mechanical_00014986","SITE_01858",1.0000,,"Some dirt","Heat","Plate #14 (14x20 to 18x20)","N/A","Side of return plenum (fits 'Best')","Side of supply plenum (fits 'Best')","Return grille within 10 feet of air handler",0.1000,,1.4000,,,,0.4000,,0.5000,,60.8523,"N/A"
"Mechanical_00014987","SITE_01853",,,"Effectively clogged","Fan only, high","Plate #14 (14x20 to 18x20)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot next to air handler",16.5000,,49.9000,,,,3.0000,,13.2000,,908.2452,"N/A"
"Mechanical_00014988","SITE_01828",3.0000,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)","N/A","Side of return plenum (fits 'Best')","Side of return plenum (fits 'Best')","Return grille within 10 feet of air handler",3.1000,,14.3000,,,,4.3000,,3.4000,,415.2477,"N/A"
"Mechanical_00014989","SITE_01833",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014990","SITE_01857",2.0000,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)","N/A","Other","Supply register (fits 'Secondary')","Return grille within 10 feet of air handler",5.1000,,16.8000,,,,10.2000,,10.8000,,323.9110,"N/A"
"Mechanical_00014991","SITE_01837",,,"Some dirt","Fan only, high","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Other","Filter slot at air handler",,,,,22.7000,,27.0000,,26.3000,,,"N/A"
"Mechanical_00014992","SITE_01846",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Other","Filter slot at air handler",39.5000,,78.2000,,,,45.2000,,50.3000,,901.1888,"N/A"
"Mechanical_00014993","SITE_00567",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014994","SITE_01219",,,"Some dirt","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",6.3000,,74.2000,,,,,,8.8000,,838.1635,"N/A"
"Mechanical_00014995","SITE_01218",,,"Some dirt","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",8.0000,,25.2000,,,,,,8.8000,,550.4296,"N/A"
"Mechanical_00015025","SITE_00649",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015026","SITE_00765",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015027","SITE_00704",,,,"Cool","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",-4.3000,,,,-16.5000,,,,-3.9000,,656.8476,"N/A"
"Mechanical_00015028","SITE_00457",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015029","SITE_00744",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015030","SITE_00773",,,"Some dirt","Fan only, high","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')",,"Filter slot next to air handler",-87.9000,,,,-81.6000,,,,-89.2000,,1380.9495,"N/A"
"Mechanical_00015031","SITE_00775",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",26.0000,,30.1000,,,,82.0000,,27.1000,,617.9924,"N/A"
"Mechanical_00015032","SITE_00421",,,"Very dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot next to air handler",14.6000,,63.0000,,,,11.1000,,31.5000,,621.4258,"N/A"
"Mechanical_00015033","SITE_00666",,,"Fairly dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Filter slot at air handler",9.7000,,61.0000,,,,8.9000,,21.2000,,607.5481,"N/A"
"Mechanical_00015034","SITE_00665",,,"Fairly dirty","Fan only, high","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",2.3000,,,,15.0000,,,,1.8000,,674.2082,"N/A"
"Mechanical_00015035","SITE_00668",,,"Fairly dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",1.8000,,45.5000,,,,,,4.3000,,501.8866,"N/A"
"Mechanical_00015036","SITE_00707",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015037","SITE_00789",,,"Some dirt","Cool","Plate #20 (20x20 to 24x24)",,"Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Filter slot at air handler",103.5000,,,,32.2000,,,,109.5000,,849.5947,"N/A"
"Mechanical_00015038","SITE_00656",,,"Effectively clogged","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of supply plenum (fits 'Best')","Filter slot at air handler",87.3000,,12.3000,,,,58.4000,,114.1000,,352.7887,"N/A"
"Mechanical_00015039","SITE_00426",,,"Some dirt","Fan only, high","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",15.0000,,,,32.5000,,3.2000,,3.4000,,1844.0325,"N/A"
"Mechanical_00015040","SITE_00730",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015041","SITE_00703",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015042","SITE_00726",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015043","SITE_00661",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015044","SITE_00783",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015045","SITE_00722",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015046","SITE_00458",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015047","SITE_00776",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015048","SITE_00657",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015049","SITE_00728",,,,"Fan only, high",,,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')",,,,,,,,,,,,,"N/A"
"Mechanical_00015050","SITE_00719",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015051","SITE_01208",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Side of return plenum (fits 'Best')","Side of supply plenum (fits 'Best')","Filter slot at air handler",35.4000,,39.0000,,,,133.0000,,38.9000,,685.1047,"N/A"
"Mechanical_00015052","SITE_00501",,,"Some dirt","Cool","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",40.7000,,,,-40.5000,,-41.2000,,47.4000,,908.1472,"N/A"
"Mechanical_00015053","SITE_00710",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015083","SITE_01226",,,"Clean, like new","Heat","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Other","Filter slot at air handler",39.4000,,58.0000,,,,8.0000,,37.3000,,900.1306,"N/A"
"Mechanical_00015084","SITE_01225",,,"Clean, like new","Heat","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",22.0000,,,,15.9000,,7.5000,,20.8000,,631.5372,"N/A"
"Mechanical_00015085","SITE_01870",,,"Some dirt","Heat","Plate #14 (14x20 to 18x20)",,"Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Filter slot at air handler",15.6000,,51.8000,,,,4.2000,,22.2000,,693.8227,"N/A"
"Mechanical_00015086","SITE_01335",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015087","SITE_01332",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015088","SITE_01864",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015089","SITE_01302",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015090","SITE_01868",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015091","SITE_01871",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015092","SITE_01863",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015093","SITE_01867",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Other","Filter slot next to air handler",37.0000,,62.2000,,,,,,42.8000,,843.2804,"N/A"
"Mechanical_00015094","SITE_01866",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015095","SITE_01316",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015096","SITE_01340",,,"Clean, like new","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",23.6000,,48.8000,,,,20.0000,,28.5000,,731.0403,"N/A"
"Mechanical_00015097","SITE_01228",,,"Fairly dirty","Cool","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",37.3000,,46.1000,,,,7.1000,,42.1000,,734.9566,"N/A"
"Mechanical_00015098","SITE_01222",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015099","SITE_01229",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015100","SITE_01306",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015101","SITE_01311",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015102","SITE_01865",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015103","SITE_01360",,,,"Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of return plenum (fits 'Best')","Side of supply plenum (fits 'Best')","Filter slot at air handler",44.7000,,,,21.0000,,34.8000,,43.8000,,712.9303,"N/A"
"Mechanical_00015105","SITE_01317",,,"Clean, like new","Fan only, high","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot next to air handler",5.2000,,,,26.4000,,5.5000,,7.3000,,667.8254,"N/A"
"Mechanical_00015106","SITE_01308",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015107","SITE_01342",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015108","SITE_01347",,,"Some dirt","Cool","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Other","Filter slot at air handler",16.0000,,80.0000,,,,,,25.0000,,822.8730,"N/A"
"Mechanical_00015109","SITE_01227",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015110","SITE_00542",,,"Clean, like new","Cool","Plate #20 (20x20 to 24x24)",,"Side of return plenum (fits 'Best')","Side of supply plenum (fits 'Best')","Filter slot at air handler",43.6000,,,,18.2000,,112.5000,,47.5000,,629.4378,"N/A"
"Mechanical_00015111","SITE_00307",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')",,"Filter slot next to air handler",-15.8000,,33.2000,,,,,,-16.8000,,642.6001,"N/A"
