"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Game System Release","Used for DVD or Bluray","Used to access Internet","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00007308","SITE_00685","Room_00012753","Game Console","No",2014,,"N/A","Microsoft","08056221038539744508","No","Original","Yes","No","No","N/A","Living Room_1","Living Room"
"Appliance_00007305","SITE_00686","Room_00012759","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","No","No","No","N/A","Family Room_1","Family Room"
"Appliance_00007306","SITE_00686","Room_00012759","Game Console","No",,"Unknown","LU92613442","Nintendo","rvl-001","No","Original","Yes","No","No","N/A","Family Room_1","Family Room"
"Appliance_00007307","SITE_00686","Room_00012759","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","No","Original","No","No","No","N/A","Family Room_1","Family Room"
"Appliance_00007353","SITE_00692","Room_00012823","Game Console","No",,"Unknown","Unknown","Microsoft","Xbox One","No","Original","Yes","Yes","Yes","N/A","Family Room_1","Family Room"
"Appliance_00007329","SITE_00699","Room_00012926","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","Unknown","Unknown","No","Yes","Yes","Controllers present but cannot locate the console itself","Bedroom_1","Bedroom"
"Appliance_00007327","SITE_00702","Room_00012960","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","Unknown","Unknown","Unknown","No nameplate","Living Room_1","Living Room"
"Appliance_00007341","SITE_00704","Room_00012993","Game Console","Yes",2014,,"N/A","Microsoft","1540","No","Original","Yes","Yes","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00007362","SITE_00705","Room_00013006","Game Console","No",,"Unknown","Unknown","Sony","Unknown","No","Original","No","No","Yes","N/A","Bedroom_3","Bedroom"
"Appliance_00007363","SITE_00705","Room_00013006","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Slim","Unknown","Unknown","Yes","N/A","Bedroom_3","Bedroom"
"Appliance_00007313","SITE_00708","Room_00013052","Game Console","No",,"Unknown","LU62231363","Nintendo","Rvl-001","No","Original","Yes","Yes","Yes","N/A","Family Room_1","Family Room"
"Appliance_00007314","SITE_00708","Room_00013061","Game Console","Yes",2010,,"N/A","Microsoft","Unknown","Unknown","Original","Yes","No","Yes","N/A","Bedroom_3","Bedroom"
"Appliance_00007300","SITE_00724","Room_00013305","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Slim","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00007301","SITE_00724","Room_00013305","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00022813","SITE_00732","Room_00013420","Game Console","No",2017,,"Unknown","Nintendo","Rvl-001","Unknown","Original","No","No","Unknown","N/A","Family Room_1","Family Room"
"Appliance_00007333","SITE_00737","Room_00013493","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007332","SITE_00738","Room_00013516","Game Console","No",,"Unknown","Unknown","Sony","PS4","No","Original","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00022814","SITE_00739","Room_00013528","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","Yes","Yes","No","N/A","Living Room_1","Living Room"
"Appliance_00007364","SITE_00740","Room_00013539","Game Console","No",,"Unknown","Unknown","Nintendo","RVL-001","No","Original","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00007365","SITE_00740","Room_00013539","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Slim","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00007330","SITE_00741","Room_00013551","Game Console","No",,"Unknown","CU207517486","Nintendo","CLV-001","No","Unknown","No","No","No","N/A","Basement_1","Basement"
"Appliance_00007331","SITE_00741","Room_00013551","Game Console","No",,"Unknown","Unknown","Sony","PS4","No","Original","No","Yes","Yes","N/A","Basement_1","Basement"
"Appliance_00007492","SITE_00753","Room_00013730","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Original","Yes","No","No","N/A","Basement_1","Basement"
"Appliance_00007302","SITE_00758","Room_00013809","Game Console","No",,"Unknown","Unknown","Sony","PS2","No","Slim","Yes","No","No","N/A","Bedroom_1","Bedroom"
"Appliance_00007303","SITE_00758","Room_00013812","Game Console","Yes",2009,,"N/A","Microsoft","XBOX360","No","Original","Yes","Yes","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00007304","SITE_00758","Room_00013816","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","No","Original","No","Yes","No","N/A","Other_1","Other"
"Appliance_00007377","SITE_00761","Room_00013875","Game Console","Yes",2004,,"N/A","Microsoft","1439","No","Slim","Yes","No","Yes","N/A","Basement_1","Basement"
"Appliance_00007354","SITE_00762","Room_00013881","Game Console","No",,"Unknown","Unknown","Sony","Ps4","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007355","SITE_00762","Room_00013897","Game Console","No",,"Unknown","Unknown","Sony","PS3","No","Original","Yes","Yes","Yes","N/A","Family Room_1","Family Room"
"Appliance_00007297","SITE_00764","Room_00013927","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","No","Original","Yes","Yes","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00007298","SITE_00764","Room_00013929","Game Console","No",,"Unknown","CE514280714CECHG01","Sony","Unknown","No","Original","Yes","Yes","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00007296","SITE_00768","Room_00013986","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","No","Original","No","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007347","SITE_00775","Room_00014088","Game Console","No",,"Unknown","LU357001897","Nintendo","RVL-001","No","Original","No","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007348","SITE_00775","Room_00014097","Game Console","No",,"Unknown","0509957442448","Microsoft","1540","No","Original","Unknown","Yes","Yes","N/A","Basement_1","Basement"
"Appliance_00007349","SITE_00775","Room_00014097","Game Console","No",,"Unknown","1182995513709","Microsoft","1439","No","Slim","Unknown","Unknown","Unknown","N/A","Basement_1","Basement"
"Appliance_00007351","SITE_00779","Room_00014148","Game Console","No",,"Unknown","Unknown","Microsoft","Xbox360","No","Slim","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007352","SITE_00779","Room_00014147","Game Console","No",,"Unknown","Unknown","Sony","Ps3","No","Slim","No","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00007316","SITE_00783","Room_00014213","Game Console","No",,"Unknown","050997543348","Microsoft","1540","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007317","SITE_00783","Room_00014213","Game Console","Yes",2009,,"N/A","Microsoft","Unknown","Unknown","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007318","SITE_00783","Room_00014213","Game Console","No",,"Unknown","154742541806","Microsoft","Unknown","Unknown","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007310","SITE_00786","Room_00014253","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","Unknown","Original","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007342","SITE_00787","Room_00014265","Game Console","Yes",2006,,"N/A","Microsoft","Unknown","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
