"PK_Envelope_ID","CK_SiteID","Floor Type","Floor Sub-Type","Floor Area","Floor Area_notes","Floor Perimeter","Floor Perimeter_notes","Foundation Wall Area","Foundation Wall Area_notes","Type of Area Below","Area Below Heated","Framing Type","Framing Size","Framing Spacing","Framing Spacing_notes","Crawlspace Vents Present","Crawlspace Vents Blocked","Basement Percent Below Grade","Basement Percent Below Grade_notes","Central Heating Equipment in Basement","Ducting in Basement","Slab Heated","Slab Insulated","Slab Insulation Position","Slab Insulation Type 1","Slab Insulation Thickness 1","Slab Insulation Thickness 1_notes","Slab Insulation Condition 1","Slab Insulation Condition 1_notes","Slab Insulation Type 2","Slab Insulation Thickness 2","Slab Insulation Thickness 2_notes","Slab Insulation Condition 2","Slab Insulation Condition 2_notes","Slab Insulation Type 3","Slab Insulation Thickness 3","Slab Insulation Thickness 3_notes","Slab Insulation Condition 3","Slab Insulation Condition 3_notes","Framed Floor Insulated","Framed Floor Insulation Type 1","Framed Floor Insulation Thickness 1","Framed Floor Insulation Thickness 1_notes","Framed Floor Insulation Condition 1","Framed Floor Insulation Condition 1_notes","Framed Floor Insulation Type 2","Framed Floor Insulation Thickness 2","Framed Floor Insulation Thickness 2_notes","Framed Floor Insulation Condition 2","Framed Floor Insulation Condition 2_notes","Framed Floor Insulation Type 3","Framed Floor Insulation Thickness 3","Framed Floor Insulation Thickness 3_notes","Framed Floor Insulation Condition 3","Framed Floor Insulation Condition 3_notes","Framed Floor Insulation R-Value","Framed Floor Insulation R-Value_notes","Crawlspace Walls Insulated","Crawlspace Wall Insulation Type 1","Crawlspace Wall Insulation Condition 1","Crawlspace Wall Insulation Condition 1_notes","Crawlspace Wall Insulation Type 2","Crawlspace Wall Insulation Thickness 2","Crawlspace Wall Insulation Thickness 2_notes","Crawlspace Wall Insulation Condition 2","Crawlspace Wall Insulation Condition 2_notes","Crawlspace Wall Exteriors Insulated","Crawlspace Wall Exterior Insulation Type 1","Crawlspace Wall Exterior Insulation Thickness 1","Crawlspace Wall Exterior Insulation Thickness 1_notes","Crawlspace Wall Exterior Insulation Condition 1","Crawlspace Wall Exterior Insulation Condition 1_notes","Crawlspace Wall Exterior Insulation Type 2","Crawlspace Wall Exterior Insulation Thickness 2","Crawlspace Wall Exterior Insulation Thickness 2_notes","Crawlspace Wall Exterior Insulation Condition 2","Crawlspace Wall Exterior Insulation Condition 2_notes","Crawlspace Wall Interior Insulation R-Value","Crawlspace Wall Interior Insulation R-Value_notes","Crawlspace Wall Exterior Insulation R-Value","Crawlspace Wall Exterior Insulation R-Value_notes","Crawlspace Wall Below Grade U-Value","Crawlspace Wall Below Grade U-Value_notes","Crawlspace Wall Above Grade U-Value","Crawlspace Wall Above Grade U-Value_notes","Foundation Wall U-Value","Foundation Wall U-Value_notes","Foundation Wall Heat Loss Rate (UA)","Foundation Wall Heat Loss Rate (UA)_notes","Foundation F-Value","Foundation F-Value_notes","Ground Contact Heat Loss Rate (UA)","Ground Contact Heat Loss Rate (UA)_notes","Framed Floor U-Value","Framed Floor U-Value_notes","Framed Floor Heat Loss Rate (UA)","Framed Floor Heat Loss Rate (UA)_notes","Final Floor / Foundation Heat Loss Rate (UA)","Final Floor / Foundation Heat Loss Rate (UA)_notes","Heat Loss Components","Floor Notes"
"Envelope_00001408","BLDG_00041","Crawlspace","Unconditioned",8384.0000,,376.0000,,"1,504.00","Estimated","N/A","N/A","Unknown","Unknown",,"Unknown","Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","Unknown","N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,0.3500,,,"Unknown",0.6801,,1022.7960,,0.5900,,221.8400,,0.0997,"Estimated based on homes of similar vintage",835.6717,,835.6717,,"Components: Framed Floor UA","Could not access the crawlspace"
"Envelope_00001540","BLDG_00042","Slab","N/A",3623.0000,,315.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","No","No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,229.9500,,,"N/A",,"N/A",229.9500,,"Components: Ground Contact UA","N/A"
"Envelope_00003489","BLDG_00043","Crawlspace","Unconditioned",4576.0000,,484.0000,,"1,936.00","Estimated","N/A","N/A","Unknown","Unknown",,"Unknown","Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","Unknown","N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,0.3500,,,"Unknown",0.6801,,1316.5778,,0.5900,,285.5600,,0.0997,"Estimated based on homes of similar vintage",456.1109,,456.1109,,"Components: Framed Floor UA","N/A"
"Envelope_00001439","BLDG_00044","Crawlspace","Unconditioned",3535.0000,,364.0000,,"1,456.00","Estimated","N/A","N/A","Unknown","Unknown",,"Unknown","Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","Unknown","N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,0.3500,,,"Unknown",0.6801,,990.1535,,0.5900,,214.7600,,0.0997,"Estimated based on homes of similar vintage",352.3497,,352.3497,,"Components: Framed Floor UA","N/A"
"Envelope_00001462","BLDG_00045","Slab","N/A",4454.0000,,330.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","No","No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,240.9000,,,"N/A",,"N/A",240.9000,,"Components: Ground Contact UA","N/A"
"Envelope_00001541","BLDG_00046","Crawlspace","Unconditioned",1630.0000,,182.0000,,"728.00","Estimated","N/A","N/A","Unknown","Unknown",,"Unknown","Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","Unknown","N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,0.3500,,,"Unknown",0.6801,,495.0768,,0.5900,,107.3800,,0.0997,"Estimated based on homes of similar vintage",162.4696,,162.4696,,"Components: Framed Floor UA","No access, crawl presumed from venting"
"Envelope_00001542","BLDG_00048","Slab","N/A",5264.0000,,480.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7300,,350.4000,,,"N/A",,"N/A",350.4000,,"Components: Ground Contact UA","N/A"
"Envelope_00001543","BLDG_00048","Floor over other area","Frame",3248.0000,,,"N/A",,"N/A","Parking","No","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.2127,"Estimated based on homes of similar vintage",690.8986,,690.8986,,"Components: Framed Floor UA","N/A"
"Envelope_00001451","BLDG_00049","Crawlspace","Unconditioned",5804.0000,,396.0000,,"1,584.00","Estimated","N/A","N/A","Joist","2x6 or 4x6",16,,"Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7550,,"No","N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0000,,0.0000,,0.3500,,1.0101,,0.6801,,1077.2000,,0.5900,,233.6400,,0.0490,,284.5048,,284.5048,,"Components: Framed Floor UA","N/A"
"Envelope_00001171","BLDG_00050","Slab","N/A",2112.0000,,236.0000,,,"N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","Unknown","Expanded Polystyrene Foam Board",2.5000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.7000,,165.2000,,,"N/A",,"N/A",165.2000,,"Components: Ground Contact UA","N/A"
