"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Type of Area Above Ceiling","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value","Ceiling U-Value_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00004295","SITE_01834","Attic",1380.0000,,"N/A","No","Yes","Fiberglass batts",2.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",6.8200,,0.1191,,164.3920,,"N/A"
"Envelope_00004296","SITE_01835","Attic",1152.0000,,"N/A","No","Yes","Fiberglass batts",2.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",6.8200,,0.1191,,137.2316,,"N/A"
"Envelope_00004297","SITE_01835","Sloped / Vaulted (no attic)",162.0000,,"N/A","No","Yes","Fiberglass batts",2.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",6.8200,,0.1139,,18.4594,,"N/A"
"Envelope_00004298","SITE_01836","Attic",1782.0000,,"N/A","Yes","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0898,,159.9496,,"N/A"
"Envelope_00004299","SITE_01837","Attic",1588.0000,,"N/A","No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0898,,142.5364,,"N/A"
"Envelope_00004300","SITE_01838","Attic",1320.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,61.3978,,"N/A"
"Envelope_00004301","SITE_01839","Attic",1125.0000,,"N/A","No","Yes","Fiberglass batts",2.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",6.8200,,0.1191,,134.0152,,"N/A"
"Envelope_00004302","SITE_01840","Attic",1560.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,72.5611,,"N/A"
"Envelope_00004303","SITE_01841","Attic",1188.0000,,"N/A","Yes","Yes","Fiberglass batts",12.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",40.9200,,0.0302,,35.8914,,"N/A"
"Envelope_00004304","SITE_01842","Attic",1326.5000,,"N/A","No","Yes","Fiberglass batts",12.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",40.9200,,0.0302,,40.0758,,"N/A"
"Envelope_00004305","SITE_01843","Attic",1443.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,67.1190,,"N/A"
"Envelope_00004306","SITE_01844","Attic",1716.0000,,"N/A","No","Yes","Unknown",,"Unknown",,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0529,"Estimated based on homes of similar vintage",90.7299,,"N/A"
"Envelope_00004307","SITE_01845","Attic",1320.0000,,"N/A","No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0898,,118.4811,,"N/A"
"Envelope_00004308","SITE_01846","Attic",1572.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,73.1192,,"N/A"
"Envelope_00004309","SITE_01847","Attic",1120.0000,,"N/A","No","Yes","Blown cellulose",2.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",6.8300,,0.1190,,133.2340,,"Observed through an outlet on the ceiling"
"Envelope_00004310","SITE_01848","Attic",500.0000,,"N/A","No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0898,,44.8792,,"N/A"
"Envelope_00004311","SITE_01848","Sloped / Vaulted (no attic)",508.0000,,"N/A","No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0849,,43.1442,,"N/A"
"Envelope_00004312","SITE_01849","Attic",1296.0000,,"N/A","No","Yes","Fiberglass batts",12.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",40.9200,,0.0302,,39.1543,,"N/A"
"Envelope_00004313","SITE_01850","Attic",1224.0000,,"N/A","No","Yes","Fiberglass batts",12.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",40.9200,,0.0302,,36.9791,,"N/A"
"Envelope_00004314","SITE_01851","Attic",1210.0000,,"N/A","No","Yes","Fiberglass batts",6.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",20.4600,,0.0496,,60.0411,,"Homeowner says 6 inches of fiberglass batt are up there"
"Envelope_00004315","SITE_01852","Attic",1494.6000,,"N/A","No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0898,,134.1530,,"N/A"
"Envelope_00004316","SITE_01853","Attic",810.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,37.6759,,"N/A"
"Envelope_00004317","SITE_01853","Sloped / Vaulted (no attic)",594.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0452,,26.8240,,"N/A"
"Envelope_00004318","SITE_01854","Attic",1472.0000,,"N/A","No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0898,,132.1244,,"N/A"
"Envelope_00004319","SITE_01855","Attic",1248.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,58.0489,,"N/A"
"Envelope_00004320","SITE_01856","Attic",1716.0000,,"N/A","No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0898,,154.0255,,"N/A"
"Envelope_00004321","SITE_01857","Attic",1524.0000,,"N/A","No","Yes","Fiberglass batts",10.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",34.1000,,0.0339,,51.6429,,"N/A"
"Envelope_00004322","SITE_01858","Attic",1583.0000,,"N/A","No","Yes","Fiberglass batts",3.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0898,,142.0876,,"N/A"
"Envelope_00004549","SITE_01859","Attic",1781.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,82.8406,,"N/A"
"Envelope_00004548","SITE_01860","Attic",1404.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,65.3050,,"N/A"
"Envelope_00004541","SITE_01861","Attic",852.0000,,"N/A","Yes","Yes","Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7600,,0.0533,,45.4381,,"N/A"
"Envelope_00004550","SITE_01862","Attic",672.0000,,"N/A","No","Yes","Fiberglass batts",2.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",6.8200,,0.1191,,80.0518,,"N/A"
"Envelope_00004542","SITE_01863","Attic",810.0000,,"N/A","No","Yes","Fiberglass batts",2.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",6.8200,,0.1191,,96.4910,,"N/A"
"Envelope_00004537","SITE_01864","Attic",1422.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,66.1422,,"N/A"
"Envelope_00004551","SITE_01865","Attic",1624.0000,,"N/A","No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",22.1700,,0.0465,,75.5379,,"N/A"
"Envelope_00004544","SITE_01866","Attic",1357.0000,,"N/A","No","Yes","Fiberglass batts",2.0000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",6.8200,,0.1191,,161.6521,,"N/A"
