"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Number of Pieces of Audio Equipment","Number of Pieces of Audio Equipment_notes","Contains Suboofer","Does Subwoofer have indicator light or warm to touch","Audio Wifi Enabled","Audio Connected to TV","Notes","Room Name","Room Type"
"Appliance_00001337","SITE_00840","Room_00014755","Audio Equipment","No",,"Unknown","2073319992","Denon","DRA-685","Unknown",5.0000,,"No","N/A","No","No","N/A","Living Room_1","Living Room"
"Appliance_00001338","SITE_00841","Room_00014768","Audio Equipment","No",2015,,"060703941610140A3","Bose","SoundLink Mini","Unknown",1.0000,,"No","N/A","Yes","No","N/A","Living Room_1","Living Room"
"Appliance_00001339","SITE_00848","Room_00014823","Audio Equipment","No",1990,,"Unknown","Sony","CFE-ZW770","Unknown",3.0000,,"No","N/A","No","No","N/A","Bedroom_1","Bedroom"
"Appliance_00001340","SITE_00851","Room_00014843","Audio Equipment","No",,"Unknown","Unknown","Unknown","Unknown","Unknown",3.0000,,"Yes","Yes","No","No","N/A","Living Room_1","Living Room"
"Appliance_00001138","SITE_00852","Room_00014860","Audio Equipment","Yes",2009,,"N/A","Memorex","Mc7101","Unknown",1.0000,,"No","N/A","Unknown","No","N/A","Bathroom_2","Bathroom"
"Appliance_00001139","SITE_00852","Room_00014868","Audio Equipment","No",,"Unknown","Unknown","Sony","Cfd-s50","Unknown",1.0000,,"No","N/A","No","No","N/A","Kitchen_1","Kitchen"
"Appliance_00001120","SITE_00854","Room_00014894","Audio Equipment","No",,"Unknown","Unknown","Denon","AVR-1905","Unknown",2.0000,,"No","N/A","No","Unknown","N/A","Family Room_1","Family Room"
"Appliance_00001119","SITE_00854","Room_00014888","Audio Equipment","No",,"Unknown","Unknown","Technics","SA-GX390","Unknown",2.0000,,"No","N/A","No","Unknown","N/A","Office_1","Office"
"Appliance_00001115","SITE_00855","Room_00014904","Audio Equipment","No",,"Unknown","Unknown","RCA","Unknown","Unknown",2.0000,,"No","N/A","No","No","N/A","Dining Room_1","Dining Room"
"Appliance_00001116","SITE_00855","Room_00014905","Audio Equipment","No",,"Unknown","Unknown","LG","Unknown","Unknown",1.0000,,"No","N/A","Unknown","Yes","Sound bar","Living Room_1","Living Room"
"Appliance_00001341","SITE_00856","Room_00014918","Audio Equipment","No",,"Unknown","Unknown","Sony","DA2400es","Unknown",5.0000,,"No","N/A","No","Yes","N/A","Living Room_3","Living Room"
"Appliance_00001342","SITE_00857","Room_00014931","Audio Equipment","Yes",2010,,"N/A","Memorex","MP8806","Unknown",1.0000,,"No","N/A","No","No","N/A","Bedroom_1","Bedroom"
"Appliance_00001343","SITE_00857","Room_00014936","Audio Equipment","No",,"Unknown","Unknown","Altec-Lansing","ADA305","Unknown",3.0000,,"Yes","Yes","No","No","N/A","Living Room_1","Living Room"
"Appliance_00001344","SITE_00857","Room_00014936","Audio Equipment","No",,"Unknown","Unknown","Sunfire","SDS10","Unknown",3.0000,,"Yes","Yes","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00001345","SITE_00857","Room_00014945","Audio Equipment","No",,"Unknown","Unknown","Unknown","Unknown","Unknown",2.0000,,"No","N/A","No","No","No nameplate","Family Room_1","Family Room"
"Appliance_00001346","SITE_00857","Room_00014947","Audio Equipment","No",,"Unknown","Unknown","Unknown","Unknown","Unknown",2.0000,,"No","N/A","No","No","No nameplate","Dining Room_1","Dining Room"
"Appliance_00001347","SITE_00859","Room_00014976","Audio Equipment","Yes",2015,,"N/A","Samsung","Hw-j550","Yes",2.0000,,"Yes","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00001348","SITE_00860","Room_00014979","Audio Equipment","No",,"Unknown","Unknown","Panasonic","SA-AK100","Yes",12.0000,,"No","N/A","No","Yes","N/A","Living Room_3","Living Room"
"Appliance_00001349","SITE_00861","Room_00014997","Audio Equipment","No",,"Unknown","029824C22941741AC","Bose","AWR1RW","Unknown",1.0000,,"No","N/A","No","No","N/A","Outside_2","Outside"
"Appliance_00001350","SITE_00861","Room_00015005","Audio Equipment","Yes",2004,,"N/A","Advantage Industries","Ad-464","No",1.0000,,"No","N/A","No","No","N/A","Bedroom_1","Bedroom"
"Appliance_00000048","SITE_00862","Room_00001823","Audio Equipment","No",,"Unknown","Unknown","RCA","Unknown","No",5.0000,,"Yes","No","No","Yes","No receiver to be found.","Living Room_1","Living Room"
"Appliance_00000049","SITE_00867","Room_00001883","Audio Equipment","No",,"Unknown","051465923460747AS","Bose","Unknown","Unknown",4.0000,,"Yes","No","No","Yes","N/A","Family Room_3","Family Room"
"Appliance_00000050","SITE_00867","Room_00001883","Audio Equipment","No",,"Unknown","Unknown","Sony","CMTMX500i","Unknown",1.0000,,"No","N/A","No","Yes","N/A","Family Room_3","Family Room"
"Appliance_00000051","SITE_00870","Room_00001921","Audio Equipment","No",,"Unknown","Unknown","Onkyo","A-rv401","No",2.0000,,"No","N/A","No","Unknown","N/A","Kitchen_1","Kitchen"
"Appliance_00000052","SITE_00870","Room_00001918","Audio Equipment","Yes",2006,,"N/A","TEAC","GR-10i","No",1.0000,,"No","N/A","No","No","N/A","Bedroom_7","Bedroom"
"Appliance_00000053","SITE_00870","Room_00001919","Audio Equipment","Yes",2007,,"N/A","Durabrand","CD1493","No",3.0000,,"No","N/A","No","No","N/A","Bedroom_8","Bedroom"
"Appliance_00000054","SITE_00871","Room_00001932","Audio Equipment","No",,"Unknown","Unknown","Yamaha","Rx-v377","Unknown",4.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000055","SITE_00872","Room_00001941","Audio Equipment","No",,"Unknown","Unknown","Marantz","PM 300","No",4.0000,,"No","N/A","No","No","N/A","Family Room_1","Family Room"
