"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Primary","Stove Fuel","Oven Fuel","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00014704","SITE_01862","Room_00022618","Stove/Oven","No",1983,,"3K70428","Sears","9118268310","No","Yes","Electric","Electric","No","Stove/Oven: oven doesn't work","Living Room_1","Living Room"
"Appliance_00014728","SITE_01863","Room_00022627","Stove/Oven","No",,"Unknown","R12882234","Whirlpool","RF111PXSQ 3","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014744","SITE_01864","Room_00022640","Stove/Oven","No",,"Unknown","VF63528186","Kenmore","790.94142310","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014705","SITE_01865","Room_00022649","Stove/Oven","No",2001,,"RL2033350","Whirlpool","rf37/pxgw","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014718","SITE_01866","Room_00022663","Stove/Oven","No",,"Unknown","Unknown","Frigidaire","Unknown","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014729","SITE_01867","Room_00022679","Stove/Oven","Yes",2013,,"N/A","Samsung","FE-R300SX","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014750","SITE_01868","Room_00022692","Stove/Oven","No",1995,,"TM224754R","RCA","Le83276071ww","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014085","SITE_01869","Room_00022698","Stove/Oven","No",1995,,"14889260MF","Jenn Air","WM2750W","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014086","SITE_01869","Room_00022698","Stove/Oven","No",,"Unknown","Unknown","Amana","Unknown","No","Yes","Electric","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014690","SITE_01870","Room_00022710","Stove/Oven","No",2011,,"GV140899R","Hotpoint","Rb536dp1ww","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
