"PK_Mechanical_ID","CK_SiteID","System Type","System Sub-Type","Quantity","Quantity_notes","Primary Cooling System","Control Type","Zones Served","Cooling Fuel","Cooling Capacity","Cooling Capacity_notes","Cooling Capacity Units","Cooling Capacity Type","SEER","SEER_notes","SEER Type","EER","EER_notes","EER Type","COP","COP_notes","COP Type","Frequency of Use","Distribution Type","Water or Ground Loop?","Component 1","Component 1 Make","Component 1 Model","Component 1 Year of Manufacture on Nameplate","Component 1 Year of Manufacture","Component 1 Year of Manufacture_notes","Component 1 Serial Number","Component 2","Component 2 Make","Component 2 Model","Component 2 Year of Manufacture on Nameplate","Component 2 Year of Manufacture","Component 2 Year of Manufacture_notes","Component 2 Serial Number","Component 3","Component 3 Make","Component 3 Model","Component 3 Year of Manufacture on Nameplate","Component 3 Year of Manufacture","Component 3 Year of Manufacture_notes","Component 3 Serial Number","Component 4","Component 4 Make","Component 4 Model","Component 4 Year of Manufacture on Nameplate","Component 4 Year of Manufacture","Component 4 Year of Manufacture_notes","Component 4 Serial Number","Energy Star Label Present?","Qty Ductless Heads","Qty Ductless Heads_notes","DMSHP Room 2","DMSHP Capacity 2","DMSHP Capacity 2_notes","DMSHP Capacity 2 Type","DMSHP Cooling Capacity 2","DMSHP Cooling Capacity 2_notes","DMSHP Cooling Capacity 2 Type","DMSHP EER 2","DMSHP EER 2_notes","DMSHP EER 2 Type","DMSHP SEER 2","DMSHP SEER 2_notes","DMSHP SEER 2 Type","DMSHP Room 3","DMSHP Capacity 3","DMSHP Capacity 3_notes","DMSHP Capacity 3 Type","DMSHP EER 3","DMSHP EER 3_notes","DMSHP EER 3 Type","DMSHP SEER 3","DMSHP SEER 3_notes","DMSHP SEER 3 Type","DMSHP Cooling Capacity 3","DMSHP Cooling Capacity 3_notes","DMSHP Cooling Capacity 3 Type","DMSHP Room 4","DMSHP Capacity 4","DMSHP Capacity 4_notes","DMSHP EER 4","DMSHP EER 4_notes","DMSHP EER 4 Type","DMSHP SEER 4","DMSHP SEER 4_notes","DMSHP SEER 4 Type","DMSHP Cooling Capacity 4","DMSHP Cooling Capacity 4_notes","DMSHP Cooling Capacity 4 Type","Equipment Notes"
"Mechanical_00000051","SITE_01550","Air Source Heat Pump","N/A",,"N/A","Yes","Manual Thermostat - Digital","Whole Home","Electric",34400.0000,,"Btuh","Rated",21.5000,,"Nominal",13.5000,,"Nominal",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Lennox","XP25-036-230-01","No",2016,,"5816F21006","Air Handler","Lennox","CBX40UHV-036-230-6-04","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000052","SITE_01736","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",23000.0000,,"Btuh","Nominal",13.0000,,"Nominal",11.0000,,"Nominal",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Goodman","Gsh140241ac","No",2008,,"0806160301","Air Handler","Goodman","Aepf303616ca","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000053","SITE_01567","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",,"Unknown","N/A","N/A",,"Unknown","N/A",,"Unknown","N/A",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Carrier","Unknown","No",,"Unknown","Unknown","Air Handler","Carrier","Fk4dnb006","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","Electric, input not listed"
"Mechanical_00000054","SITE_01562","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",36000.0000,,"Btuh","Nominal",16.0000,,"Nominal",,"Unknown","N/A",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Trane","4twx6036c1000aa","Yes",2009,,"N/A","Air Handler","Trane","4tee3f37b1000aa","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000055","SITE_01101","Air Source Heat Pump","Dual Fuel Secondary",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",45000.0000,,"Btuh","Nominal",13.0000,,"Nominal",10.3000,,"Rated",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Rheem","Rpka-049jaz","Yes",2000,,"N/A","Furnace","Rheem","Rglh-10ebrjr","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","Connected to furnace"
"Mechanical_00000056","SITE_01574","Air Source Heat Pump","Dual Fuel Primary",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",50000.0000,,"Btuh","Nominal",14.5000,,"Nominal",12.0000,,"Nominal",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Trane","4twx5048a1000aa","Yes",2009,,"N/A","Furnace","Rheem","Rgph-10ebrjr","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000057","SITE_01761","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",55500.0000,,"Btuh","Nominal",13.0000,,"Nominal",11.0000,,"Nominal",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Coleman","FRHS0241CDG","No",2004,,"W0N4295710","Air Handler","Coleman","3500A816","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000058","SITE_01685","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",23400.0000,,"Btuh","Rated",14.0000,,"Nominal",12.0000,,"Nominal",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Armstrong","4shp14le124p-7","No",2015,,"1615C14568","Air Handler","Armstrong","Ec1p24bg-1","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
"Mechanical_00000059","SITE_02051","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",30000.0000,,"Btuh","Nominal",14.5000,,"Nominal",12.0000,,"Nominal",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Coleman","THJD30S41S4A","No",2011,,"W1D1922864","Air Handler","Coleman","Unknown","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","Can't find information on unit or online. Customer says ""furnace unit"" was replaced when the heat pump was installed but perhaps the old stickers are still on the air handler."
"Mechanical_00000060","SITE_01081","Air Source Heat Pump","N/A",,"N/A","Yes","Programmable Thermostat","Whole Home","Electric",34000.0000,,"Btuh","Nominal",13.0000,,"Nominal",10.8000,,"Rated",,"Unknown","N/A","N/A","N/A","N/A","Condenser","Lennox","R2H336GKR4","No",,"Unknown","X122666767","Air Handler","Lennox","CB30M-41-1P","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A","N/A",,"N/A","N/A","N/A"
