"SITEID","Building_Category","State","Site_Case_Weight","Ownership","Vintage","Conditioned_Area","COHORT","county","City","subregion","zip","utility_name","ut_class","utility_id","stratum","pop_ct","unit_multiplicity_ct","ALT_svy_wt"
SITE_00727,Single Family (4 or fewer units),WA,3931.6,Own / buying,1959,1872,SF,Spo,SPOKANE,EW,99206,Modern Electri,BPA,12744,EWA.,161299,1,2880.339286
SITE_00728,Single Family (4 or fewer units),WA,3805.5,Own / buying,1997,3786,SF,Che,ENTIAT,EW,98822,PUD No 1 of Ch,non-BPA,3413,EWA.,64327,1,7147.444444
SITE_00729,Single Family (4 or fewer units),WA,3805.5,Own / buying,1926,1066,SF,Spo,SPOKANE,EW,99202,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00730,Single Family (4 or fewer units),WA,3931.6,Own / buying,1968,3464,SF,Ben,KENNEWIC,EW,99337,PUD No 1 of Be,BPA,1579,EWA.,92396,1,2639.885714
SITE_00731,Single Family (4 or fewer units),WA,3931.6,Own / buying,2005,1950,SF,Ben,RICHLAND,EW,99352,City of Richla,BPA,15979,EWA.,92396,1,2639.885714
SITE_00732,Single Family (4 or fewer units),WA,3931.6,Own / buying,1993,2664,SF,Ben,RICHLAND,EW,99352,City of Richla,BPA,15979,EWA.,92396,1,2639.885714
SITE_00733,Single Family (4 or fewer units),WA,3805.5,Own / buying,1992,2797.6,SF,Spo,NINE MIL,EW,99026,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00734,Single Family (4 or fewer units),WA,3805.5,Own / buying,1955,1800,SF,Spo,SPOKANE,EW,99212,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00735,Single Family (4 or fewer units),WA,3805.5,Own / buying,1956,720,SF,Che,WENATCHE,EW,98801,PUD No 1 of Ch,non-BPA,3413,EWA.,64327,1,7147.444444
SITE_00736,Single Family (4 or fewer units),WA,3805.5,Own / buying,2008,2034,SF,Dou,EAST WEN,EW,98802,PUD No 1 of Do,non-BPA,5326,EWA.,64327,1,7147.444444
SITE_00737,Single Family (4 or fewer units),WA,3805.5,Own / buying,1907,2320,SF,Spo,SPOKANE,EW,99202,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00738,Single Family (4 or fewer units),WA,3931.6,Own / buying,1964,2320,SF,Spo,SPOKANE,EW,99216,Vera Irrigatio,BPA,19784,EWA.,161299,1,2880.339286
SITE_00739,Single Family (4 or fewer units),WA,3931.6,Own / buying,2005,1221,SF,Ben,RICHLAND,EW,99352,City of Richla,BPA,15979,EWA.,92396,1,2639.885714
SITE_00740,Single Family (4 or fewer units),WA,3931.6,Own / buying,1951,1350,SF,Spo,SPOKANE,EW,99216,Vera Irrigatio,BPA,19784,EWA.,161299,1,2880.339286
SITE_00741,Single Family (4 or fewer units),WA,3931.6,Own / buying,1976,3503,SF,Spo,SPOKANE,EW,99223,Inland Power &,BPA,8699,EWA.,161299,1,2880.339286
