"SITEID","Building_Category","State","Site_Case_Weight","Ownership","Vintage","Conditioned_Area","COHORT","county","City","subregion","zip","utility_name","ut_class","utility_id","stratum","pop_ct","unit_multiplicity_ct","ALT_svy_wt"
SITE_00618,Manufactured,OR,1323.42,Own / buying,1995,1710,MH,Jef,CROOKED,EO,97760,PacifiCorp,non-BPA,14354,OR.9,3709,1,463.625
SITE_00619,Single Family (4 or fewer units),OR,2348.97,Own / buying,1993,2367,SF,Des,REDMOND,EO,97756,Central Electr,BPA,3240,EOR.,28153,1,1656.058824
SITE_00620,Single Family (4 or fewer units),OR,2348.97,Own / buying,1992,2242.5,SF,Des,REDMOND,EO,97756,Central Electr,BPA,3240,EOR.,28153,1,1656.058824
SITE_00621,Single Family (4 or fewer units),OR,2348.97,Own / buying,1975,1958,SF,Des,BEND,EO,97701,Central Electr,BPA,3240,EOR.,28153,1,1656.058824
SITE_00622,Single Family (4 or fewer units),OR,1362.08,Own / buying,2012,2903,SF,Des,BEND,EO,97701,PacifiCorp,non-BPA,14354,EOR.,50265,1,1142.386364
SITE_00623,Manufactured,OR,1135.4,Own / buying,1993,1439,MH,Bak,BAKER CI,EO,97814,Oregon Trail E,BPA,14109,OR.8,834,1,139
SITE_00624,Single Family (4 or fewer units),OR,2348.97,Rent,1954,1628,SF,Uma,MILTON-F,EO,97862,City of Milton,BPA,12615,EOR.,22915,1,1432.1875
SITE_00625,Manufactured,OR,1135.4,Own / buying,1967,1280,MH,Uni,LA GRAND,EO,97850,Oregon Trail E,BPA,14109,OR.1,27493,1,3054.777778
SITE_00626,Single Family (4 or fewer units),OR,1362.08,Own / buying,1950,900,SF,Kla,KLAMATH,EO,97603,PacifiCorp,non-BPA,14354,EOR.,23419,1,1561.266667
SITE_00627,Single Family (4 or fewer units),OR,1362.08,Rent,1975,837,SF,Des,REDMOND,EO,97756,PacifiCorp,non-BPA,14354,EOR.,50265,1,1142.386364
SITE_00628,Manufactured,OR,1135.4,Own / buying,1992,1118,MH,Bak,BAKER CI,EO,97814,Oregon Trail E,BPA,14109,OR.8,834,1,139
SITE_00629,Single Family (4 or fewer units),OR,1362.08,Own / buying,1986,1304,SF,Jef,CROOKED,EO,97760,PacifiCorp,non-BPA,14354,EOR.,4024,1,574.8571429
SITE_00630,Single Family (4 or fewer units),OR,1362.08,Own / buying,1980,1861,SF,Des,BEND,EO,97702,PacifiCorp,non-BPA,14354,EOR.,50265,1,1142.386364
SITE_00631,Single Family (4 or fewer units),OR,1362.08,Rent,,1248,SF,Kla,CHILOQUI,EO,97624,PacifiCorp,non-BPA,14354,EOR.,23419,1,1561.266667
SITE_00632,Single Family (4 or fewer units),OR,1362.08,Own / buying,2007,1724,SF,Kla,KLAMATH,EO,97601,PacifiCorp,non-BPA,14354,EOR.,23419,1,1561.266667
SITE_00633,Single Family (4 or fewer units),OR,2348.97,Own / buying,1930,1692.5,SF,Uni,SUMMERVI,EO,97876,Oregon Trail E,BPA,14109,EOR.,42397,1,4710.777778
SITE_00634,Single Family (4 or fewer units),OR,1362.08,Own / buying,1980,1507,SF,Jef,MADRAS,EO,97741,PacifiCorp,non-BPA,14354,EOR.,4024,1,574.8571429
SITE_00635,Single Family (4 or fewer units),OR,1362.08,Own / buying,2003,2271,SF,Des,BEND,EO,97701,PacifiCorp,non-BPA,14354,EOR.,50265,1,1142.386364
SITE_00636,Single Family (4 or fewer units),OR,2348.97,Own / buying,2001,1547,SF,Uma,HERMISTO,EO,97838,City of Hermis,BPA,8515,EOR.,22915,1,1432.1875
SITE_00637,Single Family (4 or fewer units),OR,2348.97,Own / buying,1910,2614,SF,Uni,LA GRAND,EO,97850,Oregon Trail E,BPA,14109,EOR.,42397,1,4710.777778
SITE_00638,Single Family (4 or fewer units),OR,1362.08,Own / buying,2011,1500,SF,Des,REDMOND,EO,97756,PacifiCorp,non-BPA,14354,EOR.,50265,1,1142.386364
SITE_00639,Single Family (4 or fewer units),OR,1362.08,Own / buying,1975,1547,SF,Des,REDMOND,EO,97756,PacifiCorp,non-BPA,14354,EOR.,50265,1,1142.386364
SITE_00640,Single Family (4 or fewer units),OR,1362.08,Own / buying,1995,1420,SF,Des,BEND,EO,97702,PacifiCorp,non-BPA,14354,EOR.,50265,1,1142.386364
SITE_00641,Single Family (4 or fewer units),OR,2348.97,Own / buying,1978,1815,SF,Uma,HERMISTO,EO,97838,City of Hermis,BPA,8515,EOR.,22915,1,1432.1875
SITE_00642,Single Family (4 or fewer units),OR,1362.08,Own / buying,1991,2432.2,SF,Des,BEND,EO,97701,PacifiCorp,non-BPA,14354,EOR.,50265,1,1142.386364
SITE_00643,Single Family (4 or fewer units),OR,1362.08,Own / buying,1951,1075,SF,Uma,UMATILLA,EO,97882,PacifiCorp,non-BPA,14354,EOR.,22915,1,1432.1875
SITE_00644,Single Family (4 or fewer units),OR,1362.08,Own / buying,1958,1120,SF,Kla,KLAMATH,EO,97603,PacifiCorp,non-BPA,14354,EOR.,23419,1,1561.266667
SITE_00645,Single Family (4 or fewer units),OR,2348.97,Own / buying,1998,2416,SF,Des,BEND,EO,97701,Central Electr,BPA,3240,EOR.,28153,1,1656.058824
SITE_00646,Manufactured,WA,1628.92,Own / buying,1988,2536,MH,Yak,YAKIMA,EW,98901,PacifiCorp,non-BPA,14354,WA.1,10236,1,3412
SITE_00647,Manufactured,WA,1628.92,Own / buying,1995,1222,MH,Dou,EAST WEN,EW,98802,PUD No 1 of Do,non-BPA,5326,WA.1,16903,1,2414.714286
SITE_00648,Manufactured,WA,1628.92,Rent,1974,858,MH,Wal,COLLEGE,EW,99324,PacifiCorp,non-BPA,14354,WA.1,1250,1,250
SITE_00649,Manufactured,WA,1824.63,Own / buying,1979,1752,MH,Whi,PULLMAN,EW,99163,Inland Power &,BPA,8699,WA.1,23230,1,2903.75
SITE_00650,Manufactured,WA,1824.63,Own / buying,1995,891,MH,Spo,SPOKANE,EW,99224,Inland Power &,BPA,8699,WA.1,12187,1,1218.7
SITE_00651,Manufactured,WA,1628.92,Own / buying,1974,1078,MH,Spo,SPOKANE,EW,99201,Avista Corp,non-BPA,20169,WA.1,12187,1,1218.7
SITE_00652,Manufactured,WA,1628.92,Own / buying,2007,1539,MH,Gra,MOSES LA,EW,98837,PUD No 2 of Gr,non-BPA,14624,WA.1,16903,1,2414.714286
SITE_00653,Manufactured,WA,1628.92,Own / buying,1976,1344,MH,Yak,YAKIMA,EW,98903,PacifiCorp,non-BPA,14354,WA.1,10236,1,3412
SITE_00654,Manufactured,WA,975,Rent,1950,1072,MH,Kit,CLE ELUM,EW,98922,Puget Sound En,non-BPA,15500,WA.1,1769,1,589.6666667
SITE_00655,Manufactured,WA,1628.92,Own / buying,2014,1512,MH,Dou,EAST WEN,EW,98802,PUD No 1 of Do,non-BPA,5326,WA.1,16903,1,2414.714286
SITE_00656,Manufactured,WA,1628.92,Rent,1997,938,MH,Spo,NINE MIL,EW,99026,Avista Corp,non-BPA,20169,WA.1,12187,1,1218.7
SITE_00657,Manufactured,WA,1628.92,Own / buying,1996,1473.7,MH,Che,WENATCHE,EW,98801,PUD No 1 of Ch,non-BPA,3413,WA.1,16903,1,2414.714286
SITE_00658,Manufactured,WA,1628.92,Own / buying,2008,1620,MH,Wal,COLLEGE,EW,99324,PacifiCorp,non-BPA,14354,WA.1,1250,1,250
SITE_00659,Single Family (4 or fewer units),WA,3931.6,Own / buying,2016,1924,SF,Ben,BENTON C,EW,99320,PUD No 1 of Be,BPA,1579,EWA.,92396,1,2639.885714
SITE_00660,Manufactured,WA,1628.92,Own / buying,2015,1144,MH,Aso,CLARKSTO,EW,99403,Avista Corp,non-BPA,20169,WA.1,23230,1,2903.75
SITE_00661,Manufactured,WA,1824.63,Own / buying,1970,680,MH,Ben,WEST RIC,EW,99353,Benton Rural E,BPA,1625,WA.1,7325,1,1046.428571
SITE_00662,Single Family (4 or fewer units),WA,3805.5,Own / buying,1997,4293,SF,Spo,SPOKANE,EW,99208,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00663,Manufactured,WA,1628.92,Own / buying,1983,1712,MH,Wal,COLLEGE,EW,99324,PacifiCorp,non-BPA,14354,WA.1,1250,1,250
SITE_00664,Manufactured,WA,1628.92,Own / buying,1998,1620,MH,Che,WENATCHE,EW,98801,PUD No 1 of Ch,non-BPA,3413,WA.1,16903,1,2414.714286
SITE_00665,Manufactured,WA,1628.92,Own / buying,1996,1690,MH,Yak,YAKIMA,EW,98901,PacifiCorp,non-BPA,14354,WA.1,10236,1,3412
SITE_00666,Manufactured,WA,1628.92,Own / buying,1995,1568,MH,Ste,NINE MIL,EW,99026,Avista Corp,non-BPA,20169,WA.1,23230,1,2903.75
SITE_00667,Manufactured,WA,1628.92,Own / buying,1992,1344,MH,Spo,SPOKANE,EW,99212,Avista Corp,non-BPA,20169,WA.1,12187,1,1218.7
SITE_00668,Manufactured,WA,1628.92,Own / buying,1989,1680,MH,Gra,OTHELLO,EW,99344,PUD No 2 of Gr,non-BPA,14624,WA.1,16903,1,2414.714286
SITE_00669,Single Family (4 or fewer units),WA,3805.5,Own / buying,1948,1294,SF,Gra,SOAP LAK,EW,98851,PUD No 2 of Gr,non-BPA,14624,EWA.,64327,1,7147.444444
