"PK_Mechanical_ID","CK_SiteID","System Type","Technology","Size (Gallons)","Size (Gallons)_notes","Make","Model","Year Manufactured on Nameplate","Year Manufactured","Year Manufactured_notes","Serial Number","Provided by Heating System","Supplemental Solar Water Heating","Fuel Type","Capacity","Capacity_notes","Capacity Units","Energy Factor","Energy Factor_notes","HPWH in Conditioned Space","HPWH Conditioned Space Type","HPWH Conditioned Space Size","HPWH Conditioned Space Size_notes","HPWH Relation to Space Heating Unit","HPWH Ducting","Location","Serves Whole House","Within 4 feet of a drain","Drain Type","Tank Wrap","Tank Wrap Thickness","Tank Wrap Thickness_notes","Pipe Wrap","Pipe Wrap Type","Pipe Wrap Length","Pipe Wrap Length_notes","Pipe Wrap Thickness","Pipe Wrap Thickness_notes","Can Exhaust to Garage or Get Supply Air from Home Interior","In a room greater than 1,000 cubic feet","Eight feet of Vertical Space","Wifi Enabled"
"Mechanical_00011476","SITE_01268","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","M250S6DS-1NCWW","No",2010,,"GD13328906","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011477","SITE_01272","Storage Water Heater","Electric Resistance",,"Unknown","Bradford White","MIII50T6DS19","No",2001,,"XM0528935","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","No","No"
"Mechanical_00011478","SITE_01347","Storage Water Heater","Electric Resistance",,"Unknown","Rheem","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011479","SITE_00608","Storage Water Heater","Fossil Fuel Non-Condensing",75.0000,,"Bradford White","RG275H6N","No",2015,,"MF36348723","No","No","Natural Gas",76000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011480","SITE_00606","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","XE50T06ST45U1","Yes",2016,,"N/A","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011481","SITE_01293","Storage Water Heater","Electric Resistance",,"Unknown","N/A","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Unknown","N/A","Yes",2.0000,,"Yes","Polyethylene Foam",25.0000,,0.5000,,"Yes","Yes","Yes","No"
"Mechanical_00011482","SITE_01294","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Bradford White","MI5036Fbn4","No",2004,,"AB4328236","No","No","Natural Gas",40000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011483","BLDG_00160","Storage Water Heater","Electric Resistance",50.0000,,"AO Smith","ECT 52 200","No",2010,,"1009J003220","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","N/A","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","N/A","N/A","No"
"Mechanical_00011484","SITE_01237","Storage Water Heater","Electric Resistance",50.0000,,"Ruud","PE3R-52-2","Yes",2010,,"N/A","No","No","Electric",4.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011485","SITE_00470","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","GE50T06AAG","Yes",2012,,"N/A","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","No","No"
"Mechanical_00011486","SITE_00230","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Bradford White","M15036FBN","No",2009,,"FJ12405069","No","No","Natural Gas",40000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Unknown","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011487","SITE_00229","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Ruud","PVP-50E-1 A","No",2000,,"RUNG 0100501298","No","No","Natural Gas",40000.0000,,"Btuh",0.6700,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011488","SITE_00224","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","M2HE50S6DS-1NCWW","No",2013,,"KM33633700","No","No","Electric",4.5000,,"kW",0.9300,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",4.0000,,0.7500,,"Yes","Yes","Yes","No"
"Mechanical_00011489","SITE_00223","Storage Water Heater","Electric Resistance",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",0.2500,,"No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011490","SITE_00225","Storage Water Heater","Electric Resistance",,"Unknown","Ruud","PER52-2 B","No",1997,,"RU0297C05016","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011491","SITE_00193","Storage Water Heater","Electric Resistance",50.0000,,"Richmond","8MVR52-2 C","No",1997,,"RC   0197114243","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","Yes","No","No"
"Mechanical_00011492","SITE_00307","Storage Water Heater","Electric Resistance",50.0000,,"Reliance","650D0RS 210","No",2014,,"1403J009617","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","Yes","No"
"Mechanical_00011493","SITE_00309","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Rheem","21ir40dv","Yes",2007,,"N/A","No","No","Propane",30000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","Yes","No"
"Mechanical_00009901","SITE_00868","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",3.0000,,"No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00009902","SITE_00869","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","71-52D B","No",2002,,"RH1102244642","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00009903","SITE_00870","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Reliance","640MDV400","No",2015,,"1534A000109","No","No","Natural Gas",32000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00009904","SITE_00871","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","71-52D  B","No",1995,,"1195126137","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","No","No"
"Mechanical_00009905","SITE_00872","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Unknown","540nhmdt","No",,"Unknown","H99438081","No","No","Natural Gas",32000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","Yes","Polyethylene Foam",6.0000,,0.5000,,"Yes","No","No","No"
"Mechanical_00009906","SITE_00873","Storage Water Heater","Electric Resistance",30.0000,,"Whirlpool","E2F30HD035D","No",2009,,"0937T419116","No","No","Electric",3.5000,,"kW",0.9300,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","No","No"
"Mechanical_00009907","SITE_00874","Storage Water Heater","Electric Resistance",55.0000,,"Reliance","650doct","No",2005,,"F05A102118","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Unknown","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
"Mechanical_00009908","SITE_00875","Storage Water Heater","Fossil Fuel Non-Condensing",38.7000,,"Crown","Ms-40","No",2013,,"13130154Q","Yes","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
