"PK_Mechanical_ID","CK_SiteID","System Type","Technology","Size (Gallons)","Size (Gallons)_notes","Make","Model","Year Manufactured on Nameplate","Year Manufactured","Year Manufactured_notes","Serial Number","Provided by Heating System","Supplemental Solar Water Heating","Fuel Type","Capacity","Capacity_notes","Capacity Units","Energy Factor","Energy Factor_notes","HPWH in Conditioned Space","HPWH Conditioned Space Type","HPWH Conditioned Space Size","HPWH Conditioned Space Size_notes","HPWH Relation to Space Heating Unit","HPWH Ducting","Location","Serves Whole House","Within 4 feet of a drain","Drain Type","Tank Wrap","Tank Wrap Thickness","Tank Wrap Thickness_notes","Pipe Wrap","Pipe Wrap Type","Pipe Wrap Length","Pipe Wrap Length_notes","Pipe Wrap Thickness","Pipe Wrap Thickness_notes","Can Exhaust to Garage or Get Supply Air from Home Interior","In a room greater than 1,000 cubic feet","Eight feet of Vertical Space","Wifi Enabled"
"Mechanical_00011003","SITE_00641","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","22v50f1","Yes",2012,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Main House","No","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011004","SITE_01236","Storage Water Heater","Electric Resistance",50.0000,,"Ruud","PE52-2 C","No",2002,,"RU 0102203272","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011005","SITE_00617","Storage Water Heater","Electric Resistance",50.0000,,"Reliance","650D0RS","No",2006,,"G06A093634","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011006","SITE_00576","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","Yes",3.0000,,"No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011007","SITE_00643","Storage Water Heater","Electric Resistance",40.0000,,"General Electric","GE40M06AAG","No",2013,,"GE M481301893","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011008","SITE_00570","Storage Water Heater","Electric Resistance",52.0000,,"State","PV 52 20RT4","No",1988,,"M88850094","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011009","SITE_00603","Instantaneous Water Heater","Unknown",0.0000,,"Noritz","nrc98-dv","Yes",2014,,"N/A","No","No","Natural Gas",180000.0000,,"Btuh",0.9600,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Yes","Floor drain","N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011010","SITE_00620","Storage Water Heater","Electric Resistance",80.0000,,"AO Smith","ees80913","No",1990,,"ME90-0068393-913","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011011","SITE_00579","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Bradford White","mi40t6fbn7","No",2005,,"BM7066015","No","No","Natural Gas",40000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011012","SITE_00634","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","MI50T6DS13","No",2001,,"XK0371004","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011013","SITE_00609","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","Mi50s6ds13","No",1996,,"NF6929536","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Crawlspace","Yes","No","N/A","No",,"N/A","Yes","Fiberglass",20.0000,,1.0000,,"No","Yes","No","No"
"Mechanical_00011014","SITE_00630","Storage Water Heater","Unknown",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Unknown","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","No","No","Unknown","No"
"Mechanical_00011015","SITE_01238","Storage Water Heater","Electric Resistance",40.0000,,"Reliance","940dkrt","No",2014,,"1447J014357","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011016","SITE_01295","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"American Appliance","G61-40t40-3n","Yes",2002,,"N/A","No","No","Natural Gas",40000.0000,,"Btuh",0.5600,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011017","SITE_00624","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","PE50M09AAH","Yes",2008,,"N/A","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011018","SITE_00575","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","PE50M09AAH","Yes",2011,,"N/A","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011019","SITE_00628","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","71-52D","No",1992,,"1292B17867","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
"Mechanical_00011020","SITE_00623","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"AO Smith","FSG 50 232","No",1996,,"GH96-3244366-K32","No","No","Natural Gas",40000.0000,,"Btuh",0.5500,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011021","SITE_00599","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Rheem","PROG40-38N RH59","Yes",2014,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","Unknown","N/A","No",,"N/A","Yes","Polyethylene Foam",4.0000,,0.5000,,"No","No","No","No"
"Mechanical_00011022","SITE_00615","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","SE50T12AAH","Yes",2008,,"N/A","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011023","SITE_00613","Storage Water Heater","Electric Resistance",,"Unknown","American Appliance","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",3.0000,,"No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011024","SITE_00589","Storage Water Heater","Electric Resistance",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","Yes",3.0000,,"No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011025","SITE_00577","Storage Water Heater","Fossil Fuel Condensing",50.0000,,"Ruud","PH50","No",2011,,"RUNG1199128067","No","No","Natural Gas",40000.0000,,"Btuh",0.5400,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011026","SITE_00629","Storage Water Heater","Electric Resistance",40.0000,,"US Craftmaster","M-I-re40l5ds-12","No",,"Unknown","JA0011253","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","No","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","No","No"
"Mechanical_00011027","SITE_00629","Storage Water Heater","Electric Resistance",52.0000,,"Eagle","Efr52-10","No",,"Unknown","A B52203287","No","No","Electric",4.0000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","No","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
"Mechanical_00011028","SITE_00615","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","Se50t12aah","Yes",2008,,"N/A","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
"Mechanical_00011029","SITE_00635","Storage Water Heater","Electric Resistance",80.0000,,"Ruud","Rspe-80he-1","No",2002,,"RU 0502C10892","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011030","SITE_00635","Instantaneous Water Heater","Fossil Fuel Non-Condensing",0.0000,,"Takagi","Flash tk2","No",2000,,"15007400","No","No","Natural Gas",185000.0000,,"Btuh",0.8400,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011031","SITE_00611","Storage Water Heater","Fossil Fuel Condensing",50.0000,,"Bradford White","Mi5036fbn7","No",2005,,"BB5909244","No","No","Natural Gas",40000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011437","SITE_01330","Storage Water Heater","Electric Heat Pump (Packaged)",50.0000,,"General Electric","GEH50DFEJSRA","Yes",2015,,"N/A","No","No","Electric",4.5000,,"kW",3.2500,,"No","Unknown",,"Unknown","Unknown","N/A","Garage","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",4.0000,,1.0000,,"Yes","Yes","Yes","No"
"Mechanical_00011438","SITE_01860","Storage Water Heater","Electric Resistance",40.0000,,"Rheem","XE40M06ST45U1","Yes",2017,,"N/A","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011439","SITE_01859","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","PE50T09AAH","Yes",2013,,"N/A","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011440","SITE_01304","Storage Water Heater","Electric Resistance",55.0000,,"Kenmore","153.326562","No",2010,,"1002A020210","No","No","Electric",5.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011441","SITE_01306","Storage Water Heater","Electric Resistance",80.0000,,"Bradford White","M2he80r10ds3","No",2004,,"AB4253909","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","No","No"
"Mechanical_00011442","SITE_01311","Storage Water Heater","Electric Resistance",40.0000,,"Rheem","Mr40245","No",2002,,"0702 W 37014","No","No","Electric",4.5000,,"kW",0.9400,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011443","SITE_01311","Storage Water Heater","Electric Resistance",75.0000,,"Rheem","Mr75245 b","No",2001,,"0701 W 35987","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011444","SITE_01265","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","Mii50s6ds21","No",2003,,"ZE3149166","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011445","SITE_01862","Storage Water Heater","Electric Resistance",50.0000,,"Richmond","8mv50-2 b","No",1998,,"Rm0198157836","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Exterior","Yes","No","N/A","Yes",1.5000,,"No","N/A",,"N/A",,"N/A","N/A","No","No","No"
"Mechanical_00011446","SITE_01865","Storage Water Heater","Electric Resistance",40.0000,,"Whirlpool","E2f40rd045v","No",2006,,"0604107164","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","No","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","No","No"
"Mechanical_00011447","SITE_01312","Storage Water Heater","Electric Resistance",40.0000,,"General Electric","Ge40s6a","No",2001,,"GE 0201276000","No","No","Electric",4.5000,,"kW",0.8800,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011448","SITE_01279","Storage Water Heater","Electric Resistance",50.0000,,"US Craftmaster","E1f50rd045v","No",2009,,"0935T410025","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","No","No"
"Mechanical_00011449","SITE_01262","Storage Water Heater","Electric Resistance",50.0000,,"AO Smith","Ecl 50 200","No",2013,,"1310J003012","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","No","No"
"Mechanical_00011450","SITE_01241","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","PROE50 T2 RH95","Yes",2017,,"N/A","No","No","Electric",4.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011451","SITE_01337","Instantaneous Water Heater","Fossil Fuel Condensing",0.0000,,"Navien","NCB-180","No",,"Unknown","Unknown","Yes","No","Natural Gas",150000.0000,,"Btuh",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011452","SITE_01360","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Ruud","P2-40F1","Yes",2008,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",3.0000,,1.0000,,"Yes","Yes","Yes","No"
"Mechanical_00011453","SITE_01287","Storage Water Heater","Electric Resistance",52.0000,,"Reliance","55220RS4","No",1988,,"L88195179","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Unknown","Unknown","Unknown","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","Unknown","Unknown","Unknown","Unknown"
"Mechanical_00011454","SITE_01256","Storage Water Heater","Electric Resistance",50.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011455","SITE_00607","Storage Water Heater","Electric Resistance",50.0000,,"Whirlpool","EE3J50RD045V","No",2010,,"1043T430558","No","No","Electric",4.5000,,"kW",0.9300,,"N/A","N/A",,"N/A","N/A","N/A","Main House","No","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011456","SITE_00515","Storage Water Heater","Electric Resistance",40.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011457","SITE_00605","Storage Water Heater","Electric Resistance",55.0000,,"Kenmore","153.321540","No",2005,,"J05A018127","No","No","Electric",3.8000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011458","SITE_00528","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Whirlpool","50T6-40NG 400","No",2016,,"1632103309958","No","No","Natural Gas",40000.0000,,"Btuh",0.6100,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011459","BLDG_00336","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","RHEPRo52-2-A","Yes",2010,,"N/A","No","No","Electric",4.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Main House","N/A","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","N/A","N/A","No"
"Mechanical_00011460","SITE_01317","Instantaneous Water Heater","Electric Resistance",0.0000,,"EcoSmart","ECO 27","No",,"Unknown","27-1004-0517","No","No","Electric",27.0000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","Unknown"
"Mechanical_00011461","SITE_01317","Storage Water Heater","Electric Resistance",75.0000,,"Marathon","MR75245 A","No",1999,,"0799 W 73504","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","No","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
"Mechanical_00011462","SITE_01308","Storage Water Heater","Electric Heat Pump (Packaged)",50.0000,,"Ruud","JPYA-A050J11","Yes",2009,,"N/A","No","No","Electric",2.0000,,"kW",,"Unknown","No","Unknown",,"Unknown","Unknown","N/A","Crawlspace","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","No","No"
"Mechanical_00011463","SITE_01309","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Bradford White","MI403S6EN12","No",2003,,"ZF3389876","No","No","Natural Gas",40000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Unknown","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011464","SITE_01328","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","M250T6DS-1NCWW","No",2011,,"HD14805776","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011465","SITE_01298","Storage Water Heater","Electric Resistance",50.0000,,"AO Smith","EEH 52 916","No",1995,,"GM95-2610760-S19","No","No","Electric",4.5000,,"kW",0.9400,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010538","SITE_02050","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","Prog50-38n rh60","Yes",2015,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",0.6000,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","No","No"
"Mechanical_00010539","SITE_01090","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","Prog50-38nrh60","Yes",2016,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",0.6000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010540","SITE_01200","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","Prog50-40n rh62","Yes",2016,,"N/A","No","No","Natural Gas",40000.0000,,"Btuh",0.6200,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010541","SITE_01611","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","PROG50S-40N RH59","Yes",2014,,"N/A","No","No","Natural Gas",40000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Unknown","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","No"
"Mechanical_00010542","SITE_01542","Instantaneous Water Heater","Fossil Fuel Condensing",0.0000,,"Rheem","R-64XLN","No",2015,,"M361510787","No","No","Natural Gas",150000.0000,,"Btuh",0.8200,,"N/A","N/A",,"N/A","N/A","N/A","Other","Yes","Yes","Plumbed drain","No",,"N/A","Yes","Polyethylene Foam",5.5000,,0.7500,,"Yes","Yes","Yes","No"
"Mechanical_00010543","SITE_01656","Storage Water Heater","Electric Resistance",47.0000,,"Rheem","RH-M131305268","Yes",2013,,"N/A","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00010544","SITE_01216","Instantaneous Water Heater","Fossil Fuel Non-Condensing",0.0000,,"Rheem","RTG-84DVLN","No",2012,,"RHUNM481206689","No","No","Natural Gas",180000.0000,,"Btuh",0.8200,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",12.0000,,0.5000,,"Yes","Yes","Yes","Unknown"
"Mechanical_00010545","SITE_01120","Storage Water Heater","Electric Resistance",30.0000,,"Rheem","XE30S0ST45U1","No",2015,,"M171507734","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00010546","SITE_01573","Storage Water Heater","Electric Resistance",40.0000,,"Rheem","Xe40m06st45u1","Yes",2015,,"N/A","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","Yes","No","No"
"Mechanical_00010547","SITE_01627","Storage Water Heater","Electric Resistance",40.0000,,"Rheem","XE40M06ST45U1","Yes",2016,,"N/A","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",2.0000,,1.0000,,"N/A","Yes","Yes","No"
"Mechanical_00010548","SITE_01802","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","Xe50m06st45u0","Yes",2014,,"N/A","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","No"
"Mechanical_00010549","SITE_00813","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","Xe50m09el55u1","Yes",2015,,"N/A","No","No","Electric",5.5000,,"kW",0.9300,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","No","No"
"Mechanical_00010550","SITE_00043","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","XE50T12EC55U1","Yes",2016,,"N/A","No","No","Electric",5.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Unknown","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","Yes","Yes"
"Mechanical_00010551","SITE_02060","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Rheem","XG40T09HE40U0","Yes",2014,,"N/A","No","No","Natural Gas",40000.0000,,"Btuh",0.6200,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",6.0000,,0.5000,,"Yes","Yes","Yes","No"
"Mechanical_00010552","SITE_01698","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","XG50T06EC38U1","No",2015,,"M491508063","No","No","Natural Gas",38000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00010553","SITE_00931","Storage Water Heater","Fossil Fuel Condensing",40.0000,,"Richmond","5vp40e-1","Yes",1998,,"N/A","No","No","Natural Gas",40000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Unknown","Unknown","Unknown","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","Unknown","Unknown","Unknown","Unknown"
"Mechanical_00010554","SITE_01735","Storage Water Heater","Electric Resistance",50.0000,,"Richmond","8MV50-2 B","No",,"Unknown","RM1098148740","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00010555","SITE_01676","Storage Water Heater","Electric Resistance",50.0000,,"Richmond","8MVR52","No",,"Unknown","0296C06815","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
