class,id,name,presync,sync,postsync,init,heartbeat,precommit,commit,finalize
line_configuration,72,line_config_1PH-4_WPALxx1/0_TPX,0,0,0,0,0,0,0,0
line_configuration,73,line_config_1PH-x4_ACSRx1/0_TPX,0,0,0,0,0,0,0,0
line_configuration,74,line_config_1PH-4_ACSRxx1/0_3W_CS,0,0,0,0,0,0,0,0
line_configuration,75,line_config_1PH-x2_ACSRx4_ACSR,0,0,0,0,0,0,0,0
line_configuration,76,line_config_1PH-x2_ACSRx1/0_3W_CS,0,0,0,0,0,0,0,0
line_configuration,77,line_config_3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2/0_ACSR,0,0,0,0,0,0,0,0
line_configuration,78,line_config_1PH-2_ACSRxx1/0_TPX,0,0,0,0,0,0,0,0
line_configuration,79,line_config_3PH_H-4_WPAL4_WPAL4_WPAL1/0_TPX,0,0,0,0,0,0,0,0
line_configuration,80,line_config_1PH-x4_WPALx2_ACSR,0,0,0,0,0,0,0,0
line_configuration,81,line_config_3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_WPAL,0,0,0,0,0,0,0,0
line_configuration,82,line_config_1PH-xx4_ACSR2_ACSR,0,0,0,0,0,0,0,0
line_configuration,83,line_config_1PH-x4_ACSRx4_TPX,0,0,0,0,0,0,0,0
line_configuration,84,line_config_3PH_H-4_ACSR4_ACSR4_ACSR4_TPX,0,0,0,0,0,0,0,0
line_configuration,85,line_config_1PH-4_ACSRxx6_WPAL,0,0,0,0,0,0,0,0
line_configuration,86,line_config_1PH-xx4_ACSR4_TPX,0,0,0,0,0,0,0,0
line_configuration,87,line_config_3PH_H-397_ACSR397_ACSR397_ACSR2/0_WPAL,0,0,0,0,0,0,0,0
line_configuration,88,line_config_1PH-2/0_ACSRxx2_ACSR,0,0,0,0,0,0,0,0
line_configuration,89,line_config_3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR4_ACSR,0,0,0,0,0,0,0,0
