standard,Vmin,Vmax,Qmin,Qmax,Slow,Shigh
UNITY,0.0,0.0,0.0,0.0,0.0,0.0
IEEE1547,0.95,1.05,-0.1,0.1,0.05,0.05
CARULE21,0.95,1.05,-0.1,0.1,0.05,0.05
UL1741,0.95,1.05,-0.1,0.1,0.05,0.05
