NAICS,REGION,DESCRIPTION,FLOORAREA[Msf],SITES[unit],FLOORAREA_PER_SITE[sf/unit],BUILDINGS[unit],BUILDINGS_PER_SITE[unit/unit],PURCHASES[GWh],TRANSFERS[GWh],GENERATION[GWh],SALES[GWh],NET_DEMAND[GWh],REPORTED_ELECTRIC[GWh],REPORTED_ELECTRIFICATION[pu],UNREPORTED_ELECTRIC[GWh],UNREPORTED_ELECTRIFICATION[pu],A,B,C,D,E,I,Z
339,MIDWEST,Miscellaneous,,,29657.3,,1.0,2431.0,0.0,0.0,0.0,2431.0,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
339,SOUTH,Miscellaneous,,,29657.3,,1.0,2699.0,0.0,,,2746.0,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
339,WEST,Miscellaneous,,,29657.3,,1.0,1522.0,0.0,,,1558.0,8466.0,0.02297236002834869,126.0,0.027079365079365078,,,,,,,
3112,NERC,Grain and Oilseed Milling,117.0,600.0,217154.8,4589.0,7.8,14583.0,58.0,1054.0,54.0,15641.0,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3112,NORTHEAST,Grain and Oilseed Milling,,,217154.8,,7.8,407.0,0.0,1.0,0.0,408.0,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3112,MIDWEST,Grain and Oilseed Milling,,,217154.8,,7.8,10046.0,40.0,844.0,17.0,10914.0,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3112,SOUTH,Grain and Oilseed Milling,,,217154.8,,7.8,3383.0,16.0,157.0,37.0,3520.0,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3112,WEST,Grain and Oilseed Milling,,,217154.8,,7.8,747.0,2.0,52.0,1.0,800.0,14591.0,0.06500829278322254,1443.0,0.4658101178101178,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3114,NERC,Fruit and Vegetable Preserving and Specialty Food ,182.0,985.0,198955.7,3886.0,4.1,9538.0,3.0,469.0,30.0,9979.0,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3114,NORTHEAST,Fruit and Vegetable Preserving and Specialty Food ,,,198955.7,,4.1,778.0,0.0,35.0,1.0,811.0,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3114,MIDWEST,Fruit and Vegetable Preserving and Specialty Food ,,,198955.7,,4.1,2879.0,0.0,24.0,0.0,2903.0,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3114,SOUTH,Fruit and Vegetable Preserving and Specialty Food ,,,198955.7,,4.1,2489.0,0.0,368.0,26.0,2831.0,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3114,WEST,Fruit and Vegetable Preserving and Specialty Food ,,,198955.7,,4.1,3391.0,3.0,42.0,3.0,3434.0,9551.0,0.052157051617631664,127.0,0.32239370078740154,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3115,NERC,Dairy Product,178.0,992.0,197138.0,2634.0,2.9,10364.0,0.0,51.0,16.0,10399.0,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3115,NORTHEAST,Dairy Product,,,197138.0,,2.9,1408.0,0.0,0.0,0.0,1409.0,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3115,MIDWEST,Dairy Product,,,197138.0,,2.9,3752.0,0.0,5.0,0.0,3757.0,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3115,SOUTH,Dairy Product,,,197138.0,,2.9,1914.0,0.0,0.0,0.0,1914.0,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3115,WEST,Dairy Product,,,197138.0,,2.9,3291.0,0.0,46.0,16.0,3320.0,10350.0,0.03593314009661836,733.0,0.02792905866302865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3116,NERC,Animal Slaughtering and Processing,168.0,1603.0,117287.5,4566.0,3.1,18198.0,2.0,448.0,39.0,18609.0,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3116,NORTHEAST,Animal Slaughtering and Processing,,,117287.5,,3.1,767.0,2.0,109.0,0.0,878.0,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3116,MIDWEST,Animal Slaughtering and Processing,,,117287.5,,3.1,7284.0,0.0,4.0,0.0,7288.0,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3116,SOUTH,Animal Slaughtering and Processing,,,117287.5,,3.1,8754.0,0.0,,38.0,8747.0,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3116,WEST,Animal Slaughtering and Processing,,,117287.5,,3.1,1393.0,0.0,304.0,1.0,1696.0,18173.0,0.03773796291201233,733.0,0.02792905866302865,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3121,NERC,  Beverages,225.0,2369.0,104382.3,6523.0,3.0,8815.0,0.0,250.0,0.0,9065.0,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3121,NORTHEAST,  Beverages,,,104382.3,,3.0,1439.0,0.0,2.0,0.0,1440.0,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3121,MIDWEST,  Beverages,,,104382.3,,3.0,1418.0,0.0,0.0,0.0,1418.0,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3121,SOUTH,  Beverages,,,104382.3,,3.0,3001.0,0.0,0.0,0.0,3001.0,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3121,WEST,  Beverages,,,104382.3,,3.0,2957.0,0.0,248.0,0.0,3205.0,8868.0,0.03308885881822282,766.0,0.040088772845953004,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3122,NERC,  Tobacco ,27.0,74.0,389512.4,321.0,4.4,940.0,0.0,9.0,0.0,949.0,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3122,NORTHEAST,  Tobacco ,,,389512.4,,4.4,27.0,0.0,0.0,0.0,27.0,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3122,MIDWEST,  Tobacco ,,,389512.4,,4.4,16.0,0.0,0.0,0.0,16.0,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3122,SOUTH,  Tobacco ,,,389512.4,,4.4,896.0,0.0,9.0,0.0,905.0,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3122,WEST,  Tobacco ,,,389512.4,,4.4,0.0,0.0,0.0,0.0,0.0,940.0,0.03266808510638298,766.0,0.040088772845953004,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3212,NERC,"  Veneer, Plywood, and Engineered Woods",83.0,973.0,98937.9,2992.0,3.4,7387.0,0.0,82.0,11.0,7459.0,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3212,NORTHEAST,"  Veneer, Plywood, and Engineered Woods",,,98937.9,,3.4,274.0,0.0,3.0,0.0,278.0,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3212,MIDWEST,"  Veneer, Plywood, and Engineered Woods",,,98937.9,,3.4,633.0,0.0,52.0,0.0,686.0,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3212,SOUTH,"  Veneer, Plywood, and Engineered Woods",,,98937.9,,3.4,4675.0,0.0,0.0,0.0,4675.0,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3212,WEST,"  Veneer, Plywood, and Engineered Woods",,,98937.9,,3.4,1805.0,0.0,26.0,11.0,1820.0,7377.0,0.07446550088111697,51.0,6.957803921568627,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3219,NERC,  Other Wood Products,315.0,5558.0,66766.1,14646.0,2.9,8523.0,0.0,,0.0,8549.0,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3219,NORTHEAST,  Other Wood Products,,,66766.1,,2.9,1297.0,0.0,5.0,0.0,1302.0,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3219,MIDWEST,  Other Wood Products,,,66766.1,,2.9,1500.0,0.0,1.0,0.0,1501.0,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3219,SOUTH,  Other Wood Products,,,66766.1,,2.9,,0.0,0.0,0.0,,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3219,WEST,  Other Wood Products,,,66766.1,,2.9,885.0,0.0,,0.0,905.0,8541.0,0.03755157475705421,13.0,15.22276923076923,0.12000000000000002,0.33499999999999996,0.015000000000000003,0.01,0.18,0.030000000000000006,0.30999999999999994
3254,NERC,  Pharmaceuticals and Medicines,183.0,1199.0,159078.0,5165.0,4.5,10677.0,5.0,799.0,21.0,11460.0,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3254,NORTHEAST,  Pharmaceuticals and Medicines,,,159078.0,,4.5,,5.0,640.0,20.0,,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3254,MIDWEST,  Pharmaceuticals and Medicines,,,159078.0,,4.5,3074.0,0.0,90.0,0.0,3165.0,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3254,SOUTH,  Pharmaceuticals and Medicines,,,159078.0,,4.5,,0.0,29.0,0.0,,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3254,WEST,  Pharmaceuticals and Medicines,,,159078.0,,4.5,1476.0,0.0,41.0,1.0,1516.0,10671.0,0.030056039733858116,92.0,0.1483478260869565,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3312,NERC, Steel Products from Purchased Steel,80.0,470.0,195266.9,1512.0,3.4,6556.0,0.0,9.0,0.0,6565.0,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3312,NORTHEAST, Steel Products from Purchased Steel,,,195266.9,,3.4,566.0,0.0,9.0,0.0,575.0,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3312,MIDWEST, Steel Products from Purchased Steel,,,195266.9,,3.4,2632.0,0.0,0.0,0.0,2632.0,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3312,SOUTH, Steel Products from Purchased Steel,,,195266.9,,3.4,3213.0,0.0,0.0,0.0,3213.0,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3312,WEST, Steel Products from Purchased Steel,,,195266.9,,3.4,145.0,0.0,0.0,0.0,145.0,6557.0,0.029660515479640083,12.0,1.9903333333333335,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3313,NERC, Alumina and Aluminum,119.0,383.0,333903.1,2483.0,6.6,38229.0,0.0,6727.0,3848.0,41107.0,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3313,NORTHEAST, Alumina and Aluminum,,,333903.1,,6.6,2868.0,0.0,0.0,0.0,2868.0,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3313,MIDWEST, Alumina and Aluminum,,,333903.1,,6.6,10818.0,0.0,1067.0,0.0,11885.0,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3313,SOUTH, Alumina and Aluminum,,,333903.1,,6.6,18640.0,0.0,5660.0,3848.0,20451.0,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3313,WEST, Alumina and Aluminum,,,333903.1,,6.6,5902.0,0.0,0.0,0.0,5902.0,34380.0,0.024116230366492148,103.0,0.26500970873786406,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3314,NERC," Nonferrous Metals, except Aluminum",83.0,662.0,135837.6,2639.0,4.2,13062.0,0.0,37.0,45.0,13054.0,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3314,NORTHEAST," Nonferrous Metals, except Aluminum",,,135837.6,,4.2,1682.0,0.0,0.0,,1661.0,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3314,MIDWEST," Nonferrous Metals, except Aluminum",,,135837.6,,4.2,4065.0,0.0,0.0,25.0,4040.0,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3314,SOUTH," Nonferrous Metals, except Aluminum",,,135837.6,,4.2,4428.0,0.0,36.0,0.0,4464.0,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3314,WEST," Nonferrous Metals, except Aluminum",,,135837.6,,4.2,2888.0,0.0,0.0,0.0,2888.0,13017.0,0.025163401705462086,24.0,0.9951666666666668,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3315,NERC, Foundries,132.0,1278.0,105886.0,4068.0,3.2,13218.0,0.0,22.0,0.0,13241.0,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3315,NORTHEAST, Foundries,,,105886.0,,3.2,1049.0,0.0,0.0,0.0,1049.0,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3315,MIDWEST, Foundries,,,105886.0,,3.2,7572.0,0.0,9.0,0.0,7580.0,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3315,SOUTH, Foundries,,,105886.0,,3.2,3861.0,0.0,1.0,0.0,3862.0,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3315,WEST, Foundries,,,105886.0,,3.2,736.0,0.0,13.0,0.0,749.0,13219.0,0.030457371964596414,124.0,0.44025806451612903,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
3364,NERC,Aerospace Product and Parts,320.0,1063.0,351847.4,7697.0,8.1,9432.0,0.0,246.0,33.0,9645.0,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3364,NORTHEAST,Aerospace Product and Parts,,,351847.4,,8.1,1025.0,0.0,135.0,1.0,1159.0,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3364,MIDWEST,Aerospace Product and Parts,,,351847.4,,8.1,2009.0,0.0,22.0,0.0,2031.0,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3364,SOUTH,Aerospace Product and Parts,,,351847.4,,8.1,3165.0,0.0,5.0,0.0,3170.0,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
3364,WEST,Aerospace Product and Parts,,,351847.4,,8.1,3232.0,0.0,,32.0,3284.0,9417.0,0.024637995115217158,192.0,0.106625,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
31131,NERC,Sugar Manufacturing,31.0,71.0,461108.9,1022.0,16.2,1213.0,142.0,1803.0,157.0,3002.0,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
31131,NORTHEAST,Sugar Manufacturing,,,461108.9,,16.2,25.0,0.0,0.0,0.0,25.0,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
31131,MIDWEST,Sugar Manufacturing,,,461108.9,,16.2,563.0,0.0,205.0,0.0,768.0,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
31131,SOUTH,Sugar Manufacturing,,,461108.9,,16.2,308.0,142.0,1176.0,67.0,1560.0,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
31131,WEST,Sugar Manufacturing,,,461108.9,,16.2,317.0,0.0,422.0,90.0,650.0,1224.0,0.4850392156862745,1443.0,0.4658101178101178,0.16,0.24000000000000005,0.02,0.01,0.18,0.030000000000000006,0.36
311221,NERC,Wet Corn Milling,16.0,49.0,318767.6,870.0,17.8,6472.0,0.0,814.0,11.0,7274.0,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
311221,NORTHEAST,Wet Corn Milling,,,318767.6,,17.8,7.0,0.0,0.0,0.0,7.0,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
311221,MIDWEST,Wet Corn Milling,,,318767.6,,17.8,5557.0,0.0,706.0,11.0,6252.0,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
311221,SOUTH,Wet Corn Milling,,,318767.6,,17.8,840.0,0.0,85.0,0.0,925.0,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
311221,WEST,Wet Corn Milling,,,318767.6,,17.8,68.0,0.0,23.0,0.0,90.0,6461.0,0.07287664448227829,1443.0,0.4658101178101178,0.13333333333333336,0.3722222222222222,0.01666666666666667,0.0,0.2,0.022222222222222223,0.25555555555555554
321113,NERC,  Sawmills,96.0,1619.0,74861.3,7101.0,5.0,5600.0,0.0,955.0,599.0,5956.0,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321113,NORTHEAST,  Sawmills,,,74861.3,,5.0,395.0,0.0,11.0,2.0,404.0,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321113,MIDWEST,  Sawmills,,,74861.3,,5.0,375.0,0.0,1.0,0.0,376.0,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321113,SOUTH,  Sawmills,,,74861.3,,5.0,3072.0,0.0,49.0,0.0,3121.0,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321113,WEST,  Sawmills,,,74861.3,,5.0,1758.0,0.0,894.0,597.0,2054.0,5001.0,0.08391841631673665,109.0,3.0050642201834865,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321219,NERC,   Reconstituted Wood Products,31.0,154.0,238620.9,645.0,4.8,4926.0,0.0,70.0,0.0,4996.0,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321219,NORTHEAST,   Reconstituted Wood Products,,,238620.9,,4.8,226.0,0.0,3.0,0.0,229.0,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321219,MIDWEST,   Reconstituted Wood Products,,,238620.9,,4.8,434.0,0.0,52.0,0.0,485.0,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321219,SOUTH,   Reconstituted Wood Products,,,238620.9,,4.8,3395.0,0.0,0.0,0.0,3395.0,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
321219,WEST,   Reconstituted Wood Products,,,238620.9,,4.8,870.0,0.0,16.0,0.0,886.0,4926.0,0.06649451887941535,13.0,15.22276923076923,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
322110,NERC,  Pulp Mills,16.0,28.0,660445.9,741.0,30.4,1710.0,0.0,5655.0,479.0,6886.0,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
322110,NORTHEAST,  Pulp Mills,,,660445.9,,30.4,36.0,0.0,510.0,78.0,468.0,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
322110,MIDWEST,  Pulp Mills,,,660445.9,,30.4,233.0,0.0,0.0,0.0,233.0,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
322110,SOUTH,  Pulp Mills,,,660445.9,,30.4,1337.0,0.0,5008.0,402.0,5943.0,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
322110,WEST,  Pulp Mills,,,660445.9,,30.4,104.0,0.0,137.0,0.0,241.0,1345.0,0.6468847583643123,505.0,8.776609900990099,0.17142857142857146,0.19285714285714287,0.021428571428571432,0.0,0.2571428571428572,0.028571428571428574,0.32857142857142857
322121,NERC,"  Paper Mills, except Newsprint",97.0,165.0,677318.0,3061.0,22.0,19871.0,43.0,19925.0,3422.0,36416.0,17321.0,0.14813371052479649,505.0,8.776609900990099,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
