timestamp,duration[microsec],iteration,bus_count,branch_count,error
2018-03-01 00:23:30 PST,2371.0,1,134,135,false
2018-03-01 00:24:00 PST,2374.0,1,134,135,false
2018-03-01 00:24:00 PST,2370.0,1,134,135,false
2018-03-01 00:24:30 PST,2370.0,1,134,135,false
2018-03-01 00:24:30 PST,2441.0,1,134,135,false
2018-03-01 00:25:00 PST,2817.0,1,134,135,false
2018-03-01 00:25:00 PST,2438.0,1,134,135,false
2018-03-01 00:25:30 PST,2489.0,1,134,135,false
2018-03-01 00:25:30 PST,2537.0,1,134,135,false
2018-03-01 00:26:00 PST,2469.0,1,134,135,false
2018-03-01 00:26:00 PST,2388.0,1,134,135,false
2018-03-01 00:26:30 PST,2373.0,1,134,135,false
2018-03-01 00:26:30 PST,2369.0,1,134,135,false
2018-03-01 00:27:00 PST,2374.0,1,134,135,false
2018-03-01 00:27:00 PST,2374.0,1,134,135,false
2018-03-01 00:27:30 PST,2400.0,1,134,135,false
2018-03-01 00:27:30 PST,2389.0,1,134,135,false
2018-03-01 00:28:00 PST,2530.0,1,134,135,false
2018-03-01 00:28:00 PST,2573.0,1,134,135,false
2018-03-01 00:28:30 PST,2558.0,1,134,135,false
2018-03-01 00:28:30 PST,2640.0,1,134,135,false
2018-03-01 00:29:00 PST,2502.0,1,134,135,false
2018-03-01 00:29:00 PST,2366.0,1,134,135,false
2018-03-01 00:29:30 PST,2440.0,1,134,135,false
2018-03-01 00:29:30 PST,2363.0,1,134,135,false
2018-03-01 00:30:00 PST,2454.0,1,134,135,false
2018-03-01 00:30:00 PST,2392.0,1,134,135,false
2018-03-01 00:30:30 PST,2416.0,1,134,135,false
2018-03-01 00:30:30 PST,2368.0,1,134,135,false
2018-03-01 00:31:00 PST,2370.0,1,134,135,false
2018-03-01 00:31:00 PST,2482.0,1,134,135,false
2018-03-01 00:31:30 PST,2738.0,1,134,135,false
2018-03-01 00:31:30 PST,2649.0,1,134,135,false
2018-03-01 00:32:00 PST,3170.0,1,134,135,false
2018-03-01 00:32:00 PST,2326.0,1,134,135,false
2018-03-01 00:32:30 PST,2550.0,1,134,135,false
2018-03-01 00:32:30 PST,2377.0,1,134,135,false
2018-03-01 00:33:00 PST,2317.0,1,134,135,false
2018-03-01 00:33:00 PST,2409.0,1,134,135,false
2018-03-01 00:33:30 PST,2339.0,1,134,135,false
2018-03-01 00:33:30 PST,2411.0,1,134,135,false
2018-03-01 00:34:00 PST,2373.0,1,134,135,false
